PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CE_PL_a120,1,174,-0.001,0.019,0,-0.001,0.011,-0.057,0.081,0.138,0.144,2.835,0.001
CH_NE_a150,1,186,0.001,0.009,0,0.001,0.007,-0.023,0.048,0.071,0.792,4.485,0.001
CH_PH_a45,1,216,-0.001,0.013,0,0,0.011,-0.057,0.041,0.098,-0.324,1.485,0.001
JN_CH_a30,1,183,0,0.01,0.001,0.001,0.008,-0.04,0.02,0.06,-0.79,1.687,0.001
JN_NE_a120,1,252,0.001,0.01,0.001,0.001,0.008,-0.047,0.047,0.094,-0.013,4.106,0.001
JN_NN_a45,1,189,0.002,0.013,0.002,0.002,0.009,-0.05,0.081,0.131,0.602,6.79,0.001
JN_PL_a180,1,85,0.001,0.007,0.002,0.001,0.006,-0.02,0.02,0.04,-0.543,0.552,0.001
JN_SN_a135,1,189,0.002,0.013,0.002,0.002,0.009,-0.05,0.081,0.131,0.602,6.79,0.001
JU_CH_a150,1,219,0,0.01,0.001,0,0.006,-0.034,0.037,0.072,-0.123,1.87,0.001
MA_CH_a150,1,220,-0.001,0.012,-0.001,-0.001,0.012,-0.049,0.042,0.091,-0.584,2.081,0.001
MA_JU_a60,1,264,0.001,0.011,0.001,0,0.008,-0.05,0.081,0.131,1.078,14.248,0.001
MA_NN_a135,1,190,0.001,0.011,0,0.001,0.008,-0.047,0.026,0.073,-0.557,2.054,0.001
MA_SN_a45,1,190,0.001,0.011,0,0.001,0.008,-0.047,0.026,0.073,-0.557,2.054,0.001
MA_UR_a45,1,166,-0.001,0.012,0,-0.001,0.009,-0.038,0.03,0.068,-0.49,0.985,0.001
ME_CE_a60,1,314,0.001,0.01,0.001,0.001,0.009,-0.07,0.044,0.114,-0.904,7.412,0.001
ME_PH_a103,1,226,0.001,0.011,0.001,0.001,0.008,-0.046,0.031,0.078,-0.649,2.843,0.001
ME_PL_a60,1,250,0,0.011,0,0,0.008,-0.034,0.049,0.082,0.63,3.389,0.001
MO_ME_a45,1,677,0,0.012,0.001,0,0.008,-0.083,0.091,0.174,-0.454,12.942,0
NN_PH_a60,1,174,-0.002,0.015,0,0,0.008,-0.083,0.029,0.112,-2.282,8.745,0.001
NN_SA_a150,1,447,0,0.014,0.001,0.001,0.01,-0.088,0.083,0.171,-0.813,8.518,0.001
NN_SN_a180,1,9441,0,0.011,0,0,0.008,-0.109,0.098,0.207,-0.201,7.739,0
PA_NE_a36,1,313,0.001,0.009,0,0.001,0.007,-0.048,0.061,0.109,0.621,7.412,0.001
SA_NE_a45,1,258,0,0.009,0,0,0.007,-0.026,0.035,0.061,0.197,0.99,0.001
SA_PH_a150,1,422,0.001,0.011,0,0.001,0.008,-0.048,0.061,0.109,0.272,4.327,0.001
SN_PH_a120,1,174,-0.002,0.015,0,0,0.008,-0.083,0.029,0.112,-2.282,8.745,0.001
SN_SA_a30,1,448,0,0.014,0.001,0.001,0.01,-0.088,0.083,0.171,-0.993,8.647,0.001
SU_CH_a135,1,234,0.002,0.013,0.001,0.001,0.01,-0.06,0.088,0.148,1.126,11.258,0.001
SU_NN_a150,1,221,-0.001,0.012,0,0,0.01,-0.07,0.039,0.11,-1.331,8.262,0.001
SU_PH_a90,1,219,0.001,0.014,0.001,0.001,0.008,-0.053,0.091,0.144,1.228,9.159,0.001
SU_PL_a72,1,223,0,0.015,0.001,0,0.008,-0.079,0.091,0.169,0.221,10.958,0.001
SU_SA_a60,1,234,0.001,0.011,0.001,0.001,0.009,-0.04,0.031,0.071,-0.426,1.293,0.001
SU_SN_a30,1,221,-0.001,0.012,0,0,0.01,-0.07,0.039,0.11,-1.331,8.262,0.001
SU_VS_a150,1,127,0,0.01,0.001,0,0.008,-0.034,0.027,0.061,-0.38,1.892,0.001
VE_JN_a144,1,189,0.002,0.011,0.001,0.001,0.007,-0.038,0.091,0.128,2.689,19.851,0.001
VE_PA_a60,1,311,0,0.01,0,0,0.009,-0.053,0.038,0.091,-0.399,3.005,0.001
VE_PL_a36,1,224,-0.001,0.014,0,0,0.008,-0.088,0.083,0.171,-0.062,11.756,0.001
VS_CE_a103,1,258,-0.001,0.02,0.001,0,0.008,-0.109,0.091,0.199,-0.873,7.46,0.001
VS_JN_a45,1,216,-0.001,0.016,0,0,0.013,-0.057,0.05,0.107,-0.404,1.287,0.001
VS_NN_a0,1,129,0.001,0.009,0,0.001,0.008,-0.027,0.035,0.062,0.147,1.433,0.001
VS_PH_a60,1,262,0.001,0.009,0.001,0.001,0.009,-0.034,0.036,0.07,0.023,1.394,0.001
VS_PL_a135,1,258,0,0.017,0.001,0,0.012,-0.079,0.088,0.167,-0.019,5.534,0.001
VS_SA_a150,1,234,0.001,0.008,0,0.001,0.006,-0.025,0.026,0.051,0.039,1.411,0
VS_SN_a180,1,129,0.001,0.009,0,0.001,0.008,-0.027,0.035,0.062,0.147,1.433,0.001
MO_JN_a72,1,730,0,0.011,0,0,0.008,-0.05,0.048,0.098,-0.136,2.544,0
MO_VE_a72,1,658,0.001,0.011,0,0.001,0.008,-0.057,0.098,0.155,0.824,10.056,0
SU_JN_a103,1,205,0.001,0.011,0.001,0.001,0.009,-0.06,0.031,0.091,-0.72,4.324,0.001
MO_SU_a36,1,657,0.001,0.01,0.001,0.001,0.009,-0.059,0.052,0.111,0.039,3.071,0
ME_PA_a36,1,319,0.001,0.01,0.001,0.001,0.008,-0.07,0.032,0.102,-1.26,8.256,0.001
ME_JN_a120,1,182,0.001,0.01,0.001,0.001,0.008,-0.028,0.036,0.063,0.155,1.07,0.001
MA_NE_a60,1,183,0,0.013,0.001,0,0.009,-0.109,0.034,0.143,-3.287,27.687,0.001
MO_UR_a72,1,700,0,0.01,0,0.001,0.008,-0.053,0.039,0.093,-0.634,3.587,0
SU_UR_a36,1,229,0.001,0.011,0.001,0.001,0.007,-0.04,0.033,0.073,-0.474,2.3,0.001
MO_SN_a72,1,696,0.001,0.01,0.001,0.001,0.008,-0.053,0.05,0.103,-0.08,4.101,0
MO_JU_a60,1,704,0,0.011,0,0.001,0.008,-0.109,0.062,0.171,-1.108,15.435,0
