PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
JUNE_a0,147,102,249,0.59,0.41
JUNE_a103,309,234,543,0.57,0.43
JUNE_a120,276,216,492,0.56,0.44
JUNE_a135,258,150,408,0.63,0.37
JUNE_a150,280,262,542,0.52,0.48
JUNE_a180,184,173,357,0.52,0.48
JUNE_a30,220,136,356,0.62,0.38
JUNE_a45,292,194,486,0.6,0.4
JUNE_a60,263,205,468,0.56,0.44
JUNE_a90,271,207,478,0.57,0.43
JUPL_a0,180,122,302,0.6,0.4
JUPL_a103,285,222,507,0.56,0.44
JUPL_a120,259,174,433,0.6,0.4
JUPL_a135,240,195,435,0.55,0.45
JUPL_a150,241,204,445,0.54,0.46
JUPL_a180,132,136,268,0.49,0.51
JUPL_a30,198,118,316,0.63,0.37
JUPL_a45,399,313,712,0.56,0.44
JUPL_a60,158,162,320,0.49,0.51
JUPL_a90,254,160,414,0.61,0.39
JUSA_a0,200,175,375,0.53,0.47
JUSA_a103,252,211,463,0.54,0.46
JUSA_a120,249,207,456,0.55,0.45
JUSA_a135,259,212,471,0.55,0.45
JUSA_a150,154,160,314,0.49,0.51
JUSA_a180,194,158,352,0.55,0.45
JUSA_a30,280,276,556,0.5,0.5
JUSA_a45,239,179,418,0.57,0.43
JUSA_a60,306,212,518,0.59,0.41
JUSA_a90,317,190,507,0.63,0.37
JUUR_a0,260,186,446,0.58,0.42
JUUR_a103,273,226,499,0.55,0.45
JUUR_a120,252,214,466,0.54,0.46
JUUR_a135,189,201,390,0.48,0.52
JUUR_a150,231,221,452,0.51,0.49
JUUR_a180,187,117,304,0.62,0.38
JUUR_a30,316,269,585,0.54,0.46
JUUR_a45,208,198,406,0.51,0.49
JUUR_a60,262,223,485,0.54,0.46
JUUR_a90,255,186,441,0.58,0.42
MAJU_a0,179,167,346,0.52,0.48
MAJU_a103,240,226,466,0.52,0.48
MAJU_a120,238,195,433,0.55,0.45
MAJU_a135,226,170,396,0.57,0.43
MAJU_a150,265,159,424,0.62,0.38
MAJU_a180,213,190,403,0.53,0.47
MAJU_a30,277,213,490,0.57,0.43
MAJU_a45,266,198,464,0.57,0.43
MAJU_a60,331,253,584,0.57,0.43
MAJU_a90,272,211,483,0.56,0.44
MANE_a0,126,105,231,0.55,0.45
MANE_a103,280,189,469,0.6,0.4
MANE_a120,229,228,457,0.5,0.5
MANE_a135,318,216,534,0.6,0.4
MANE_a150,279,245,524,0.53,0.47
MANE_a180,170,157,327,0.52,0.48
MANE_a30,305,189,494,0.62,0.38
MANE_a45,273,250,523,0.52,0.48
MANE_a60,212,169,381,0.56,0.44
MANE_a90,308,251,559,0.55,0.45
MAPL_a0,159,131,290,0.55,0.45
MAPL_a103,256,200,456,0.56,0.44
MAPL_a120,263,211,474,0.55,0.45
MAPL_a135,289,235,524,0.55,0.45
