PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUNE_a103,1,543,0.001,0.008,0.001,0.001,0.006,-0.033,0.026,0.059,-0.438,2.096,0
JUPL_a45,1,712,0.001,0.007,0,0.001,0.006,-0.031,0.034,0.064,0.106,2.621,0
MAJU_a0,1,346,-0.001,0.011,0,0,0.007,-0.076,0.063,0.139,-1.141,11.355,0.001
MEMA_a103,1,493,0,0.008,0,0,0.007,-0.031,0.033,0.064,-0.11,1.288,0
MESA_a90,1,504,0.001,0.008,0.001,0.001,0.006,-0.034,0.051,0.085,0.486,5.745,0
MEVE_a45,1,1150,0,0.009,0,0.001,0.006,-0.063,0.072,0.135,0.281,10.902,0
MOJU_a60,1,1178,0,0.008,0.001,0,0.006,-0.049,0.052,0.101,-0.149,4.429,0
MOPL_a103,1,1189,0.001,0.009,0.001,0.001,0.006,-0.043,0.072,0.115,0.785,7.908,0
MOSU_a180,1,612,0.001,0.008,0,0.001,0.006,-0.055,0.049,0.105,-0.467,9.338,0
MOUR_a135,1,1186,0,0.008,0,0,0.006,-0.062,0.072,0.133,-0.145,11.527,0
NEPL_a60,1,3258,0,0.008,0.001,0.001,0.006,-0.126,0.073,0.199,-1.79,31.776,0
SAUR_a60,1,389,0.001,0.007,0.001,0.001,0.006,-0.021,0.021,0.042,-0.299,0.335,0
SUJU_a120,1,474,0.001,0.007,0.001,0,0.007,-0.023,0.033,0.056,0.118,1.445,0
SUMA_a120,1,327,0.001,0.007,0,0.001,0.006,-0.035,0.029,0.064,-0.007,3.455,0
SUSA_a103,1,497,0,0.007,0,0,0.006,-0.03,0.027,0.058,-0.336,1.394,0
SUUR_a45,1,520,0,0.009,0.001,0.001,0.006,-0.076,0.039,0.115,-1.435,11.661,0
URNE_a30,1,1457,0,0.011,0.001,0.001,0.008,-0.063,0.072,0.135,-0.147,6.931,0
URPL_a30,1,236,0.001,0.009,0.001,0.001,0.009,-0.024,0.029,0.053,-0.208,0.15,0.001
VEJU_a150,1,449,0,0.008,0,0,0.006,-0.04,0.039,0.079,-0.539,4.102,0
VEMA_a150,1,204,0,0.006,0.001,0,0.005,-0.017,0.019,0.036,-0.059,0.576,0
VESA_a135,1,532,0,0.007,0,0,0.006,-0.029,0.041,0.07,0.15,2.701,0
VESU_a30,1,1601,0,0.009,0,0,0.006,-0.062,0.072,0.134,-0.254,8.829,0
MOVE_a150,1,1124,0.001,0.008,0.001,0.001,0.006,-0.055,0.051,0.106,-0.001,6.315,0
MOMA_a60,1,1162,0.001,0.008,0.001,0.001,0.006,-0.049,0.032,0.081,-0.797,4.633,0
MONE_a150,1,1177,0,0.008,0.001,0,0.006,-0.043,0.032,0.074,-0.358,3.34,0
MOPL_a90,1,1184,0.001,0.009,0.001,0.001,0.006,-0.076,0.072,0.149,-0.297,11.956,0
MOUR_a120,1,1196,0,0.008,0,0,0.006,-0.062,0.052,0.114,-0.541,7.044,0
MOJU_a45,1,1217,0,0.007,0.001,0,0.006,-0.062,0.026,0.088,-0.64,5.189,0
MOSA_a60,1,1178,0.001,0.008,0.001,0.001,0.006,-0.049,0.073,0.122,0.902,9.836,0
MOMA_a45,1,1166,0.001,0.008,0.001,0.001,0.006,-0.043,0.072,0.114,0.12,7.286,0
MOME_a150,1,1109,0,0.008,0,0,0.006,-0.055,0.051,0.106,-0.395,6.205,0
MONE_a135,1,1191,0,0.008,0.001,0.001,0.006,-0.076,0.034,0.11,-1.181,9.931,0
MOJU_a30,1,1205,0,0.008,0.001,0.001,0.006,-0.062,0.026,0.088,-1.299,8.631,0
MOUR_a103,1,1180,0,0.008,0.001,0.001,0.006,-0.126,0.034,0.159,-2.967,42.022,0
MOSA_a45,1,1175,0,0.008,0.001,0,0.006,-0.051,0.072,0.123,0.336,8.923,0
MOSU_a150,1,1110,0,0.008,0.001,0,0.006,-0.076,0.049,0.126,-0.74,9.291,0
MOMA_a30,1,1159,0,0.008,0,0,0.006,-0.062,0.072,0.133,0.277,9.746,0
MOVE_a180,1,610,0,0.008,0.001,0,0.006,-0.076,0.032,0.108,-1.433,13.465,0
MEJU_a120,1,428,0.001,0.006,0.001,0.001,0.006,-0.02,0.031,0.05,0.179,1.373,0
MESA_a103,1,537,0,0.008,0.001,0,0.006,-0.04,0.023,0.063,-0.676,2.023,0
MEUR_a45,1,546,0,0.011,0.001,0,0.007,-0.126,0.073,0.199,-2.981,36.384,0
MOJU_a0,1,624,0,0.008,0.001,0,0.007,-0.046,0.03,0.077,-0.683,3.657,0
MOME_a120,1,1162,0,0.009,0.001,0.001,0.006,-0.076,0.051,0.128,-0.847,8.478,0
MONE_a103,1,1197,0,0.009,0,0,0.006,-0.126,0.052,0.178,-3.079,43.344,0
MOPL_a45,1,1179,0,0.01,0.001,0.001,0.007,-0.126,0.052,0.178,-2.945,33.162,0
VENE_a60,1,502,0,0.01,0.001,0,0.007,-0.05,0.063,0.113,-0.3,7.734,0
VEPL_a120,1,539,0.001,0.009,0.001,0.001,0.006,-0.045,0.063,0.108,0.268,8.241,0
MOMA_a0,1,635,0.001,0.009,0.001,0.001,0.006,-0.09,0.073,0.163,-0.694,23.909,0
MOSU_a120,1,1155,0,0.009,0,0,0.006,-0.062,0.051,0.113,-0.363,6.383,0
MONE_a90,1,1171,0,0.009,0,0.001,0.006,-0.09,0.073,0.163,-0.652,15.773,0
