PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",1158,916,2074,0.56,0.44
"CE_(5,7]",Ceres,"(5,7]",1776,1550,3326,0.53,0.47
"CE_(7,13]",Ceres,"(7,13]",764,654,1418,0.54,0.46
"CE_[0,4]",Ceres,"[0,4]",2096,1612,3708,0.57,0.43
"CH_(4,5]",Chiron,"(4,5]",1108,1000,2108,0.53,0.47
"CH_(5,7]",Chiron,"(5,7]",1931,1552,3483,0.55,0.45
"CH_(7,13]",Chiron,"(7,13]",887,679,1566,0.57,0.43
"CH_[0,4]",Chiron,"[0,4]",1868,1501,3369,0.55,0.45
"JN_(4,5]",Juno,"(4,5]",1159,905,2064,0.56,0.44
"JN_(5,7]",Juno,"(5,7]",1875,1487,3362,0.56,0.44
"JN_(7,14]",Juno,"(7,14]",790,666,1456,0.54,0.46
"JN_[0,4]",Juno,"[0,4]",1970,1674,3644,0.54,0.46
"JU_(4,5]",Jupiter,"(4,5]",1159,909,2068,0.56,0.44
"JU_(5,7]",Jupiter,"(5,7]",1802,1545,3347,0.54,0.46
"JU_(7,12]",Jupiter,"(7,12]",802,620,1422,0.56,0.44
"JU_[0,4]",Jupiter,"[0,4]",2031,1658,3689,0.55,0.45
"MA_(4,5]",Mars,"(4,5]",1141,953,2094,0.54,0.46
"MA_(5,7]",Mars,"(5,7]",1720,1402,3122,0.55,0.45
"MA_(7,13]",Mars,"(7,13]",756,657,1413,0.54,0.46
"MA_[0,4]",Mars,"[0,4]",2177,1720,3897,0.56,0.44
"ME_(4,5]",Mercury,"(4,5]",1142,927,2069,0.55,0.45
"ME_(5,7]",Mercury,"(5,7]",1716,1490,3206,0.54,0.46
"ME_(7,14]",Mercury,"(7,14]",728,572,1300,0.56,0.44
"ME_[0,4]",Mercury,"[0,4]",2208,1743,3951,0.56,0.44
"MO_(13,15]",Moon,"(13,15]",1628,1385,3013,0.54,0.46
"MO_(15,17]",Moon,"(15,17]",1407,1156,2563,0.55,0.45
"MO_(17,27]",Moon,"(17,27]",1025,776,1801,0.57,0.43
"MO_[5,13]",Moon,"[5,13]",1734,1415,3149,0.55,0.45
"NE_(4,5]",Neptune,"(4,5]",1167,997,2164,0.54,0.46
"NE_(5,6]",Neptune,"(5,6]",950,787,1737,0.55,0.45
"NE_(6,13]",Neptune,"(6,13]",1317,994,2311,0.57,0.43
"NE_[0,4]",Neptune,"[0,4]",2360,1954,4314,0.55,0.45
"NN_(5,6]",NNode,"(5,6]",1210,1014,2224,0.54,0.46
"NN_(6,7]",NNode,"(6,7]",1051,850,1901,0.55,0.45
"NN_(7,13]",NNode,"(7,13]",1163,950,2113,0.55,0.45
"NN_[1,5]",NNode,"[1,5]",2370,1918,4288,0.55,0.45
"PA_(4,5]",Pallas,"(4,5]",1090,937,2027,0.54,0.46
"PA_(5,7]",Pallas,"(5,7]",1844,1468,3312,0.56,0.44
"PA_(7,13]",Pallas,"(7,13]",798,681,1479,0.54,0.46
"PA_[0,4]",Pallas,"[0,4]",2062,1646,3708,0.56,0.44
"PH_(4,5]",Pholus,"(4,5]",1196,921,2117,0.56,0.44
"PH_(5,6]",Pholus,"(5,6]",981,821,1802,0.54,0.46
"PH_(6,13]",Pholus,"(6,13]",1367,1171,2538,0.54,0.46
"PH_[0,4]",Pholus,"[0,4]",2250,1819,4069,0.55,0.45
"PL_(4,5]",Pluto,"(4,5]",1201,998,2199,0.55,0.45
"PL_(5,6]",Pluto,"(5,6]",1010,842,1852,0.55,0.45
"PL_(6,14]",Pluto,"(6,14]",1374,1045,2419,0.57,0.43
"PL_[0,4]",Pluto,"[0,4]",2209,1847,4056,0.54,0.46
"SA_(4,5]",Saturn,"(4,5]",1100,920,2020,0.54,0.46
"SA_(5,7]",Saturn,"(5,7]",1751,1392,3143,0.56,0.44
"SA_(7,14]",Saturn,"(7,14]",743,582,1325,0.56,0.44
"SA_[0,4]",Saturn,"[0,4]",2200,1838,4038,0.54,0.46
"SN_(5,6]",SNode,"(5,6]",1262,1037,2299,0.55,0.45
"SN_(6,7]",SNode,"(6,7]",1035,827,1862,0.56,0.44
"SN_(7,13]",SNode,"(7,13]",1228,1003,2231,0.55,0.45
"SN_[1,5]",SNode,"[1,5]",2269,1865,4134,0.55,0.45
"SU_(4,5]",Sun,"(4,5]",1188,971,2159,0.55,0.45
"SU_(5,7]",Sun,"(5,7]",1764,1487,3251,0.54,0.46
"SU_(7,14]",Sun,"(7,14]",778,624,1402,0.55,0.45
"SU_[0,4]",Sun,"[0,4]",2064,1650,3714,0.56,0.44
"UR_(4,5]",Uranus,"(4,5]",1168,905,2073,0.56,0.44
"UR_(5,7]",Uranus,"(5,7]",1863,1491,3354,0.56,0.44
"UR_(7,15]",Uranus,"(7,15]",943,769,1712,0.55,0.45
"UR_[0,4]",Uranus,"[0,4]",1820,1567,3387,0.54,0.46
"VE_(4,5]",Venus,"(4,5]",1106,962,2068,0.53,0.47
"VE_(5,7]",Venus,"(5,7]",1859,1496,3355,0.55,0.45
"VE_(7,14]",Venus,"(7,14]",954,783,1737,0.55,0.45
"VE_[0,4]",Venus,"[0,4]",1875,1491,3366,0.56,0.44
"VS_(4,5]",Vesta,"(4,5]",1179,946,2125,0.55,0.45
"VS_(5,7]",Vesta,"(5,7]",1735,1534,3269,0.53,0.47
"VS_(7,13]",Vesta,"(7,13]",780,621,1401,0.56,0.44
"VS_[0,4]",Vesta,"[0,4]",2100,1631,3731,0.56,0.44
