PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,a0,"(0,2]",556,396,952,0.58,0.42
CE_a0_0,Ceres,a0,0,5136,4279,9415,0.55,0.45
"CE_a103_(0,3]",Ceres,a103,"(0,3]",1075,908,1983,0.54,0.46
CE_a103_0,Ceres,a103,0,4617,3767,8384,0.55,0.45
"CE_a120_(0,3]",Ceres,a120,"(0,3]",1081,856,1937,0.56,0.44
CE_a120_0,Ceres,a120,0,4611,3819,8430,0.55,0.45
"CE_a135_(0,3]",Ceres,a135,"(0,3]",1070,883,1953,0.55,0.45
CE_a135_0,Ceres,a135,0,4622,3792,8414,0.55,0.45
"CE_a144_(0,3]",Ceres,a144,"(0,3]",977,931,1908,0.51,0.49
CE_a144_0,Ceres,a144,0,4715,3744,8459,0.56,0.44
"CE_a150_(0,3]",Ceres,a150,"(0,3]",961,769,1730,0.56,0.44
CE_a150_0,Ceres,a150,0,4731,3906,8637,0.55,0.45
"CE_a180_(0,2]",Ceres,a180,"(0,2]",540,388,928,0.58,0.42
CE_a180_0,Ceres,a180,0,5152,4287,9439,0.55,0.45
"CE_a30_(0,1]",Ceres,a30,"(0,1]",1263,1065,2328,0.54,0.46
"CE_a30_(1,3]",Ceres,a30,"(1,3]",238,199,437,0.54,0.46
CE_a30_0,Ceres,a30,0,4191,3411,7602,0.55,0.45
"CE_a36_(0,1]",Ceres,a36,"(0,1]",1214,1050,2264,0.54,0.46
"CE_a36_(1,4]",Ceres,a36,"(1,4]",263,196,459,0.57,0.43
CE_a36_0,Ceres,a36,0,4215,3429,7644,0.55,0.45
"CE_a45_(0,3]",Ceres,a45,"(0,3]",1375,1112,2487,0.55,0.45
CE_a45_0,Ceres,a45,0,4317,3563,7880,0.55,0.45
"CE_a60_(0,3]",Ceres,a60,"(0,3]",1211,1010,2221,0.55,0.45
CE_a60_0,Ceres,a60,0,4481,3665,8146,0.55,0.45
"CE_a72_(0,3]",Ceres,a72,"(0,3]",1123,979,2102,0.53,0.47
CE_a72_0,Ceres,a72,0,4569,3696,8265,0.55,0.45
"CE_a90_(0,3]",Ceres,a90,"(0,3]",904,727,1631,0.55,0.45
CE_a90_0,Ceres,a90,0,4788,3948,8736,0.55,0.45
"CH_a0_(0,1]",Chiron,a0,"(0,1]",280,204,484,0.58,0.42
CH_a0_0,Chiron,a0,0,5412,4471,9883,0.55,0.45
"CH_a103_(0,1]",Chiron,a103,"(0,1]",160,119,279,0.57,0.43
CH_a103_0,Chiron,a103,0,5532,4556,10088,0.55,0.45
"CH_a120_(0,2]",Chiron,a120,"(0,2]",166,129,295,0.56,0.44
CH_a120_0,Chiron,a120,0,5526,4546,10072,0.55,0.45
"CH_a135_(0,2]",Chiron,a135,"(0,2]",173,129,302,0.57,0.43
CH_a135_0,Chiron,a135,0,5519,4546,10065,0.55,0.45
"CH_a144_(0,2]",Chiron,a144,"(0,2]",396,307,703,0.56,0.44
CH_a144_0,Chiron,a144,0,5296,4368,9664,0.55,0.45
"CH_a150_(0,2]",Chiron,a150,"(0,2]",318,294,612,0.52,0.48
CH_a150_0,Chiron,a150,0,5374,4381,9755,0.55,0.45
"CH_a180_(0,1]",Chiron,a180,"(0,1]",267,199,466,0.57,0.43
CH_a180_0,Chiron,a180,0,5425,4476,9901,0.55,0.45
CH_a30_0,Chiron,a30,0,3835,3269,7104,0.54,0.46
CH_a30_1,Chiron,a30,1,1857,1406,3263,0.57,0.43
"CH_a36_(0,2]",Chiron,a36,"(0,2]",664,576,1240,0.54,0.46
CH_a36_0,Chiron,a36,0,5028,4099,9127,0.55,0.45
"CH_a45_(0,2]",Chiron,a45,"(0,2]",729,705,1434,0.51,0.49
CH_a45_0,Chiron,a45,0,4963,3970,8933,0.56,0.44
"CH_a60_(0,1]",Chiron,a60,"(0,1]",593,504,1097,0.54,0.46
CH_a60_0,Chiron,a60,0,5099,4171,9270,0.55,0.45
"CH_a72_(0,1]",Chiron,a72,"(0,1]",649,486,1135,0.57,0.43
CH_a72_0,Chiron,a72,0,5043,4189,9232,0.55,0.45
"CH_a90_(0,1]",Chiron,a90,"(0,1]",434,342,776,0.56,0.44
CH_a90_0,Chiron,a90,0,5258,4333,9591,0.55,0.45
"JN_a0_(0,2]",Juno,a0,"(0,2]",692,547,1239,0.56,0.44
JN_a0_0,Juno,a0,0,5000,4128,9128,0.55,0.45
"JN_a103_(0,4]",Juno,a103,"(0,4]",1238,1091,2329,0.53,0.47
JN_a103_0,Juno,a103,0,4454,3584,8038,0.55,0.45
"JN_a120_(0,3]",Juno,a120,"(0,3]",1363,1160,2523,0.54,0.46
JN_a120_0,Juno,a120,0,4329,3515,7844,0.55,0.45
"JN_a135_(0,3]",Juno,a135,"(0,3]",1305,1067,2372,0.55,0.45
JN_a135_0,Juno,a135,0,4387,3608,7995,0.55,0.45
"JN_a144_(0,3]",Juno,a144,"(0,3]",1369,1115,2484,0.55,0.45
JN_a144_0,Juno,a144,0,4323,3560,7883,0.55,0.45
"JN_a150_(0,3]",Juno,a150,"(0,3]",1298,1058,2356,0.55,0.45
JN_a150_0,Juno,a150,0,4394,3617,8011,0.55,0.45
"JN_a180_(0,3]",Juno,a180,"(0,3]",764,595,1359,0.56,0.44
JN_a180_0,Juno,a180,0,4928,4080,9008,0.55,0.45
"JN_a30_(0,3]",Juno,a30,"(0,3]",1216,933,2149,0.57,0.43
JN_a30_0,Juno,a30,0,4476,3742,8218,0.54,0.46
"JN_a36_(0,3]",Juno,a36,"(0,3]",1169,932,2101,0.56,0.44
JN_a36_0,Juno,a36,0,4523,3743,8266,0.55,0.45
"JN_a45_(0,3]",Juno,a45,"(0,3]",1223,967,2190,0.56,0.44
JN_a45_0,Juno,a45,0,4469,3708,8177,0.55,0.45
"JN_a60_(0,3]",Juno,a60,"(0,3]",1298,1143,2441,0.53,0.47
JN_a60_0,Juno,a60,0,4394,3532,7926,0.55,0.45
"JN_a72_(0,3]",Juno,a72,"(0,3]",1282,1097,2379,0.54,0.46
JN_a72_0,Juno,a72,0,4410,3578,7988,0.55,0.45
"JN_a90_(0,3]",Juno,a90,"(0,3]",1293,986,2279,0.57,0.43
JN_a90_0,Juno,a90,0,4399,3689,8088,0.54,0.46
"JU_a0_(0,2]",Jupiter,a0,"(0,2]",507,400,907,0.56,0.44
JU_a0_0,Jupiter,a0,0,5185,4275,9460,0.55,0.45
"JU_a103_(0,2]",Jupiter,a103,"(0,2]",949,740,1689,0.56,0.44
JU_a103_0,Jupiter,a103,0,4743,3935,8678,0.55,0.45
"JU_a120_(0,3]",Jupiter,a120,"(0,3]",950,734,1684,0.56,0.44
JU_a120_0,Jupiter,a120,0,4742,3941,8683,0.55,0.45
"JU_a135_(0,3]",Jupiter,a135,"(0,3]",880,708,1588,0.55,0.45
JU_a135_0,Jupiter,a135,0,4812,3967,8779,0.55,0.45
"JU_a144_(0,3]",Jupiter,a144,"(0,3]",1067,851,1918,0.56,0.44
JU_a144_0,Jupiter,a144,0,4625,3824,8449,0.55,0.45
"JU_a150_(0,3]",Jupiter,a150,"(0,3]",902,799,1701,0.53,0.47
JU_a150_0,Jupiter,a150,0,4790,3876,8666,0.55,0.45
"JU_a180_(0,2]",Jupiter,a180,"(0,2]",517,450,967,0.53,0.47
JU_a180_0,Jupiter,a180,0,5175,4225,9400,0.55,0.45
"JU_a30_(0,3]",Jupiter,a30,"(0,3]",921,776,1697,0.54,0.46
JU_a30_0,Jupiter,a30,0,4771,3899,8670,0.55,0.45
"JU_a36_(0,3]",Jupiter,a36,"(0,3]",1131,934,2065,0.55,0.45
JU_a36_0,Jupiter,a36,0,4561,3741,8302,0.55,0.45
"JU_a45_(0,2]",Jupiter,a45,"(0,2]",1038,845,1883,0.55,0.45
JU_a45_0,Jupiter,a45,0,4654,3830,8484,0.55,0.45
"JU_a60_(0,3]",Jupiter,a60,"(0,3]",971,755,1726,0.56,0.44
JU_a60_0,Jupiter,a60,0,4721,3920,8641,0.55,0.45
"JU_a72_(0,3]",Jupiter,a72,"(0,3]",1014,865,1879,0.54,0.46
JU_a72_0,Jupiter,a72,0,4678,3810,8488,0.55,0.45
"JU_a90_(0,3]",Jupiter,a90,"(0,3]",906,675,1581,0.57,0.43
JU_a90_0,Jupiter,a90,0,4786,4000,8786,0.54,0.46
"MA_a0_(0,3]",Mars,a0,"(0,3]",808,708,1516,0.53,0.47
MA_a0_0,Mars,a0,0,4884,3967,8851,0.55,0.45
"MA_a103_(0,1]",Mars,a103,"(0,1]",1204,1084,2288,0.53,0.47
"MA_a103_(1,4]",Mars,a103,"(1,4]",194,176,370,0.52,0.48
MA_a103_0,Mars,a103,0,4294,3415,7709,0.56,0.44
"MA_a120_(0,1]",Mars,a120,"(0,1]",1199,1018,2217,0.54,0.46
"MA_a120_(1,3]",Mars,a120,"(1,3]",211,142,353,0.6,0.4
MA_a120_0,Mars,a120,0,4282,3515,7797,0.55,0.45
"MA_a135_(0,4]",Mars,a135,"(0,4]",1347,1128,2475,0.54,0.46
MA_a135_0,Mars,a135,0,4345,3547,7892,0.55,0.45
"MA_a144_(0,1]",Mars,a144,"(0,1]",1395,1041,2436,0.57,0.43
"MA_a144_(1,4]",Mars,a144,"(1,4]",167,170,337,0.5,0.5
MA_a144_0,Mars,a144,0,4130,3464,7594,0.54,0.46
"MA_a150_(0,1]",Mars,a150,"(0,1]",1251,1092,2343,0.53,0.47
"MA_a150_(1,4]",Mars,a150,"(1,4]",209,162,371,0.56,0.44
MA_a150_0,Mars,a150,0,4232,3421,7653,0.55,0.45
"MA_a180_(0,3]",Mars,a180,"(0,3]",760,664,1424,0.53,0.47
MA_a180_0,Mars,a180,0,4932,4011,8943,0.55,0.45
"MA_a30_(0,1]",Mars,a30,"(0,1]",1448,1094,2542,0.57,0.43
"MA_a30_(1,3]",Mars,a30,"(1,3]",225,160,385,0.58,0.42
MA_a30_0,Mars,a30,0,4019,3421,7440,0.54,0.46
"MA_a36_(0,1]",Mars,a36,"(0,1]",1284,1015,2299,0.56,0.44
"MA_a36_(1,4]",Mars,a36,"(1,4]",237,170,407,0.58,0.42
MA_a36_0,Mars,a36,0,4171,3490,7661,0.54,0.46
"MA_a45_(0,1]",Mars,a45,"(0,1]",1283,1149,2432,0.53,0.47
"MA_a45_(1,4]",Mars,a45,"(1,4]",185,144,329,0.56,0.44
MA_a45_0,Mars,a45,0,4224,3382,7606,0.56,0.44
"MA_a60_(0,1]",Mars,a60,"(0,1]",1237,1048,2285,0.54,0.46
"MA_a60_(1,5]",Mars,a60,"(1,5]",203,159,362,0.56,0.44
MA_a60_0,Mars,a60,0,4252,3468,7720,0.55,0.45
"MA_a72_(0,1]",Mars,a72,"(0,1]",1305,1101,2406,0.54,0.46
"MA_a72_(1,4]",Mars,a72,"(1,4]",156,129,285,0.55,0.45
MA_a72_0,Mars,a72,0,4231,3445,7676,0.55,0.45
"MA_a90_(0,4]",Mars,a90,"(0,4]",1342,1123,2465,0.54,0.46
MA_a90_0,Mars,a90,0,4350,3552,7902,0.55,0.45
"ME_a0_(0,1]",Mercury,a0,"(0,1]",1299,1040,2339,0.56,0.44
"ME_a0_(1,4]",Mercury,a0,"(1,4]",197,165,362,0.54,0.46
ME_a0_0,Mercury,a0,0,4196,3470,7666,0.55,0.45
"ME_a103_(0,1]",Mercury,a103,"(0,1]",1293,1170,2463,0.52,0.48
"ME_a103_(1,4]",Mercury,a103,"(1,4]",195,167,362,0.54,0.46
ME_a103_0,Mercury,a103,0,4204,3338,7542,0.56,0.44
"ME_a120_(0,1]",Mercury,a120,"(0,1]",1352,1110,2462,0.55,0.45
"ME_a120_(1,3]",Mercury,a120,"(1,3]",197,165,362,0.54,0.46
ME_a120_0,Mercury,a120,0,4143,3400,7543,0.55,0.45
