PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(0,1]",Ceres,"(0,1]",1987,1585,3572,0.56,0.44
"CE_(1,2]",Ceres,"(1,2]",1303,1078,2381,0.55,0.45
"CE_(2,7]",Ceres,"(2,7]",998,829,1827,0.55,0.45
CE_0,Ceres,0,1404,1183,2587,0.54,0.46
"CH_(0,1]",Chiron,"(0,1]",2230,1795,4025,0.55,0.45
"CH_(1,3]",Chiron,"(1,3]",634,495,1129,0.56,0.44
CH_0,Chiron,0,2828,2385,5213,0.54,0.46
"JN_(1,2]",Juno,"(1,2]",1422,1199,2621,0.54,0.46
"JN_(2,7]",Juno,"(2,7]",1151,925,2076,0.55,0.45
JN_1,Juno,1,1912,1590,3502,0.55,0.45
"JN_[0,1)",Juno,"[0,1)",1207,961,2168,0.56,0.44
"JU_(0,1]",Jupiter,"(0,1]",1950,1598,3548,0.55,0.45
"JU_(1,2]",Jupiter,"(1,2]",1222,1003,2225,0.55,0.45
"JU_(2,6]",Jupiter,"(2,6]",657,486,1143,0.57,0.43
JU_0,Jupiter,0,1863,1588,3451,0.54,0.46
"MA_(1,2]",Mars,"(1,2]",1501,1250,2751,0.55,0.45
"MA_(2,3]",Mars,"(2,3]",923,794,1717,0.54,0.46
"MA_(3,9]",Mars,"(3,9]",642,541,1183,0.54,0.46
"MA_[0,1]",Mars,"[0,1]",2626,2090,4716,0.56,0.44
"ME_(1,2]",Mercury,"(1,2]",1547,1258,2805,0.55,0.45
"ME_(2,3]",Mercury,"(2,3]",1220,1025,2245,0.54,0.46
"ME_(3,9]",Mercury,"(3,9]",1203,983,2186,0.55,0.45
"ME_[0,1]",Mercury,"[0,1]",1722,1409,3131,0.55,0.45
"MO_(11,22]",Moon,"(11,22]",1417,1189,2606,0.54,0.46
"MO_(6,9]",Moon,"(6,9]",1567,1385,2952,0.53,0.47
"MO_(9,11]",Moon,"(9,11]",1173,861,2034,0.58,0.42
"MO_[0,6]",Moon,"[0,6]",1535,1240,2775,0.55,0.45
"NE_(0,1]",Neptune,"(0,1]",422,350,772,0.55,0.45
NE_0,Neptune,0,5270,4325,9595,0.55,0.45
"NN_(2,5]",NNode,"(2,5]",1037,841,1878,0.55,0.45
NN_1,NNode,1,2504,2012,4516,0.55,0.45
NN_2,NNode,2,2151,1822,3973,0.54,0.46
"PA_(0,1]",Pallas,"(0,1]",1976,1617,3593,0.55,0.45
"PA_(1,2]",Pallas,"(1,2]",1305,996,2301,0.57,0.43
"PA_(2,7]",Pallas,"(2,7]",755,648,1403,0.54,0.46
PA_0,Pallas,0,1656,1414,3070,0.54,0.46
"PH_(0,2]",Pholus,"(0,2]",1350,1186,2536,0.53,0.47
PH_0,Pholus,0,4342,3489,7831,0.55,0.45
"SA_(1,4]",Saturn,"(1,4]",774,582,1356,0.57,0.43
SA_0,Saturn,0,2759,2373,5132,0.54,0.46
SA_1,Saturn,1,2159,1720,3879,0.56,0.44
"SN_(1,4]",SNode,"(1,4]",1104,848,1952,0.57,0.43
SN_0,SNode,0,2486,2054,4540,0.55,0.45
SN_1,SNode,1,2102,1773,3875,0.54,0.46
"SU_(1,2]",Sun,"(1,2]",1563,1290,2853,0.55,0.45
"SU_(2,3]",Sun,"(2,3]",1125,918,2043,0.55,0.45
"SU_(3,9]",Sun,"(3,9]",883,769,1652,0.53,0.47
"SU_[0,1]",Sun,"[0,1]",2121,1698,3819,0.56,0.44
"UR_(0,1]",Uranus,"(0,1]",1781,1328,3109,0.57,0.43
"UR_(1,3]",Uranus,"(1,3]",345,277,622,0.55,0.45
UR_0,Uranus,0,3566,3070,6636,0.54,0.46
"VE_(1,2]",Venus,"(1,2]",1469,1268,2737,0.54,0.46
"VE_(2,3]",Venus,"(2,3]",1267,987,2254,0.56,0.44
"VE_(3,10]",Venus,"(3,10]",1171,989,2160,0.54,0.46
"VE_[0,1]",Venus,"[0,1]",1785,1431,3216,0.56,0.44
"VS_(1,2]",Vesta,"(1,2]",1400,1170,2570,0.54,0.46
"VS_(2,8]",Vesta,"(2,8]",1451,1138,2589,0.56,0.44
VS_1,Vesta,1,1731,1448,3179,0.54,0.46
"VS_[0,1)",Vesta,"[0,1)",1110,919,2029,0.55,0.45
