PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",1208,1092,2300,0.53,0.47
CE_3,Ceres,3,1637,1306,2943,0.56,0.44
"CE_[0,2]",Ceres,"[0,2]",2885,2299,5184,0.56,0.44
"CH_(3,4]",Chiron,"(3,4]",1265,1055,2320,0.55,0.45
"CH_(4,5]",Chiron,"(4,5]",1137,944,2081,0.55,0.45
"CH_(5,11]",Chiron,"(5,11]",1312,1036,2348,0.56,0.44
"CH_[0,3]",Chiron,"[0,3]",2016,1662,3678,0.55,0.45
"JN_(1,2]",Juno,"(1,2]",1867,1538,3405,0.55,0.45
"JN_(2,3]",Juno,"(2,3]",1554,1253,2807,0.55,0.45
"JN_(3,7]",Juno,"(3,7]",916,726,1642,0.56,0.44
"JN_[0,1]",Juno,"[0,1]",1393,1180,2573,0.54,0.46
"JU_(2,3]",Jupiter,"(2,3]",1578,1361,2939,0.54,0.46
"JU_(3,4]",Jupiter,"(3,4]",1259,1012,2271,0.55,0.45
"JU_(4,8]",Jupiter,"(4,8]",854,731,1585,0.54,0.46
"JU_[0,2]",Jupiter,"[0,2]",2039,1593,3632,0.56,0.44
"MA_(2,5]",Mars,"(2,5]",1154,977,2131,0.54,0.46
MA_2,Mars,2,2032,1638,3670,0.55,0.45
"MA_[0,1]",Mars,"[0,1]",2544,2082,4626,0.55,0.45
"ME_(1,3]",Mercury,"(1,3]",666,583,1249,0.53,0.47
ME_0,Mercury,0,1564,1356,2920,0.54,0.46
ME_1,Mercury,1,3500,2758,6258,0.56,0.44
"NE_(4,5]",Neptune,"(4,5]",1132,961,2093,0.54,0.46
"NE_(5,6]",Neptune,"(5,6]",931,766,1697,0.55,0.45
"NE_(6,13]",Neptune,"(6,13]",1165,877,2042,0.57,0.43
"NE_[0,4]",Neptune,"[0,4]",2502,2093,4595,0.54,0.46
"NN_(2,3]",NNode,"(2,3]",1546,1224,2770,0.56,0.44
"NN_(3,4]",NNode,"(3,4]",1331,1084,2415,0.55,0.45
"NN_(4,9]",NNode,"(4,9]",1222,1026,2248,0.54,0.46
"NN_[0,2]",NNode,"[0,2]",1631,1363,2994,0.54,0.46
"PA_(2,3]",Pallas,"(2,3]",1642,1374,3016,0.54,0.46
"PA_(3,4]",Pallas,"(3,4]",1132,938,2070,0.55,0.45
"PA_(4,8]",Pallas,"(4,8]",673,526,1199,0.56,0.44
"PA_[0,2]",Pallas,"[0,2]",2283,1859,4142,0.55,0.45
"PH_(3,5]",Pholus,"(3,5]",2321,1859,4180,0.56,0.44
"PH_(5,6]",Pholus,"(5,6]",858,741,1599,0.54,0.46
"PH_(6,13]",Pholus,"(6,13]",959,832,1791,0.54,0.46
"PH_[0,3]",Pholus,"[0,3]",1592,1265,2857,0.56,0.44
"PL_(4,5]",Pluto,"(4,5]",1192,990,2182,0.55,0.45
"PL_(5,6]",Pluto,"(5,6]",995,834,1829,0.54,0.46
"PL_(6,14]",Pluto,"(6,14]",1349,1034,2383,0.57,0.43
"PL_[0,4]",Pluto,"[0,4]",2194,1839,4033,0.54,0.46
"SA_(3,4]",Saturn,"(3,4]",1278,965,2243,0.57,0.43
"SA_(4,5]",Saturn,"(4,5]",929,797,1726,0.54,0.46
"SA_(5,11]",Saturn,"(5,11]",1083,881,1964,0.55,0.45
"SA_[0,3]",Saturn,"[0,3]",2440,2054,4494,0.54,0.46
"SN_(3,4]",SNode,"(3,4]",1519,1244,2763,0.55,0.45
"SN_(4,5]",SNode,"(4,5]",1357,1079,2436,0.56,0.44
"SN_(5,10]",SNode,"(5,10]",1269,1086,2355,0.54,0.46
"SN_[1,3]",SNode,"[1,3]",1585,1288,2873,0.55,0.45
"SU_(1,2]",Sun,"(1,2]",1895,1495,3390,0.56,0.44
"SU_(2,4]",Sun,"(2,4]",398,312,710,0.56,0.44
SU_1,Sun,1,2615,2124,4739,0.55,0.45
"SU_[0,1)",Sun,"[0,1)",822,766,1588,0.52,0.48
"UR_(3,5]",Uranus,"(3,5]",2302,1932,4234,0.54,0.46
"UR_(5,6]",Uranus,"(5,6]",907,694,1601,0.57,0.43
"UR_(6,13]",Uranus,"(6,13]",936,787,1723,0.54,0.46
"UR_[0,3]",Uranus,"[0,3]",1585,1284,2869,0.55,0.45
"VE_(1,2]",Venus,"(1,2]",1425,1208,2633,0.54,0.46
"VE_(2,3]",Venus,"(2,3]",191,153,344,0.56,0.44
VE_1,Venus,1,2961,2394,5355,0.55,0.45
"VE_[0,1)",Venus,"[0,1)",1153,942,2095,0.55,0.45
"VS_(1,2]",Vesta,"(1,2]",2094,1702,3796,0.55,0.45
"VS_(2,3]",Vesta,"(2,3]",1205,1037,2242,0.54,0.46
"VS_(3,6]",Vesta,"(3,6]",464,383,847,0.55,0.45
"VS_[0,1]",Vesta,"[0,1]",1967,1575,3542,0.56,0.44
