PlanetsAspect,PlanetX,PlanetY,Aspect,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CH_a0,Ceres,Chiron,Conjunction,49,21,70,0.7,0.3
CE_CH_a103,Ceres,Chiron,BiSeptile,173,149,322,0.54,0.46
CE_CH_a120,Ceres,Chiron,Trine,104,91,195,0.53,0.47
CE_CH_a135,Ceres,Chiron,SesquiSquare,127,102,229,0.55,0.45
CE_CH_a144,Ceres,Chiron,BiQuintile,79,73,152,0.52,0.48
CE_CH_a150,Ceres,Chiron,Quincunx,79,44,123,0.64,0.36
CE_CH_a180,Ceres,Chiron,Opposition,86,91,177,0.49,0.51
CE_CH_a30,Ceres,Chiron,SemiSextile,124,97,221,0.56,0.44
CE_CH_a36,Ceres,Chiron,SemiQuintile,140,131,271,0.52,0.48
CE_CH_a45,Ceres,Chiron,SemiSquare,126,104,230,0.55,0.45
CE_CH_a60,Ceres,Chiron,Sextile,123,114,237,0.52,0.48
CE_CH_a72,Ceres,Chiron,Quintile,110,108,218,0.5,0.5
CE_CH_a90,Ceres,Chiron,Square,153,125,278,0.55,0.45
CE_JU_a0,Ceres,Jupiter,Conjunction,46,42,88,0.52,0.48
CE_JU_a103,Ceres,Jupiter,BiSeptile,128,121,249,0.51,0.49
CE_JU_a120,Ceres,Jupiter,Trine,99,79,178,0.56,0.44
CE_JU_a135,Ceres,Jupiter,SesquiSquare,119,124,243,0.49,0.51
CE_JU_a144,Ceres,Jupiter,BiQuintile,90,109,199,0.45,0.55
CE_JU_a150,Ceres,Jupiter,Quincunx,96,87,183,0.52,0.48
CE_JU_a180,Ceres,Jupiter,Opposition,63,46,109,0.58,0.42
CE_JU_a30,Ceres,Jupiter,SemiSextile,130,103,233,0.56,0.44
CE_JU_a36,Ceres,Jupiter,SemiQuintile,180,133,313,0.58,0.42
CE_JU_a45,Ceres,Jupiter,SemiSquare,105,87,192,0.55,0.45
CE_JU_a60,Ceres,Jupiter,Sextile,102,90,192,0.53,0.47
CE_JU_a72,Ceres,Jupiter,Quintile,114,104,218,0.52,0.48
CE_JU_a90,Ceres,Jupiter,Square,109,85,194,0.56,0.44
CE_NE_a0,Ceres,Neptune,Conjunction,70,44,114,0.61,0.39
CE_NE_a103,Ceres,Neptune,BiSeptile,94,87,181,0.52,0.48
CE_NE_a120,Ceres,Neptune,Trine,143,110,253,0.57,0.43
CE_NE_a135,Ceres,Neptune,SesquiSquare,110,94,204,0.54,0.46
CE_NE_a144,Ceres,Neptune,BiQuintile,111,107,218,0.51,0.49
CE_NE_a150,Ceres,Neptune,Quincunx,118,112,230,0.51,0.49
CE_NE_a180,Ceres,Neptune,Opposition,36,29,65,0.55,0.45
CE_NE_a30,Ceres,Neptune,SemiSextile,118,129,247,0.48,0.52
CE_NE_a36,Ceres,Neptune,SemiQuintile,129,109,238,0.54,0.46
CE_NE_a45,Ceres,Neptune,SemiSquare,142,104,246,0.58,0.42
CE_NE_a60,Ceres,Neptune,Sextile,130,109,239,0.54,0.46
CE_NE_a72,Ceres,Neptune,Quintile,97,104,201,0.48,0.52
CE_NE_a90,Ceres,Neptune,Square,94,92,186,0.51,0.49
CE_NN_a0,Ceres,NNode,Conjunction,89,67,156,0.57,0.43
CE_NN_a103,Ceres,NNode,BiSeptile,105,92,197,0.53,0.47
CE_NN_a120,Ceres,NNode,Trine,149,155,304,0.49,0.51
CE_NN_a135,Ceres,NNode,SesquiSquare,153,135,288,0.53,0.47
CE_NN_a144,Ceres,NNode,BiQuintile,119,134,253,0.47,0.53
CE_NN_a150,Ceres,NNode,Quincunx,158,145,303,0.52,0.48
CE_NN_a180,Ceres,NNode,Opposition,38,32,70,0.54,0.46
CE_NN_a30,Ceres,NNode,SemiSextile,107,84,191,0.56,0.44
CE_NN_a36,Ceres,NNode,SemiQuintile,128,94,222,0.58,0.42
CE_NN_a45,Ceres,NNode,SemiSquare,79,64,143,0.55,0.45
CE_NN_a60,Ceres,NNode,Sextile,149,128,277,0.54,0.46
CE_NN_a72,Ceres,NNode,Quintile,93,91,184,0.51,0.49
CE_NN_a90,Ceres,NNode,Square,145,128,273,0.53,0.47
CE_PA_a103,Ceres,Pallas,BiSeptile,32,27,59,0.54,0.46
CE_PA_a30,Ceres,Pallas,SemiSextile,516,492,1008,0.51,0.49
CE_PA_a36,Ceres,Pallas,SemiQuintile,464,368,832,0.56,0.44
CE_PA_a45,Ceres,Pallas,SemiSquare,423,374,797,0.53,0.47
CE_PA_a60,Ceres,Pallas,Sextile,174,166,340,0.51,0.49
CE_PA_a72,Ceres,Pallas,Quintile,81,106,187,0.43,0.57
CE_PA_a90,Ceres,Pallas,Square,53,42,95,0.56,0.44
CE_PH_a0,Ceres,Pholus,Conjunction,58,65,123,0.47,0.53
CE_PH_a103,Ceres,Pholus,BiSeptile,121,107,228,0.53,0.47
CE_PH_a120,Ceres,Pholus,Trine,139,110,249,0.56,0.44
CE_PH_a135,Ceres,Pholus,SesquiSquare,193,171,364,0.53,0.47
CE_PH_a144,Ceres,Pholus,BiQuintile,127,120,247,0.51,0.49
CE_PH_a150,Ceres,Pholus,Quincunx,125,134,259,0.48,0.52
CE_PH_a180,Ceres,Pholus,Opposition,64,46,110,0.58,0.42
CE_PH_a30,Ceres,Pholus,SemiSextile,171,155,326,0.52,0.48
CE_PH_a36,Ceres,Pholus,SemiQuintile,143,135,278,0.51,0.49
CE_PH_a45,Ceres,Pholus,SemiSquare,91,90,181,0.5,0.5
CE_PH_a60,Ceres,Pholus,Sextile,147,117,264,0.56,0.44
CE_PH_a72,Ceres,Pholus,Quintile,175,139,314,0.56,0.44
CE_PH_a90,Ceres,Pholus,Square,94,92,186,0.51,0.49
CE_PL_a0,Ceres,Pluto,Conjunction,74,48,122,0.61,0.39
CE_PL_a103,Ceres,Pluto,BiSeptile,103,82,185,0.56,0.44
CE_PL_a120,Ceres,Pluto,Trine,117,111,228,0.51,0.49
CE_PL_a135,Ceres,Pluto,SesquiSquare,113,86,199,0.57,0.43
CE_PL_a144,Ceres,Pluto,BiQuintile,117,112,229,0.51,0.49
CE_PL_a150,Ceres,Pluto,Quincunx,117,86,203,0.58,0.42
CE_PL_a180,Ceres,Pluto,Opposition,47,36,83,0.57,0.43
CE_PL_a30,Ceres,Pluto,SemiSextile,138,113,251,0.55,0.45
CE_PL_a36,Ceres,Pluto,SemiQuintile,127,131,258,0.49,0.51
CE_PL_a45,Ceres,Pluto,SemiSquare,131,112,243,0.54,0.46
CE_PL_a60,Ceres,Pluto,Sextile,120,102,222,0.54,0.46
CE_PL_a72,Ceres,Pluto,Quintile,154,123,277,0.56,0.44
CE_PL_a90,Ceres,Pluto,Square,100,77,177,0.56,0.44
CE_SA_a0,Ceres,Saturn,Conjunction,40,45,85,0.47,0.53
CE_SA_a103,Ceres,Saturn,BiSeptile,137,131,268,0.51,0.49
CE_SA_a120,Ceres,Saturn,Trine,153,123,276,0.55,0.45
CE_SA_a135,Ceres,Saturn,SesquiSquare,113,89,202,0.56,0.44
CE_SA_a144,Ceres,Saturn,BiQuintile,144,134,278,0.52,0.48
CE_SA_a150,Ceres,Saturn,Quincunx,124,82,206,0.6,0.4
CE_SA_a180,Ceres,Saturn,Opposition,39,42,81,0.48,0.52
CE_SA_a30,Ceres,Saturn,SemiSextile,116,121,237,0.49,0.51
CE_SA_a36,Ceres,Saturn,SemiQuintile,195,173,368,0.53,0.47
CE_SA_a45,Ceres,Saturn,SemiSquare,148,134,282,0.52,0.48
CE_SA_a60,Ceres,Saturn,Sextile,102,92,194,0.53,0.47
CE_SA_a72,Ceres,Saturn,Quintile,91,116,207,0.44,0.56
CE_SA_a90,Ceres,Saturn,Square,120,109,229,0.52,0.48
CE_SN_a0,Ceres,SNode,Conjunction,38,32,70,0.54,0.46
CE_SN_a103,Ceres,SNode,BiSeptile,140,120,260,0.54,0.46
CE_SN_a120,Ceres,SNode,Trine,149,129,278,0.54,0.46
CE_SN_a135,Ceres,SNode,SesquiSquare,79,64,143,0.55,0.45
CE_SN_a144,Ceres,SNode,BiQuintile,128,94,222,0.58,0.42
CE_SN_a150,Ceres,SNode,Quincunx,107,84,191,0.56,0.44
CE_SN_a180,Ceres,SNode,Opposition,89,67,156,0.57,0.43
CE_SN_a30,Ceres,SNode,SemiSextile,158,145,303,0.52,0.48
CE_SN_a36,Ceres,SNode,SemiQuintile,119,133,252,0.47,0.53
CE_SN_a45,Ceres,SNode,SemiSquare,153,135,288,0.53,0.47
CE_SN_a60,Ceres,SNode,Sextile,149,155,304,0.49,0.51
CE_SN_a72,Ceres,SNode,Quintile,102,95,197,0.52,0.48
