PlanetQuality,Planet,Quality,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_CAR,Ceres,Cardinal,1223,1095,2318,0.53,0.47
CE_FIX,Ceres,Fixed,1322,1151,2473,0.53,0.47
CE_MUT,Ceres,Mutable,1447,1238,2685,0.54,0.46
CH_CAR,Chiron,Cardinal,1322,1114,2436,0.54,0.46
CH_FIX,Chiron,Fixed,1051,830,1881,0.56,0.44
CH_MUT,Chiron,Mutable,1619,1540,3159,0.51,0.49
JN_CAR,Juno,Cardinal,1289,1119,2408,0.54,0.46
JN_FIX,Juno,Fixed,1324,1158,2482,0.53,0.47
JN_MUT,Juno,Mutable,1379,1207,2586,0.53,0.47
JU_CAR,Jupiter,Cardinal,1330,1104,2434,0.55,0.45
JU_FIX,Jupiter,Fixed,1340,1194,2534,0.53,0.47
JU_MUT,Jupiter,Mutable,1322,1186,2508,0.53,0.47
MA_CAR,Mars,Cardinal,1306,1068,2374,0.55,0.45
MA_FIX,Mars,Fixed,1322,1176,2498,0.53,0.47
MA_MUT,Mars,Mutable,1364,1240,2604,0.52,0.48
ME_CAR,Mercury,Cardinal,1333,1138,2471,0.54,0.46
ME_FIX,Mercury,Fixed,1356,1189,2545,0.53,0.47
ME_MUT,Mercury,Mutable,1303,1157,2460,0.53,0.47
MO_CAR,Moon,Cardinal,1329,1163,2492,0.53,0.47
MO_FIX,Moon,Fixed,1342,1153,2495,0.54,0.46
MO_MUT,Moon,Mutable,1321,1168,2489,0.53,0.47
NE_CAR,Neptune,Cardinal,665,537,1202,0.55,0.45
NE_FIX,Neptune,Fixed,1815,1568,3383,0.54,0.46
NE_MUT,Neptune,Mutable,1512,1379,2891,0.52,0.48
NN_CAR,NNode,Cardinal,1289,1064,2353,0.55,0.45
NN_FIX,NNode,Fixed,1390,1243,2633,0.53,0.47
NN_MUT,NNode,Mutable,1313,1177,2490,0.53,0.47
PA_CAR,Pallas,Cardinal,1363,1147,2510,0.54,0.46
PA_FIX,Pallas,Fixed,1296,1159,2455,0.53,0.47
PA_MUT,Pallas,Mutable,1333,1178,2511,0.53,0.47
PH_CAR,Pholus,Cardinal,1056,881,1937,0.55,0.45
PH_FIX,Pholus,Fixed,866,761,1627,0.53,0.47
PH_MUT,Pholus,Mutable,2070,1842,3912,0.53,0.47
PL_CAR,Pluto,Cardinal,1951,1762,3713,0.53,0.47
PL_FIX,Pluto,Fixed,271,247,518,0.52,0.48
PL_MUT,Pluto,Mutable,1770,1475,3245,0.55,0.45
SA_CAR,Saturn,Cardinal,1360,1165,2525,0.54,0.46
SA_FIX,Saturn,Fixed,1395,1119,2514,0.55,0.45
SA_MUT,Saturn,Mutable,1237,1200,2437,0.51,0.49
SN_CAR,SNode,Cardinal,1289,1064,2353,0.55,0.45
SN_FIX,SNode,Fixed,1390,1243,2633,0.53,0.47
SN_MUT,SNode,Mutable,1313,1177,2490,0.53,0.47
SU_CAR,Sun,Cardinal,1312,1104,2416,0.54,0.46
SU_FIX,Sun,Fixed,1358,1158,2516,0.54,0.46
SU_MUT,Sun,Mutable,1322,1222,2544,0.52,0.48
UR_CAR,Uranus,Cardinal,1337,1212,2549,0.52,0.48
UR_FIX,Uranus,Fixed,1604,1419,3023,0.53,0.47
UR_MUT,Uranus,Mutable,1051,853,1904,0.55,0.45
VE_CAR,Venus,Cardinal,1360,1183,2543,0.53,0.47
VE_FIX,Venus,Fixed,1314,1173,2487,0.53,0.47
VE_MUT,Venus,Mutable,1318,1128,2446,0.54,0.46
VS_CAR,Vesta,Cardinal,1279,1145,2424,0.53,0.47
VS_FIX,Vesta,Fixed,1326,1165,2491,0.53,0.47
VS_MUT,Vesta,Mutable,1387,1174,2561,0.54,0.46
