PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",375,351,726,0.52,0.48
CE_a0_0,Ceres,Conjunction,0,3400,2958,6358,0.53,0.47
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",707,618,1325,0.53,0.47
CE_a103_0,Ceres,BiSeptile,0,3068,2691,5759,0.53,0.47
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",734,687,1421,0.52,0.48
CE_a120_0,Ceres,Trine,0,3041,2622,5663,0.54,0.46
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",699,573,1272,0.55,0.45
CE_a135_0,Ceres,SesquiSquare,0,3076,2736,5812,0.53,0.47
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",778,625,1403,0.55,0.45
CE_a144_0,Ceres,BiQuintile,0,2997,2684,5681,0.53,0.47
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",733,671,1404,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,3042,2638,5680,0.54,0.46
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",377,339,716,0.53,0.47
CE_a180_0,Ceres,Opposition,0,3398,2970,6368,0.53,0.47
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",715,673,1388,0.52,0.48
CE_a30_0,Ceres,SemiSextile,0,3060,2636,5696,0.54,0.46
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",723,638,1361,0.53,0.47
CE_a36_0,Ceres,SemiQuintile,0,3052,2671,5723,0.53,0.47
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",750,727,1477,0.51,0.49
CE_a45_0,Ceres,SemiSquare,0,3025,2582,5607,0.54,0.46
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",686,587,1273,0.54,0.46
CE_a60_0,Ceres,Sextile,0,3089,2722,5811,0.53,0.47
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",732,608,1340,0.55,0.45
CE_a72_0,Ceres,Quintile,0,3043,2701,5744,0.53,0.47
"CE_a90_(0,4]",Ceres,Square,"(0,4]",705,613,1318,0.53,0.47
CE_a90_0,Ceres,Square,0,3070,2696,5766,0.53,0.47
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",588,511,1099,0.54,0.46
CH_a0_0,Chiron,Conjunction,0,3187,2798,5985,0.53,0.47
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",1037,937,1974,0.53,0.47
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",219,195,414,0.53,0.47
CH_a103_0,Chiron,BiSeptile,0,2519,2177,4696,0.54,0.46
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",876,780,1656,0.53,0.47
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",188,148,336,0.56,0.44
CH_a120_0,Chiron,Trine,0,2711,2381,5092,0.53,0.47
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",911,758,1669,0.55,0.45
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",222,183,405,0.55,0.45
CH_a135_0,Chiron,SesquiSquare,0,2642,2368,5010,0.53,0.47
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",882,776,1658,0.53,0.47
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",181,167,348,0.52,0.48
CH_a144_0,Chiron,BiQuintile,0,2712,2366,5078,0.53,0.47
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",937,842,1779,0.53,0.47
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",190,156,346,0.55,0.45
CH_a150_0,Chiron,Quincunx,0,2648,2311,4959,0.53,0.47
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",683,663,1346,0.51,0.49
CH_a180_0,Chiron,Opposition,0,3092,2646,5738,0.54,0.46
"CH_a30_(0,1]",Chiron,SemiSextile,"(0,1]",935,824,1759,0.53,0.47
"CH_a30_(1,4]",Chiron,SemiSextile,"(1,4]",173,141,314,0.55,0.45
CH_a30_0,Chiron,SemiSextile,0,2667,2344,5011,0.53,0.47
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",993,906,1899,0.52,0.48
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",144,126,270,0.53,0.47
CH_a36_0,Chiron,SemiQuintile,0,2638,2277,4915,0.54,0.46
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",898,765,1663,0.54,0.46
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",176,148,324,0.54,0.46
CH_a45_0,Chiron,SemiSquare,0,2701,2396,5097,0.53,0.47
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",986,818,1804,0.55,0.45
"CH_a60_(1,4]",Chiron,Sextile,"(1,4]",186,151,337,0.55,0.45
CH_a60_0,Chiron,Sextile,0,2603,2340,4943,0.53,0.47
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",995,811,1806,0.55,0.45
"CH_a72_(1,4]",Chiron,Quintile,"(1,4]",180,153,333,0.54,0.46
CH_a72_0,Chiron,Quintile,0,2600,2345,4945,0.53,0.47
"CH_a90_(0,1]",Chiron,Square,"(0,1]",836,752,1588,0.53,0.47
"CH_a90_(1,5]",Chiron,Square,"(1,5]",170,170,340,0.5,0.5
CH_a90_0,Chiron,Square,0,2769,2387,5156,0.54,0.46
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",338,312,650,0.52,0.48
JN_a0_0,Juno,Conjunction,0,3437,2997,6434,0.53,0.47
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",646,588,1234,0.52,0.48
JN_a103_0,Juno,BiSeptile,0,3129,2721,5850,0.53,0.47
"JN_a120_(0,4]",Juno,Trine,"(0,4]",631,567,1198,0.53,0.47
JN_a120_0,Juno,Trine,0,3144,2742,5886,0.53,0.47
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",589,536,1125,0.52,0.48
JN_a135_0,Juno,SesquiSquare,0,3186,2773,5959,0.53,0.47
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",607,578,1185,0.51,0.49
JN_a144_0,Juno,BiQuintile,0,3168,2731,5899,0.54,0.46
"JN_a150_(0,4]",Juno,Quincunx,"(0,4]",653,550,1203,0.54,0.46
JN_a150_0,Juno,Quincunx,0,3122,2759,5881,0.53,0.47
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",278,247,525,0.53,0.47
JN_a180_0,Juno,Opposition,0,3497,3062,6559,0.53,0.47
"JN_a30_(0,4]",Juno,SemiSextile,"(0,4]",828,654,1482,0.56,0.44
JN_a30_0,Juno,SemiSextile,0,2947,2655,5602,0.53,0.47
"JN_a36_(0,4]",Juno,SemiQuintile,"(0,4]",723,642,1365,0.53,0.47
JN_a36_0,Juno,SemiQuintile,0,3052,2667,5719,0.53,0.47
"JN_a45_(0,4]",Juno,SemiSquare,"(0,4]",661,604,1265,0.52,0.48
JN_a45_0,Juno,SemiSquare,0,3114,2705,5819,0.54,0.46
"JN_a60_(0,4]",Juno,Sextile,"(0,4]",655,577,1232,0.53,0.47
JN_a60_0,Juno,Sextile,0,3120,2732,5852,0.53,0.47
"JN_a72_(0,4]",Juno,Quintile,"(0,4]",705,651,1356,0.52,0.48
JN_a72_0,Juno,Quintile,0,3070,2658,5728,0.54,0.46
"JN_a90_(0,3]",Juno,Square,"(0,3]",712,606,1318,0.54,0.46
JN_a90_0,Juno,Square,0,3063,2703,5766,0.53,0.47
"JU_a0_(0,3]",Jupiter,Conjunction,"(0,3]",489,442,931,0.53,0.47
JU_a0_0,Jupiter,Conjunction,0,3286,2867,6153,0.53,0.47
"JU_a103_(0,4]",Jupiter,BiSeptile,"(0,4]",854,744,1598,0.53,0.47
JU_a103_0,Jupiter,BiSeptile,0,2921,2565,5486,0.53,0.47
"JU_a120_(0,4]",Jupiter,Trine,"(0,4]",790,720,1510,0.52,0.48
JU_a120_0,Jupiter,Trine,0,2985,2589,5574,0.54,0.46
"JU_a135_(0,4]",Jupiter,SesquiSquare,"(0,4]",836,795,1631,0.51,0.49
JU_a135_0,Jupiter,SesquiSquare,0,2939,2514,5453,0.54,0.46
"JU_a144_(0,4]",Jupiter,BiQuintile,"(0,4]",834,753,1587,0.53,0.47
JU_a144_0,Jupiter,BiQuintile,0,2941,2556,5497,0.54,0.46
"JU_a150_(0,4]",Jupiter,Quincunx,"(0,4]",875,715,1590,0.55,0.45
JU_a150_0,Jupiter,Quincunx,0,2900,2594,5494,0.53,0.47
"JU_a180_(0,3]",Jupiter,Opposition,"(0,3]",431,449,880,0.49,0.51
JU_a180_0,Jupiter,Opposition,0,3344,2860,6204,0.54,0.46
"JU_a30_(0,4]",Jupiter,SemiSextile,"(0,4]",867,730,1597,0.54,0.46
JU_a30_0,Jupiter,SemiSextile,0,2908,2579,5487,0.53,0.47
"JU_a36_(0,4]",Jupiter,SemiQuintile,"(0,4]",903,755,1658,0.54,0.46
JU_a36_0,Jupiter,SemiQuintile,0,2872,2554,5426,0.53,0.47
"JU_a45_(0,4]",Jupiter,SemiSquare,"(0,4]",890,783,1673,0.53,0.47
JU_a45_0,Jupiter,SemiSquare,0,2885,2526,5411,0.53,0.47
"JU_a60_(0,5]",Jupiter,Sextile,"(0,5]",884,762,1646,0.54,0.46
JU_a60_0,Jupiter,Sextile,0,2891,2547,5438,0.53,0.47
"JU_a72_(0,5]",Jupiter,Quintile,"(0,5]",859,781,1640,0.52,0.48
JU_a72_0,Jupiter,Quintile,0,2916,2528,5444,0.54,0.46
"JU_a90_(0,4]",Jupiter,Square,"(0,4]",849,765,1614,0.53,0.47
JU_a90_0,Jupiter,Square,0,2926,2544,5470,0.53,0.47
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",353,305,658,0.54,0.46
MA_a0_0,Mars,Conjunction,0,3422,3004,6426,0.53,0.47
"MA_a103_(0,3]",Mars,BiSeptile,"(0,3]",501,460,961,0.52,0.48
MA_a103_0,Mars,BiSeptile,0,3274,2849,6123,0.53,0.47
"MA_a120_(0,3]",Mars,Trine,"(0,3]",435,326,761,0.57,0.43
MA_a120_0,Mars,Trine,0,3340,2983,6323,0.53,0.47
"MA_a135_(0,3]",Mars,SesquiSquare,"(0,3]",380,339,719,0.53,0.47
MA_a135_0,Mars,SesquiSquare,0,3395,2970,6365,0.53,0.47
"MA_a144_(0,2]",Mars,BiQuintile,"(0,2]",342,343,685,0.5,0.5
MA_a144_0,Mars,BiQuintile,0,3433,2966,6399,0.54,0.46
"MA_a150_(0,3]",Mars,Quincunx,"(0,3]",321,351,672,0.48,0.52
MA_a150_0,Mars,Quincunx,0,3454,2958,6412,0.54,0.46
"MA_a180_(0,3]",Mars,Opposition,"(0,3]",163,166,329,0.5,0.5
MA_a180_0,Mars,Opposition,0,3612,3143,6755,0.53,0.47
"MA_a30_(0,3]",Mars,SemiSextile,"(0,3]",632,543,1175,0.54,0.46
MA_a30_0,Mars,SemiSextile,0,3143,2766,5909,0.53,0.47
"MA_a36_(0,3]",Mars,SemiQuintile,"(0,3]",610,511,1121,0.54,0.46
MA_a36_0,Mars,SemiQuintile,0,3165,2798,5963,0.53,0.47
