PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",795,719,1514,0.53,0.47
CE_3,Ceres,3,1069,912,1981,0.54,0.46
"CE_[0,2]",Ceres,"[0,2]",1882,1649,3531,0.53,0.47
"CH_(3,4]",Chiron,"(3,4]",803,742,1545,0.52,0.48
"CH_(4,5]",Chiron,"(4,5]",751,622,1373,0.55,0.45
"CH_(5,11]",Chiron,"(5,11]",856,747,1603,0.53,0.47
"CH_[0,3]",Chiron,"[0,3]",1336,1169,2505,0.53,0.47
"JN_(1,2]",Juno,"(1,2]",1237,1075,2312,0.54,0.46
"JN_(2,3]",Juno,"(2,3]",988,868,1856,0.53,0.47
"JN_(3,7]",Juno,"(3,7]",591,545,1136,0.52,0.48
"JN_[0,1]",Juno,"[0,1]",930,792,1722,0.54,0.46
"JU_(2,3]",Jupiter,"(2,3]",1043,944,1987,0.52,0.48
"JU_(3,4]",Jupiter,"(3,4]",825,672,1497,0.55,0.45
"JU_(4,8]",Jupiter,"(4,8]",543,518,1061,0.51,0.49
"JU_[0,2]",Jupiter,"[0,2]",1335,1146,2481,0.54,0.46
"MA_(2,5]",Mars,"(2,5]",740,683,1423,0.52,0.48
MA_2,Mars,2,1345,1149,2494,0.54,0.46
"MA_[0,1]",Mars,"[0,1]",1661,1448,3109,0.53,0.47
"ME_(1,3]",Mercury,"(1,3]",444,404,848,0.52,0.48
ME_0,Mercury,0,1070,882,1952,0.55,0.45
ME_1,Mercury,1,2232,1994,4226,0.53,0.47
"NE_(4,5]",Neptune,"(4,5]",738,657,1395,0.53,0.47
"NE_(5,6]",Neptune,"(5,6]",627,529,1156,0.54,0.46
"NE_(6,13]",Neptune,"(6,13]",771,689,1460,0.53,0.47
"NE_[0,4]",Neptune,"[0,4]",1610,1405,3015,0.53,0.47
"NN_(2,3]",NNode,"(2,3]",979,851,1830,0.53,0.47
"NN_(3,4]",NNode,"(3,4]",858,747,1605,0.53,0.47
"NN_(4,9]",NNode,"(4,9]",798,706,1504,0.53,0.47
"NN_[0,2]",NNode,"[0,2]",1111,976,2087,0.53,0.47
"PA_(2,3]",Pallas,"(2,3]",1075,969,2044,0.53,0.47
"PA_(3,4]",Pallas,"(3,4]",798,634,1432,0.56,0.44
"PA_(4,8]",Pallas,"(4,8]",423,402,825,0.51,0.49
"PA_[0,2]",Pallas,"[0,2]",1450,1275,2725,0.53,0.47
"PH_(3,5]",Pholus,"(3,5]",1503,1241,2744,0.55,0.45
"PH_(5,6]",Pholus,"(5,6]",533,555,1088,0.49,0.51
"PH_(6,13]",Pholus,"(6,13]",629,607,1236,0.51,0.49
"PH_[0,3]",Pholus,"[0,3]",1081,877,1958,0.55,0.45
"PL_(4,5]",Pluto,"(4,5]",817,693,1510,0.54,0.46
"PL_(5,6]",Pluto,"(5,6]",601,536,1137,0.53,0.47
"PL_(6,14]",Pluto,"(6,14]",768,669,1437,0.53,0.47
"PL_[0,4]",Pluto,"[0,4]",1560,1382,2942,0.53,0.47
"SA_(3,4]",Saturn,"(3,4]",822,694,1516,0.54,0.46
"SA_(4,5]",Saturn,"(4,5]",588,552,1140,0.52,0.48
"SA_(5,11]",Saturn,"(5,11]",742,623,1365,0.54,0.46
"SA_[0,3]",Saturn,"[0,3]",1594,1411,3005,0.53,0.47
"SN_(3,4]",SNode,"(3,4]",972,876,1848,0.53,0.47
"SN_(4,5]",SNode,"(4,5]",876,729,1605,0.55,0.45
"SN_(5,10]",SNode,"(5,10]",836,745,1581,0.53,0.47
"SN_[1,3]",SNode,"[1,3]",1062,930,1992,0.53,0.47
"SU_(1,2]",Sun,"(1,2]",1233,1067,2300,0.54,0.46
"SU_(2,4]",Sun,"(2,4]",231,222,453,0.51,0.49
SU_1,Sun,1,1739,1453,3192,0.54,0.46
"SU_[0,1)",Sun,"[0,1)",543,538,1081,0.5,0.5
"UR_(3,5]",Uranus,"(3,5]",1526,1371,2897,0.53,0.47
"UR_(5,6]",Uranus,"(5,6]",615,528,1143,0.54,0.46
"UR_(6,13]",Uranus,"(6,13]",674,583,1257,0.54,0.46
"UR_[0,3]",Uranus,"[0,3]",931,798,1729,0.54,0.46
"VE_(1,2]",Venus,"(1,2]",974,859,1833,0.53,0.47
"VE_(2,3]",Venus,"(2,3]",124,104,228,0.54,0.46
VE_1,Venus,1,1922,1638,3560,0.54,0.46
"VE_[0,1)",Venus,"[0,1)",726,679,1405,0.52,0.48
"VS_(1,2]",Vesta,"(1,2]",1405,1191,2596,0.54,0.46
"VS_(2,3]",Vesta,"(2,3]",797,695,1492,0.53,0.47
"VS_(3,6]",Vesta,"(3,6]",298,285,583,0.51,0.49
"VS_[0,1]",Vesta,"[0,1]",1246,1109,2355,0.53,0.47
