PlanetZodSign,Planet,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_ARI,Ceres,Aries,295,307,602,0.49,0.51
CE_Z02_TAU,Ceres,Taurus,335,300,635,0.53,0.47
CE_Z03_GEM,Ceres,Gemini,275,259,534,0.51,0.49
CE_Z04_CAN,Ceres,Cancer,259,243,502,0.52,0.48
CE_Z05_LEO,Ceres,Leo,291,287,578,0.5,0.5
CE_Z06_VIR,Ceres,Virgo,274,209,483,0.57,0.43
CE_Z07_LIB,Ceres,Libra,264,220,484,0.55,0.45
CE_Z08_SCO,Ceres,Scorpio,274,215,489,0.56,0.44
CE_Z09_SAG,Ceres,Sagittarius,389,325,714,0.54,0.46
CE_Z10_CAP,Ceres,Capricorn,312,289,601,0.52,0.48
CE_Z11_AQU,Ceres,Aquarius,334,294,628,0.53,0.47
CE_Z12_PIS,Ceres,Pisces,389,336,725,0.54,0.46
CH_Z01_ARI,Chiron,Aries,324,297,621,0.52,0.48
CH_Z05_LEO,Chiron,Leo,24,13,37,0.65,0.35
CH_Z06_VIR,Chiron,Virgo,259,243,502,0.52,0.48
CH_Z07_LIB,Chiron,Libra,246,181,427,0.58,0.42
CH_Z08_SCO,Chiron,Scorpio,266,214,480,0.55,0.45
CH_Z09_SAG,Chiron,Sagittarius,342,313,655,0.52,0.48
CH_Z10_CAP,Chiron,Capricorn,476,411,887,0.54,0.46
CH_Z11_AQU,Chiron,Aquarius,733,631,1364,0.54,0.46
CH_Z12_PIS,Chiron,Pisces,1021,981,2002,0.51,0.49
JN_Z01_ARI,Juno,Aries,234,189,423,0.55,0.45
JN_Z02_TAU,Juno,Taurus,180,149,329,0.55,0.45
JN_Z03_GEM,Juno,Gemini,195,178,373,0.52,0.48
JN_Z04_CAN,Juno,Cancer,137,111,248,0.55,0.45
JN_Z05_LEO,Juno,Leo,290,266,556,0.52,0.48
JN_Z06_VIR,Juno,Virgo,326,288,614,0.53,0.47
JN_Z07_LIB,Juno,Libra,494,465,959,0.52,0.48
JN_Z08_SCO,Juno,Scorpio,496,449,945,0.52,0.48
JN_Z09_SAG,Juno,Sagittarius,431,434,865,0.5,0.5
JN_Z10_CAP,Juno,Capricorn,388,328,716,0.54,0.46
JN_Z11_AQU,Juno,Aquarius,321,277,598,0.54,0.46
JN_Z12_PIS,Juno,Pisces,199,150,349,0.57,0.43
JU_Z01_ARI,Jupiter,Aries,186,144,330,0.56,0.44
JU_Z02_TAU,Jupiter,Taurus,195,245,440,0.44,0.56
JU_Z03_GEM,Jupiter,Gemini,263,262,525,0.5,0.5
JU_Z04_CAN,Jupiter,Cancer,287,245,532,0.54,0.46
JU_Z05_LEO,Jupiter,Leo,291,248,539,0.54,0.46
JU_Z06_VIR,Jupiter,Virgo,298,253,551,0.54,0.46
