PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",568,403,971,0.58,0.42
CE_a0_0,Ceres,Conjunction,0,5310,4194,9504,0.56,0.44
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",1097,911,2008,0.55,0.45
CE_a103_0,Ceres,BiSeptile,0,4781,3686,8467,0.56,0.44
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",1105,851,1956,0.56,0.44
CE_a120_0,Ceres,Trine,0,4773,3746,8519,0.56,0.44
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",1090,879,1969,0.55,0.45
CE_a135_0,Ceres,SesquiSquare,0,4788,3718,8506,0.56,0.44
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",1040,876,1916,0.54,0.46
CE_a144_0,Ceres,BiQuintile,0,4838,3721,8559,0.57,0.43
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",967,770,1737,0.56,0.44
CE_a150_0,Ceres,Quincunx,0,4911,3827,8738,0.56,0.44
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",551,377,928,0.59,0.41
CE_a180_0,Ceres,Opposition,0,5327,4220,9547,0.56,0.44
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",1311,1043,2354,0.56,0.44
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",246,195,441,0.56,0.44
CE_a30_0,Ceres,SemiSextile,0,4321,3359,7680,0.56,0.44
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",1263,1054,2317,0.55,0.45
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",281,186,467,0.6,0.4
CE_a36_0,Ceres,SemiQuintile,0,4334,3357,7691,0.56,0.44
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1438,1086,2524,0.57,0.43
CE_a45_0,Ceres,SemiSquare,0,4440,3511,7951,0.56,0.44
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1249,1007,2256,0.55,0.45
CE_a60_0,Ceres,Sextile,0,4629,3590,8219,0.56,0.44
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",1192,943,2135,0.56,0.44
CE_a72_0,Ceres,Quintile,0,4686,3654,8340,0.56,0.44
"CE_a90_(0,3]",Ceres,Square,"(0,3]",953,701,1654,0.58,0.42
CE_a90_0,Ceres,Square,0,4925,3896,8821,0.56,0.44
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",292,192,484,0.6,0.4
CH_a0_0,Chiron,Conjunction,0,5586,4405,9991,0.56,0.44
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",168,111,279,0.6,0.4
CH_a103_0,Chiron,BiSeptile,0,5710,4486,10196,0.56,0.44
"CH_a120_(0,2]",Chiron,Trine,"(0,2]",172,123,295,0.58,0.42
CH_a120_0,Chiron,Trine,0,5706,4474,10180,0.56,0.44
"CH_a135_(0,2]",Chiron,SesquiSquare,"(0,2]",179,123,302,0.59,0.41
CH_a135_0,Chiron,SesquiSquare,0,5699,4474,10173,0.56,0.44
"CH_a144_(0,2]",Chiron,BiQuintile,"(0,2]",426,277,703,0.61,0.39
CH_a144_0,Chiron,BiQuintile,0,5452,4320,9772,0.56,0.44
"CH_a150_(0,2]",Chiron,Quincunx,"(0,2]",350,262,612,0.57,0.43
CH_a150_0,Chiron,Quincunx,0,5528,4335,9863,0.56,0.44
"CH_a180_(0,1]",Chiron,Opposition,"(0,1]",267,199,466,0.57,0.43
CH_a180_0,Chiron,Opposition,0,5611,4398,10009,0.56,0.44
CH_a30_0,Chiron,SemiSextile,0,3942,3162,7104,0.55,0.45
CH_a30_1,Chiron,SemiSextile,1,1936,1435,3371,0.57,0.43
"CH_a36_(0,2]",Chiron,SemiQuintile,"(0,2]",678,562,1240,0.55,0.45
CH_a36_0,Chiron,SemiQuintile,0,5200,4035,9235,0.56,0.44
"CH_a45_(0,2]",Chiron,SemiSquare,"(0,2]",753,681,1434,0.53,0.47
CH_a45_0,Chiron,SemiSquare,0,5125,3916,9041,0.57,0.43
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",571,526,1097,0.52,0.48
CH_a60_0,Chiron,Sextile,0,5307,4071,9378,0.57,0.43
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",685,505,1190,0.58,0.42
CH_a72_0,Chiron,Quintile,0,5193,4092,9285,0.56,0.44
"CH_a90_(0,1]",Chiron,Square,"(0,1]",488,309,797,0.61,0.39
CH_a90_0,Chiron,Square,0,5390,4288,9678,0.56,0.44
"JN_a0_(0,2]",Juno,Conjunction,"(0,2]",741,515,1256,0.59,0.41
JN_a0_0,Juno,Conjunction,0,5137,4082,9219,0.56,0.44
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",1300,1067,2367,0.55,0.45
JN_a103_0,Juno,BiSeptile,0,4578,3530,8108,0.56,0.44
"JN_a120_(0,3]",Juno,Trine,"(0,3]",1395,1148,2543,0.55,0.45
JN_a120_0,Juno,Trine,0,4483,3449,7932,0.57,0.43
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",1370,1042,2412,0.57,0.43
JN_a135_0,Juno,SesquiSquare,0,4508,3555,8063,0.56,0.44
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",1397,1098,2495,0.56,0.44
JN_a144_0,Juno,BiQuintile,0,4481,3499,7980,0.56,0.44
"JN_a150_(0,3]",Juno,Quincunx,"(0,3]",1328,1039,2367,0.56,0.44
JN_a150_0,Juno,Quincunx,0,4550,3558,8108,0.56,0.44
"JN_a180_(0,3]",Juno,Opposition,"(0,3]",825,551,1376,0.6,0.4
JN_a180_0,Juno,Opposition,0,5053,4046,9099,0.56,0.44
"JN_a30_(0,3]",Juno,SemiSextile,"(0,3]",1232,917,2149,0.57,0.43
JN_a30_0,Juno,SemiSextile,0,4646,3680,8326,0.56,0.44
"JN_a36_(0,3]",Juno,SemiQuintile,"(0,3]",1223,916,2139,0.57,0.43
JN_a36_0,Juno,SemiQuintile,0,4655,3681,8336,0.56,0.44
"JN_a45_(0,3]",Juno,SemiSquare,"(0,3]",1269,940,2209,0.57,0.43
JN_a45_0,Juno,SemiSquare,0,4609,3657,8266,0.56,0.44
"JN_a60_(0,3]",Juno,Sextile,"(0,3]",1314,1166,2480,0.53,0.47
JN_a60_0,Juno,Sextile,0,4564,3431,7995,0.57,0.43
"JN_a72_(0,3]",Juno,Quintile,"(0,3]",1333,1069,2402,0.55,0.45
JN_a72_0,Juno,Quintile,0,4545,3528,8073,0.56,0.44
"JN_a90_(0,3]",Juno,Square,"(0,3]",1336,991,2327,0.57,0.43
JN_a90_0,Juno,Square,0,4542,3606,8148,0.56,0.44
"JU_a0_(0,2]",Jupiter,Conjunction,"(0,2]",516,391,907,0.57,0.43
JU_a0_0,Jupiter,Conjunction,0,5362,4206,9568,0.56,0.44
"JU_a103_(0,2]",Jupiter,BiSeptile,"(0,2]",972,733,1705,0.57,0.43
JU_a103_0,Jupiter,BiSeptile,0,4906,3864,8770,0.56,0.44
"JU_a120_(0,3]",Jupiter,Trine,"(0,3]",963,731,1694,0.57,0.43
JU_a120_0,Jupiter,Trine,0,4915,3866,8781,0.56,0.44
"JU_a135_(0,3]",Jupiter,SesquiSquare,"(0,3]",934,654,1588,0.59,0.41
JU_a135_0,Jupiter,SesquiSquare,0,4944,3943,8887,0.56,0.44
"JU_a144_(0,3]",Jupiter,BiQuintile,"(0,3]",1088,830,1918,0.57,0.43
JU_a144_0,Jupiter,BiQuintile,0,4790,3767,8557,0.56,0.44
"JU_a150_(0,3]",Jupiter,Quincunx,"(0,3]",911,790,1701,0.54,0.46
JU_a150_0,Jupiter,Quincunx,0,4967,3807,8774,0.57,0.43
"JU_a180_(0,2]",Jupiter,Opposition,"(0,2]",539,428,967,0.56,0.44
JU_a180_0,Jupiter,Opposition,0,5339,4169,9508,0.56,0.44
"JU_a30_(0,3]",Jupiter,SemiSextile,"(0,3]",951,780,1731,0.55,0.45
JU_a30_0,Jupiter,SemiSextile,0,4927,3817,8744,0.56,0.44
"JU_a36_(0,3]",Jupiter,SemiQuintile,"(0,3]",1193,923,2116,0.56,0.44
JU_a36_0,Jupiter,SemiQuintile,0,4685,3674,8359,0.56,0.44
"JU_a45_(0,2]",Jupiter,SemiSquare,"(0,2]",1112,802,1914,0.58,0.42
JU_a45_0,Jupiter,SemiSquare,0,4766,3795,8561,0.56,0.44
"JU_a60_(0,3]",Jupiter,Sextile,"(0,3]",966,770,1736,0.56,0.44
JU_a60_0,Jupiter,Sextile,0,4912,3827,8739,0.56,0.44
"JU_a72_(0,3]",Jupiter,Quintile,"(0,3]",1102,850,1952,0.56,0.44
JU_a72_0,Jupiter,Quintile,0,4776,3747,8523,0.56,0.44
"JU_a90_(0,3]",Jupiter,Square,"(0,3]",899,682,1581,0.57,0.43
JU_a90_0,Jupiter,Square,0,4979,3915,8894,0.56,0.44
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",835,686,1521,0.55,0.45
MA_a0_0,Mars,Conjunction,0,5043,3911,8954,0.56,0.44
"MA_a103_(0,1]",Mars,BiSeptile,"(0,1]",1280,1035,2315,0.55,0.45
"MA_a103_(1,4]",Mars,BiSeptile,"(1,4]",194,180,374,0.52,0.48
MA_a103_0,Mars,BiSeptile,0,4404,3382,7786,0.57,0.43
"MA_a120_(0,1]",Mars,Trine,"(0,1]",1252,990,2242,0.56,0.44
"MA_a120_(1,3]",Mars,Trine,"(1,3]",210,152,362,0.58,0.42
MA_a120_0,Mars,Trine,0,4416,3455,7871,0.56,0.44
"MA_a135_(0,4]",Mars,SesquiSquare,"(0,4]",1436,1082,2518,0.57,0.43
MA_a135_0,Mars,SesquiSquare,0,4442,3515,7957,0.56,0.44
"MA_a144_(0,1]",Mars,BiQuintile,"(0,1]",1414,1057,2471,0.57,0.43
"MA_a144_(1,4]",Mars,BiQuintile,"(1,4]",160,180,340,0.47,0.53
MA_a144_0,Mars,BiQuintile,0,4304,3360,7664,0.56,0.44
"MA_a150_(0,1]",Mars,Quincunx,"(0,1]",1299,1068,2367,0.55,0.45
"MA_a150_(1,4]",Mars,Quincunx,"(1,4]",210,167,377,0.56,0.44
MA_a150_0,Mars,Quincunx,0,4369,3362,7731,0.57,0.43
"MA_a180_(0,3]",Mars,Opposition,"(0,3]",779,668,1447,0.54,0.46
MA_a180_0,Mars,Opposition,0,5099,3929,9028,0.56,0.44
"MA_a30_(0,1]",Mars,SemiSextile,"(0,1]",1464,1089,2553,0.57,0.43
"MA_a30_(1,3]",Mars,SemiSextile,"(1,3]",227,158,385,0.59,0.41
MA_a30_0,Mars,SemiSextile,0,4187,3350,7537,0.56,0.44
"MA_a36_(0,1]",Mars,SemiQuintile,"(0,1]",1329,983,2312,0.57,0.43
"MA_a36_(1,4]",Mars,SemiQuintile,"(1,4]",234,173,407,0.57,0.43
MA_a36_0,Mars,SemiQuintile,0,4315,3441,7756,0.56,0.44
"MA_a45_(0,1]",Mars,SemiSquare,"(0,1]",1340,1116,2456,0.55,0.45
"MA_a45_(1,4]",Mars,SemiSquare,"(1,4]",178,151,329,0.54,0.46
MA_a45_0,Mars,SemiSquare,0,4360,3330,7690,0.57,0.43
