PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,3509,2770,6279,0.56,0.44
CE_POS,Ceres,Positive,3628,2774,6402,0.57,0.43
CH_NEG,Chiron,Negative,3656,2739,6395,0.57,0.43
CH_POS,Chiron,Positive,3481,2805,6286,0.55,0.45
JN_NEG,Juno,Negative,3508,2707,6215,0.56,0.44
JN_POS,Juno,Positive,3629,2837,6466,0.56,0.44
JU_NEG,Jupiter,Negative,3525,2811,6336,0.56,0.44
JU_POS,Jupiter,Positive,3612,2733,6345,0.57,0.43
MA_NEG,Mars,Negative,3522,2716,6238,0.56,0.44
MA_POS,Mars,Positive,3615,2828,6443,0.56,0.44
ME_NEG,Mercury,Negative,3578,2750,6328,0.57,0.43
ME_POS,Mercury,Positive,3559,2794,6353,0.56,0.44
MO_NEG,Moon,Negative,3551,2793,6344,0.56,0.44
MO_POS,Moon,Positive,3586,2751,6337,0.57,0.43
NE_NEG,Neptune,Negative,3416,2515,5931,0.58,0.42
NE_POS,Neptune,Positive,3721,3029,6750,0.55,0.45
NN_NEG,NNode,Negative,3550,2698,6248,0.57,0.43
NN_POS,NNode,Positive,3587,2846,6433,0.56,0.44
PA_NEG,Pallas,Negative,3588,2708,6296,0.57,0.43
PA_POS,Pallas,Positive,3549,2836,6385,0.56,0.44
PH_NEG,Pholus,Negative,3560,2746,6306,0.56,0.44
PH_POS,Pholus,Positive,3577,2798,6375,0.56,0.44
PL_NEG,Pluto,Negative,3643,2734,6377,0.57,0.43
PL_POS,Pluto,Positive,3494,2810,6304,0.55,0.45
SA_NEG,Saturn,Negative,3494,2716,6210,0.56,0.44
SA_POS,Saturn,Positive,3643,2828,6471,0.56,0.44
SN_NEG,SNode,Negative,3550,2698,6248,0.57,0.43
SN_POS,SNode,Positive,3587,2846,6433,0.56,0.44
SU_NEG,Sun,Negative,3589,2720,6309,0.57,0.43
SU_POS,Sun,Positive,3548,2824,6372,0.56,0.44
UR_NEG,Uranus,Negative,3475,2567,6042,0.58,0.42
UR_POS,Uranus,Positive,3662,2977,6639,0.55,0.45
VE_NEG,Venus,Negative,3487,2698,6185,0.56,0.44
VE_POS,Venus,Positive,3650,2846,6496,0.56,0.44
VS_NEG,Vesta,Negative,3524,2729,6253,0.56,0.44
VS_POS,Vesta,Positive,3613,2815,6428,0.56,0.44
