PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",1290,991,2281,0.57,0.43,CAR
"CAR_(6,8]",Cardinal,"(6,8]",1969,1529,3498,0.56,0.44,CAR
"CAR_(8,14]",Cardinal,"(8,14]",955,753,1708,0.56,0.44,CAR
"CAR_[0,5]",Cardinal,"[0,5]",2949,2284,5233,0.56,0.44,CAR
"FIX_(5,6]",Fixed,"(5,6]",1446,1113,2559,0.57,0.43,FIX
"FIX_(6,7]",Fixed,"(6,7]",1067,820,1887,0.57,0.43,FIX
"FIX_(7,14]",Fixed,"(7,14]",1302,1007,2309,0.56,0.44,FIX
"FIX_[0,5]",Fixed,"[0,5]",3348,2617,5965,0.56,0.44,FIX
"MUT_(4,6]",Mutable,"(4,6]",2672,2005,4677,0.57,0.43,MUT
"MUT_(6,7]",Mutable,"(6,7]",1261,989,2250,0.56,0.44,MUT
"MUT_(7,13]",Mutable,"(7,13]",1798,1445,3243,0.55,0.45,MUT
"MUT_[0,4]",Mutable,"[0,4]",1432,1118,2550,0.56,0.44,MUT
