PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",577,485,1062,0.54,0.46
CE_a0_0,Ceres,Conjunction,0,5249,4077,9326,0.56,0.44
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",1127,868,1995,0.56,0.44
CE_a103_0,Ceres,BiSeptile,0,4699,3694,8393,0.56,0.44
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",1117,872,1989,0.56,0.44
CE_a120_0,Ceres,Trine,0,4709,3690,8399,0.56,0.44
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",1002,834,1836,0.55,0.45
CE_a135_0,Ceres,SesquiSquare,0,4824,3728,8552,0.56,0.44
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",1121,865,1986,0.56,0.44
CE_a144_0,Ceres,BiQuintile,0,4705,3697,8402,0.56,0.44
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",1102,875,1977,0.56,0.44
CE_a150_0,Ceres,Quincunx,0,4724,3687,8411,0.56,0.44
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",543,411,954,0.57,0.43
CE_a180_0,Ceres,Opposition,0,5283,4151,9434,0.56,0.44
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",1127,907,2034,0.55,0.45
CE_a30_0,Ceres,SemiSextile,0,4699,3655,8354,0.56,0.44
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",1153,921,2074,0.56,0.44
CE_a36_0,Ceres,SemiQuintile,0,4673,3641,8314,0.56,0.44
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1199,994,2193,0.55,0.45
CE_a45_0,Ceres,SemiSquare,0,4627,3568,8195,0.56,0.44
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1143,878,2021,0.57,0.43
CE_a60_0,Ceres,Sextile,0,4683,3684,8367,0.56,0.44
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",1187,919,2106,0.56,0.44
CE_a72_0,Ceres,Quintile,0,4639,3643,8282,0.56,0.44
"CE_a90_(0,4]",Ceres,Square,"(0,4]",1110,887,1997,0.56,0.44
CE_a90_0,Ceres,Square,0,4716,3675,8391,0.56,0.44
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",862,676,1538,0.56,0.44
CH_a0_0,Chiron,Conjunction,0,4964,3886,8850,0.56,0.44
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",1516,1175,2691,0.56,0.44
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",280,242,522,0.54,0.46
CH_a103_0,Chiron,BiSeptile,0,4030,3145,7175,0.56,0.44
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",1341,1078,2419,0.55,0.45
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",281,204,485,0.58,0.42
CH_a120_0,Chiron,Trine,0,4204,3280,7484,0.56,0.44
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",1390,1082,2472,0.56,0.44
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",314,236,550,0.57,0.43
CH_a135_0,Chiron,SesquiSquare,0,4122,3244,7366,0.56,0.44
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",1465,1118,2583,0.57,0.43
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",331,231,562,0.59,0.41
CH_a144_0,Chiron,BiQuintile,0,4030,3213,7243,0.56,0.44
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",1446,1122,2568,0.56,0.44
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",299,252,551,0.54,0.46
CH_a150_0,Chiron,Quincunx,0,4081,3188,7269,0.56,0.44
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",1190,953,2143,0.56,0.44
CH_a180_0,Chiron,Opposition,0,4636,3609,8245,0.56,0.44
"CH_a30_(0,1]",Chiron,SemiSextile,"(0,1]",1447,1168,2615,0.55,0.45
"CH_a30_(1,4]",Chiron,SemiSextile,"(1,4]",287,187,474,0.61,0.39
CH_a30_0,Chiron,SemiSextile,0,4092,3207,7299,0.56,0.44
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",1611,1283,2894,0.56,0.44
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",245,180,425,0.58,0.42
CH_a36_0,Chiron,SemiQuintile,0,3970,3099,7069,0.56,0.44
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",1361,1038,2399,0.57,0.43
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",279,178,457,0.61,0.39
CH_a45_0,Chiron,SemiSquare,0,4186,3346,7532,0.56,0.44
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",1512,1145,2657,0.57,0.43
"CH_a60_(1,4]",Chiron,Sextile,"(1,4]",280,192,472,0.59,0.41
CH_a60_0,Chiron,Sextile,0,4034,3225,7259,0.56,0.44
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",1434,1133,2567,0.56,0.44
"CH_a72_(1,4]",Chiron,Quintile,"(1,4]",242,171,413,0.59,0.41
CH_a72_0,Chiron,Quintile,0,4150,3258,7408,0.56,0.44
"CH_a90_(0,1]",Chiron,Square,"(0,1]",1222,1021,2243,0.54,0.46
"CH_a90_(1,5]",Chiron,Square,"(1,5]",387,264,651,0.59,0.41
CH_a90_0,Chiron,Square,0,4217,3277,7494,0.56,0.44
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",549,460,1009,0.54,0.46
JN_a0_0,Juno,Conjunction,0,5277,4102,9379,0.56,0.44
"JN_a103_(0,4]",Juno,BiSeptile,"(0,4]",1067,743,1810,0.59,0.41
JN_a103_0,Juno,BiSeptile,0,4759,3819,8578,0.55,0.45
"JN_a120_(0,4]",Juno,Trine,"(0,4]",939,752,1691,0.56,0.44
JN_a120_0,Juno,Trine,0,4887,3810,8697,0.56,0.44
"JN_a135_(0,3]",Juno,SesquiSquare,"(0,3]",911,715,1626,0.56,0.44
JN_a135_0,Juno,SesquiSquare,0,4915,3847,8762,0.56,0.44
"JN_a144_(0,3]",Juno,BiQuintile,"(0,3]",959,719,1678,0.57,0.43
JN_a144_0,Juno,BiQuintile,0,4867,3843,8710,0.56,0.44
"JN_a150_(0,4]",Juno,Quincunx,"(0,4]",968,744,1712,0.57,0.43
JN_a150_0,Juno,Quincunx,0,4858,3818,8676,0.56,0.44
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",445,339,784,0.57,0.43
JN_a180_0,Juno,Opposition,0,5381,4223,9604,0.56,0.44
"JN_a30_(0,4]",Juno,SemiSextile,"(0,4]",1181,975,2156,0.55,0.45
JN_a30_0,Juno,SemiSextile,0,4645,3587,8232,0.56,0.44
"JN_a36_(0,4]",Juno,SemiQuintile,"(0,4]",1135,873,2008,0.57,0.43
JN_a36_0,Juno,SemiQuintile,0,4691,3689,8380,0.56,0.44
"JN_a45_(0,4]",Juno,SemiSquare,"(0,4]",1125,894,2019,0.56,0.44
JN_a45_0,Juno,SemiSquare,0,4701,3668,8369,0.56,0.44
"JN_a60_(0,4]",Juno,Sextile,"(0,4]",1014,893,1907,0.53,0.47
JN_a60_0,Juno,Sextile,0,4812,3669,8481,0.57,0.43
"JN_a72_(0,4]",Juno,Quintile,"(0,4]",1065,841,1906,0.56,0.44
JN_a72_0,Juno,Quintile,0,4761,3721,8482,0.56,0.44
"JN_a90_(0,3]",Juno,Square,"(0,3]",1075,832,1907,0.56,0.44
JN_a90_0,Juno,Square,0,4751,3730,8481,0.56,0.44
"JU_a0_(0,3]",Jupiter,Conjunction,"(0,3]",712,567,1279,0.56,0.44
JU_a0_0,Jupiter,Conjunction,0,5114,3995,9109,0.56,0.44
"JU_a103_(0,4]",Jupiter,BiSeptile,"(0,4]",1325,1078,2403,0.55,0.45
JU_a103_0,Jupiter,BiSeptile,0,4501,3484,7985,0.56,0.44
"JU_a120_(0,4]",Jupiter,Trine,"(0,4]",1260,1001,2261,0.56,0.44
JU_a120_0,Jupiter,Trine,0,4566,3561,8127,0.56,0.44
"JU_a135_(0,4]",Jupiter,SesquiSquare,"(0,4]",1296,1065,2361,0.55,0.45
JU_a135_0,Jupiter,SesquiSquare,0,4530,3497,8027,0.56,0.44
"JU_a144_(0,4]",Jupiter,BiQuintile,"(0,4]",1211,1008,2219,0.55,0.45
JU_a144_0,Jupiter,BiQuintile,0,4615,3554,8169,0.56,0.44
"JU_a150_(0,4]",Jupiter,Quincunx,"(0,4]",1276,1003,2279,0.56,0.44
JU_a150_0,Jupiter,Quincunx,0,4550,3559,8109,0.56,0.44
"JU_a180_(0,3]",Jupiter,Opposition,"(0,3]",663,535,1198,0.55,0.45
JU_a180_0,Jupiter,Opposition,0,5163,4027,9190,0.56,0.44
"JU_a30_(0,4]",Jupiter,SemiSextile,"(0,4]",1388,1060,2448,0.57,0.43
JU_a30_0,Jupiter,SemiSextile,0,4438,3502,7940,0.56,0.44
"JU_a36_(0,4]",Jupiter,SemiQuintile,"(0,4]",1356,1075,2431,0.56,0.44
JU_a36_0,Jupiter,SemiQuintile,0,4470,3487,7957,0.56,0.44
"JU_a45_(0,4]",Jupiter,SemiSquare,"(0,4]",1357,1123,2480,0.55,0.45
JU_a45_0,Jupiter,SemiSquare,0,4469,3439,7908,0.57,0.43
"JU_a60_(0,5]",Jupiter,Sextile,"(0,5]",1380,1068,2448,0.56,0.44
JU_a60_0,Jupiter,Sextile,0,4446,3494,7940,0.56,0.44
"JU_a72_(0,5]",Jupiter,Quintile,"(0,5]",1431,1079,2510,0.57,0.43
JU_a72_0,Jupiter,Quintile,0,4395,3483,7878,0.56,0.44
"JU_a90_(0,4]",Jupiter,Square,"(0,4]",1397,1048,2445,0.57,0.43
JU_a90_0,Jupiter,Square,0,4429,3514,7943,0.56,0.44
"MA_a0_(0,3]",Mars,Conjunction,"(0,3]",566,381,947,0.6,0.4
MA_a0_0,Mars,Conjunction,0,5260,4181,9441,0.56,0.44
"MA_a103_(0,3]",Mars,BiSeptile,"(0,3]",762,657,1419,0.54,0.46
MA_a103_0,Mars,BiSeptile,0,5064,3905,8969,0.56,0.44
"MA_a120_(0,3]",Mars,Trine,"(0,3]",645,532,1177,0.55,0.45
MA_a120_0,Mars,Trine,0,5181,4030,9211,0.56,0.44
"MA_a135_(0,3]",Mars,SesquiSquare,"(0,3]",584,470,1054,0.55,0.45
MA_a135_0,Mars,SesquiSquare,0,5242,4092,9334,0.56,0.44
"MA_a144_(0,2]",Mars,BiQuintile,"(0,2]",551,452,1003,0.55,0.45
MA_a144_0,Mars,BiQuintile,0,5275,4110,9385,0.56,0.44
"MA_a150_(0,3]",Mars,Quincunx,"(0,3]",518,477,995,0.52,0.48
MA_a150_0,Mars,Quincunx,0,5308,4085,9393,0.57,0.43
"MA_a180_(0,3]",Mars,Opposition,"(0,3]",273,229,502,0.54,0.46
MA_a180_0,Mars,Opposition,0,5553,4333,9886,0.56,0.44
"MA_a30_(0,3]",Mars,SemiSextile,"(0,3]",935,752,1687,0.55,0.45
MA_a30_0,Mars,SemiSextile,0,4891,3810,8701,0.56,0.44
"MA_a36_(0,3]",Mars,SemiQuintile,"(0,3]",898,734,1632,0.55,0.45
MA_a36_0,Mars,SemiQuintile,0,4928,3828,8756,0.56,0.44
"MA_a45_(0,3]",Mars,SemiSquare,"(0,3]",979,776,1755,0.56,0.44
MA_a45_0,Mars,SemiSquare,0,4847,3786,8633,0.56,0.44
"MA_a60_(0,3]",Mars,Sextile,"(0,3]",887,674,1561,0.57,0.43
MA_a60_0,Mars,Sextile,0,4939,3888,8827,0.56,0.44
"MA_a72_(0,3]",Mars,Quintile,"(0,3]",907,637,1544,0.59,0.41
MA_a72_0,Mars,Quintile,0,4919,3925,8844,0.56,0.44
"MA_a90_(0,3]",Mars,Square,"(0,3]",794,627,1421,0.56,0.44
MA_a90_0,Mars,Square,0,5032,3935,8967,0.56,0.44
"ME_a0_(0,1]",Mercury,Conjunction,"(0,1]",213,155,368,0.58,0.42
ME_a0_0,Mercury,Conjunction,0,5613,4407,10020,0.56,0.44
"ME_a103_(0,1]",Mercury,BiSeptile,"(0,1]",389,313,702,0.55,0.45
ME_a103_0,Mercury,BiSeptile,0,5437,4249,9686,0.56,0.44
"ME_a120_(0,1]",Mercury,Trine,"(0,1]",431,321,752,0.57,0.43
ME_a120_0,Mercury,Trine,0,5395,4241,9636,0.56,0.44
"ME_a135_(0,1]",Mercury,SesquiSquare,"(0,1]",406,322,728,0.56,0.44
ME_a135_0,Mercury,SesquiSquare,0,5420,4240,9660,0.56,0.44
"ME_a144_(0,1]",Mercury,BiQuintile,"(0,1]",380,332,712,0.53,0.47
ME_a144_0,Mercury,BiQuintile,0,5446,4230,9676,0.56,0.44
"ME_a150_(0,1]",Mercury,Quincunx,"(0,1]",403,321,724,0.56,0.44
ME_a150_0,Mercury,Quincunx,0,5423,4241,9664,0.56,0.44
"ME_a180_(0,1]",Mercury,Opposition,"(0,1]",196,159,355,0.55,0.45
ME_a180_0,Mercury,Opposition,0,5630,4403,10033,0.56,0.44
"ME_a30_(0,1]",Mercury,SemiSextile,"(0,1]",424,307,731,0.58,0.42
ME_a30_0,Mercury,SemiSextile,0,5402,4255,9657,0.56,0.44
"ME_a36_(0,1]",Mercury,SemiQuintile,"(0,1]",425,308,733,0.58,0.42
ME_a36_0,Mercury,SemiQuintile,0,5401,4254,9655,0.56,0.44
"ME_a45_(0,1]",Mercury,SemiSquare,"(0,1]",442,299,741,0.6,0.4
ME_a45_0,Mercury,SemiSquare,0,5384,4263,9647,0.56,0.44
"ME_a60_(0,1]",Mercury,Sextile,"(0,1]",387,327,714,0.54,0.46
ME_a60_0,Mercury,Sextile,0,5439,4235,9674,0.56,0.44
"ME_a72_(0,1]",Mercury,Quintile,"(0,1]",403,346,749,0.54,0.46
ME_a72_0,Mercury,Quintile,0,5423,4216,9639,0.56,0.44
"ME_a90_(0,1]",Mercury,Square,"(0,1]",426,292,718,0.59,0.41
ME_a90_0,Mercury,Square,0,5400,4270,9670,0.56,0.44
"NE_a0_(0,4]",Neptune,Conjunction,"(0,4]",1344,1053,2397,0.56,0.44
NE_a0_0,Neptune,Conjunction,0,4482,3509,7991,0.56,0.44
"NE_a103_(0,1]",Neptune,BiSeptile,"(0,1]",1591,1168,2759,0.58,0.42
"NE_a103_(1,4]",Neptune,BiSeptile,"(1,4]",296,232,528,0.56,0.44
NE_a103_0,Neptune,BiSeptile,0,3939,3162,7101,0.55,0.45
"NE_a120_(0,1]",Neptune,Trine,"(0,1]",1538,1291,2829,0.54,0.46
"NE_a120_(1,4]",Neptune,Trine,"(1,4]",314,237,551,0.57,0.43
NE_a120_0,Neptune,Trine,0,3974,3034,7008,0.57,0.43
"NE_a135_(0,1]",Neptune,SesquiSquare,"(0,1]",1511,1110,2621,0.58,0.42
"NE_a135_(1,5]",Neptune,SesquiSquare,"(1,5]",316,227,543,0.58,0.42
NE_a135_0,Neptune,SesquiSquare,0,3999,3225,7224,0.55,0.45
"NE_a144_(0,1]",Neptune,BiQuintile,"(0,1]",1548,1195,2743,0.56,0.44
"NE_a144_(1,4]",Neptune,BiQuintile,"(1,4]",288,230,518,0.56,0.44
NE_a144_0,Neptune,BiQuintile,0,3990,3137,7127,0.56,0.44
"NE_a150_(0,1]",Neptune,Quincunx,"(0,1]",1635,1269,2904,0.56,0.44
"NE_a150_(1,4]",Neptune,Quincunx,"(1,4]",303,231,534,0.57,0.43
NE_a150_0,Neptune,Quincunx,0,3888,3062,6950,0.56,0.44
"NE_a180_(0,3]",Neptune,Opposition,"(0,3]",1014,786,1800,0.56,0.44
NE_a180_0,Neptune,Opposition,0,4812,3776,8588,0.56,0.44
"NE_a30_(0,1]",Neptune,SemiSextile,"(0,1]",1632,1302,2934,0.56,0.44
"NE_a30_(1,4]",Neptune,SemiSextile,"(1,4]",405,296,701,0.58,0.42
NE_a30_0,Neptune,SemiSextile,0,3789,2964,6753,0.56,0.44
"NE_a36_(0,1]",Neptune,SemiQuintile,"(0,1]",1567,1208,2775,0.56,0.44
"NE_a36_(1,4]",Neptune,SemiQuintile,"(1,4]",452,309,761,0.59,0.41
NE_a36_0,Neptune,SemiQuintile,0,3807,3045,6852,0.56,0.44
"NE_a45_(0,1]",Neptune,SemiSquare,"(0,1]",1703,1272,2975,0.57,0.43
"NE_a45_(1,4]",Neptune,SemiSquare,"(1,4]",376,290,666,0.56,0.44
NE_a45_0,Neptune,SemiSquare,0,3747,3000,6747,0.56,0.44
"NE_a60_(0,1]",Neptune,Sextile,"(0,1]",1581,1206,2787,0.57,0.43
"NE_a60_(1,4]",Neptune,Sextile,"(1,4]",322,236,558,0.58,0.42
NE_a60_0,Neptune,Sextile,0,3923,3120,7043,0.56,0.44
"NE_a72_(0,1]",Neptune,Quintile,"(0,1]",1879,1471,3350,0.56,0.44
"NE_a72_(1,5]",Neptune,Quintile,"(1,5]",560,448,1008,0.56,0.44
NE_a72_0,Neptune,Quintile,0,3387,2643,6030,0.56,0.44
"NE_a90_(0,1]",Neptune,Square,"(0,1]",1335,1085,2420,0.55,0.45
"NE_a90_(1,5]",Neptune,Square,"(1,5]",432,309,741,0.58,0.42
NE_a90_0,Neptune,Square,0,4059,3168,7227,0.56,0.44
"NN_a0_(0,3]",NNode,Conjunction,"(0,3]",800,643,1443,0.55,0.45
NN_a0_0,NNode,Conjunction,0,5026,3919,8945,0.56,0.44
"NN_a103_(0,3]",NNode,BiSeptile,"(0,3]",1338,1047,2385,0.56,0.44
NN_a103_0,NNode,BiSeptile,0,4488,3515,8003,0.56,0.44
"NN_a120_(0,1]",NNode,Trine,"(0,1]",1334,1086,2420,0.55,0.45
"NN_a120_(1,4]",NNode,Trine,"(1,4]",211,184,395,0.53,0.47
NN_a120_0,NNode,Trine,0,4281,3292,7573,0.57,0.43
"NN_a135_(0,1]",NNode,SesquiSquare,"(0,1]",1324,1002,2326,0.57,0.43
"NN_a135_(1,5]",NNode,SesquiSquare,"(1,5]",177,158,335,0.53,0.47
NN_a135_0,NNode,SesquiSquare,0,4325,3402,7727,0.56,0.44
"NN_a144_(0,1]",NNode,BiQuintile,"(0,1]",1262,1002,2264,0.56,0.44
