PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",1252,1059,2311,0.54,0.46
CE_3,Ceres,3,1689,1273,2962,0.57,0.43
"CE_[0,2]",Ceres,"[0,2]",2937,2265,5202,0.56,0.44
"CH_(3,4]",Chiron,"(3,4]",1315,1016,2331,0.56,0.44
"CH_(4,5]",Chiron,"(4,5]",1193,901,2094,0.57,0.43
"CH_(5,11]",Chiron,"(5,11]",1355,1009,2364,0.57,0.43
"CH_[0,3]",Chiron,"[0,3]",2015,1671,3686,0.55,0.45
"JN_(1,2]",Juno,"(1,2]",1932,1496,3428,0.56,0.44
"JN_(2,3]",Juno,"(2,3]",1547,1269,2816,0.55,0.45
"JN_(3,7]",Juno,"(3,7]",941,707,1648,0.57,0.43
"JN_[0,1]",Juno,"[0,1]",1458,1125,2583,0.56,0.44
"JU_(2,3]",Jupiter,"(2,3]",1637,1312,2949,0.56,0.44
"JU_(3,4]",Jupiter,"(3,4]",1283,998,2281,0.56,0.44
"JU_(4,8]",Jupiter,"(4,8]",881,706,1587,0.56,0.44
"JU_[0,2]",Jupiter,"[0,2]",2077,1581,3658,0.57,0.43
"MA_(2,5]",Mars,"(2,5]",1194,951,2145,0.56,0.44
MA_2,Mars,2,2051,1641,3692,0.56,0.44
"MA_[0,1]",Mars,"[0,1]",2633,2005,4638,0.57,0.43
"ME_(1,3]",Mercury,"(1,3]",691,562,1253,0.55,0.45
ME_0,Mercury,0,1610,1326,2936,0.55,0.45
ME_1,Mercury,1,3577,2709,6286,0.57,0.43
"NE_(4,5]",Neptune,"(4,5]",1181,920,2101,0.56,0.44
"NE_(5,6]",Neptune,"(5,6]",971,730,1701,0.57,0.43
"NE_(6,13]",Neptune,"(6,13]",1196,853,2049,0.58,0.42
"NE_[0,4]",Neptune,"[0,4]",2530,2094,4624,0.55,0.45
"NN_(2,3]",NNode,"(2,3]",1579,1204,2783,0.57,0.43
"NN_(3,4]",NNode,"(3,4]",1353,1073,2426,0.56,0.44
"NN_(4,9]",NNode,"(4,9]",1245,1014,2259,0.55,0.45
"NN_[0,2]",NNode,"[0,2]",1701,1306,3007,0.57,0.43
"PA_(2,3]",Pallas,"(2,3]",1702,1331,3033,0.56,0.44
"PA_(3,4]",Pallas,"(3,4]",1168,910,2078,0.56,0.44
"PA_(4,8]",Pallas,"(4,8]",681,523,1204,0.57,0.43
"PA_[0,2]",Pallas,"[0,2]",2327,1833,4160,0.56,0.44
"PH_(3,5]",Pholus,"(3,5]",2363,1830,4193,0.56,0.44
"PH_(5,6]",Pholus,"(5,6]",873,727,1600,0.55,0.45
"PH_(6,13]",Pholus,"(6,13]",986,805,1791,0.55,0.45
"PH_[0,3]",Pholus,"[0,3]",1656,1235,2891,0.57,0.43
"PL_(4,5]",Pluto,"(4,5]",1223,963,2186,0.56,0.44
"PL_(5,6]",Pluto,"(5,6]",1006,837,1843,0.55,0.45
"PL_(6,14]",Pluto,"(6,14]",1380,1030,2410,0.57,0.43
"PL_[0,4]",Pluto,"[0,4]",2269,1767,4036,0.56,0.44
"SA_(3,4]",Saturn,"(3,4]",1308,947,2255,0.58,0.42
"SA_(4,5]",Saturn,"(4,5]",954,783,1737,0.55,0.45
"SA_(5,11]",Saturn,"(5,11]",1117,854,1971,0.57,0.43
"SA_[0,3]",Saturn,"[0,3]",2499,2013,4512,0.55,0.45
"SN_(3,4]",SNode,"(3,4]",1548,1226,2774,0.56,0.44
"SN_(4,5]",SNode,"(4,5]",1386,1062,2448,0.57,0.43
"SN_(5,10]",SNode,"(5,10]",1298,1061,2359,0.55,0.45
"SN_[1,3]",SNode,"[1,3]",1646,1248,2894,0.57,0.43
"SU_(1,2]",Sun,"(1,2]",1943,1454,3397,0.57,0.43
"SU_(2,4]",Sun,"(2,4]",394,317,711,0.55,0.45
SU_1,Sun,1,2671,2094,4765,0.56,0.44
"SU_[0,1)",Sun,"[0,1)",870,732,1602,0.54,0.46
"UR_(3,5]",Uranus,"(3,5]",2373,1867,4240,0.56,0.44
"UR_(5,6]",Uranus,"(5,6]",906,707,1613,0.56,0.44
"UR_(6,13]",Uranus,"(6,13]",955,798,1753,0.54,0.46
"UR_[0,3]",Uranus,"[0,3]",1644,1225,2869,0.57,0.43
"VE_(1,2]",Venus,"(1,2]",1438,1209,2647,0.54,0.46
"VE_(2,3]",Venus,"(2,3]",210,136,346,0.61,0.39
VE_1,Venus,1,3049,2328,5377,0.57,0.43
"VE_[0,1)",Venus,"[0,1)",1181,924,2105,0.56,0.44
"VS_(1,2]",Vesta,"(1,2]",2127,1683,3810,0.56,0.44
"VS_(2,3]",Vesta,"(2,3]",1263,989,2252,0.56,0.44
"VS_(3,6]",Vesta,"(3,6]",468,382,850,0.55,0.45
"VS_[0,1]",Vesta,"[0,1]",2020,1543,3563,0.57,0.43
