MoonPhaseZodSignID,MoonPhase,ZodSign,Buy,Sell,DaysN,BuyDays%,SellDays%
F_Z01_ARI,Full,Aries,202,174,376,0.54,0.46
F_Z02_TAU,Full,Taurus,223,216,439,0.51,0.49
F_Z03_GEM,Full,Gemini,230,211,441,0.52,0.48
F_Z04_CAN,Full,Cancer,209,158,367,0.57,0.43
F_Z05_LEO,Full,Leo,239,217,456,0.52,0.48
F_Z06_VIR,Full,Virgo,295,203,498,0.59,0.41
F_Z07_LIB,Full,Libra,240,207,447,0.54,0.46
F_Z08_SCO,Full,Scorpio,233,215,448,0.52,0.48
F_Z09_SAG,Full,Sagittarius,247,266,513,0.48,0.52
F_Z10_CAP,Full,Capricorn,235,237,472,0.5,0.5
F_Z11_AQU,Full,Aquarius,235,233,468,0.5,0.5
F_Z12_PIS,Full,Pisces,183,189,372,0.49,0.51
N_Z01_ARI,New,Aries,204,166,370,0.55,0.45
N_Z02_TAU,New,Taurus,237,205,442,0.54,0.46
N_Z03_GEM,New,Gemini,255,251,506,0.5,0.5
N_Z04_CAN,New,Cancer,248,229,477,0.52,0.48
N_Z05_LEO,New,Leo,242,226,468,0.52,0.48
N_Z06_VIR,New,Virgo,235,253,488,0.48,0.52
N_Z07_LIB,New,Libra,237,236,473,0.5,0.5
N_Z08_SCO,New,Scorpio,212,198,410,0.52,0.48
N_Z09_SAG,New,Sagittarius,231,212,443,0.52,0.48
N_Z10_CAP,New,Capricorn,224,195,419,0.53,0.47
N_Z11_AQU,New,Aquarius,234,206,440,0.53,0.47
N_Z12_PIS,New,Pisces,172,189,361,0.48,0.52
