PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,197,180,377,0.52,0.48
CE_Z01_2ARI,Ceres,AriesD2,201,177,378,0.53,0.47
CE_Z01_3ARI,Ceres,AriesD3,219,203,422,0.52,0.48
CE_Z02_1TAU,Ceres,TaurusD1,235,189,424,0.55,0.45
CE_Z02_2TAU,Ceres,TaurusD2,185,173,358,0.52,0.48
CE_Z02_3TAU,Ceres,TaurusD3,182,155,337,0.54,0.46
CE_Z03_1GEM,Ceres,GeminiD1,175,166,341,0.51,0.49
CE_Z03_2GEM,Ceres,GeminiD2,171,140,311,0.55,0.45
CE_Z03_3GEM,Ceres,GeminiD3,176,163,339,0.52,0.48
CE_Z04_1CAN,Ceres,CancerD1,169,133,302,0.56,0.44
CE_Z04_2CAN,Ceres,CancerD2,176,151,327,0.54,0.46
CE_Z04_3CAN,Ceres,CancerD3,155,154,309,0.5,0.5
CE_Z05_1LEO,Ceres,LeoD1,174,139,313,0.56,0.44
CE_Z05_2LEO,Ceres,LeoD2,208,190,398,0.52,0.48
CE_Z05_3LEO,Ceres,LeoD1,127,108,235,0.54,0.46
CE_Z06_1VIR,Ceres,VirgoD1,199,145,344,0.58,0.42
CE_Z06_2VIR,Ceres,VirgoD2,145,132,277,0.52,0.48
CE_Z06_3VIR,Ceres,VirgoD3,132,140,272,0.49,0.51
CE_Z07_1LIB,Ceres,LibraD1,188,140,328,0.57,0.43
CE_Z07_2LIB,Ceres,LibraD2,127,105,232,0.55,0.45
CE_Z07_3LIB,Ceres,LibraD3,156,174,330,0.47,0.53
CE_Z08_1SCO,Ceres,ScorpioD1,149,117,266,0.56,0.44
CE_Z08_2SCO,Ceres,ScorpioD2,168,177,345,0.49,0.51
CE_Z08_3SCO,Ceres,ScorpioD3,154,146,300,0.51,0.49
CE_Z09_1SAG,Ceres,SagittariusD1,228,201,429,0.53,0.47
CE_Z09_2SAG,Ceres,SagittariusD2,198,178,376,0.53,0.47
CE_Z09_3SAG,Ceres,SagittariusD3,210,156,366,0.57,0.43
CE_Z10_1CAP,Ceres,CapricornD1,175,175,350,0.5,0.5
CE_Z10_2CAP,Ceres,CapricornD2,193,163,356,0.54,0.46
CE_Z10_3CAP,Ceres,CapricornD3,206,197,403,0.51,0.49
CE_Z11_1AQU,Ceres,AquariusD1,203,165,368,0.55,0.45
CE_Z11_2AQU,Ceres,AquariusD2,181,176,357,0.51,0.49
CE_Z11_3AQU,Ceres,AquariusD3,219,203,422,0.52,0.48
CE_Z12_1PIS,Ceres,PiscesD1,236,215,451,0.52,0.48
CE_Z12_2PIS,Ceres,PiscesD2,245,221,466,0.53,0.47
CE_Z12_3PIS,Ceres,PiscesD3,203,159,362,0.56,0.44
CH_Z01_1ARI,Chiron,AriesD1,512,391,903,0.57,0.43
CH_Z01_2ARI,Chiron,AriesD2,395,278,673,0.59,0.41
CH_Z01_3ARI,Chiron,AriesD3,369,323,692,0.53,0.47
CH_Z02_1TAU,Chiron,TaurusD1,389,279,668,0.58,0.42
CH_Z02_2TAU,Chiron,TaurusD2,288,266,554,0.52,0.48
CH_Z02_3TAU,Chiron,TaurusD3,280,225,505,0.55,0.45
CH_Z03_1GEM,Chiron,GeminiD1,262,189,451,0.58,0.42
CH_Z03_2GEM,Chiron,GeminiD2,209,152,361,0.58,0.42
CH_Z03_3GEM,Chiron,GeminiD3,188,149,337,0.56,0.44
CH_Z04_1CAN,Chiron,CancerD1,148,113,261,0.57,0.43
CH_Z04_2CAN,Chiron,CancerD2,132,122,254,0.52,0.48
CH_Z04_3CAN,Chiron,CancerD3,105,140,245,0.43,0.57
CH_Z05_1LEO,Chiron,LeoD1,107,132,239,0.45,0.55
CH_Z05_2LEO,Chiron,LeoD2,68,70,138,0.49,0.51
CH_Z05_3LEO,Chiron,LeoD1,76,73,149,0.51,0.49
CH_Z06_1VIR,Chiron,VirgoD1,115,110,225,0.51,0.49
CH_Z06_2VIR,Chiron,VirgoD2,26,28,54,0.48,0.52
CH_Z06_3VIR,Chiron,VirgoD3,107,112,219,0.49,0.51
CH_Z07_1LIB,Chiron,LibraD1,56,60,116,0.48,0.52
CH_Z07_2LIB,Chiron,LibraD2,84,69,153,0.55,0.45
CH_Z07_3LIB,Chiron,LibraD3,78,80,158,0.49,0.51
CH_Z08_1SCO,Chiron,ScorpioD1,52,61,113,0.46,0.54
CH_Z08_2SCO,Chiron,ScorpioD2,112,116,228,0.49,0.51
CH_Z08_3SCO,Chiron,ScorpioD3,68,63,131,0.52,0.48
CH_Z09_1SAG,Chiron,SagittariusD1,80,74,154,0.52,0.48
CH_Z09_2SAG,Chiron,SagittariusD2,108,133,241,0.45,0.55
CH_Z09_3SAG,Chiron,SagittariusD3,114,135,249,0.46,0.54
CH_Z10_1CAP,Chiron,CapricornD1,121,133,254,0.48,0.52
CH_Z10_2CAP,Chiron,CapricornD2,143,115,258,0.55,0.45
CH_Z10_3CAP,Chiron,CapricornD3,178,178,356,0.5,0.5
CH_Z11_1AQU,Chiron,AquariusD1,210,181,391,0.54,0.46
CH_Z11_2AQU,Chiron,AquariusD2,209,210,419,0.5,0.5
CH_Z11_3AQU,Chiron,AquariusD3,265,237,502,0.53,0.47
CH_Z12_1PIS,Chiron,PiscesD1,327,302,629,0.52,0.48
CH_Z12_2PIS,Chiron,PiscesD2,308,276,584,0.53,0.47
CH_Z12_3PIS,Chiron,PiscesD3,376,331,707,0.53,0.47
JN_Z01_1ARI,Juno,AriesD1,139,125,264,0.53,0.47
