PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,2]",Ceres,Conjunction,"(0,2]",497,439,936,0.53,0.47
CE_a0_0,Ceres,Conjunction,0,4777,4423,9200,0.52,0.48
"CE_a103_(0,3]",Ceres,BiSeptile,"(0,3]",1054,893,1947,0.54,0.46
CE_a103_0,Ceres,BiSeptile,0,4220,3969,8189,0.52,0.48
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",976,899,1875,0.52,0.48
CE_a120_0,Ceres,Trine,0,4298,3963,8261,0.52,0.48
"CE_a135_(0,3]",Ceres,SesquiSquare,"(0,3]",1018,886,1904,0.53,0.47
CE_a135_0,Ceres,SesquiSquare,0,4256,3976,8232,0.52,0.48
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",936,941,1877,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,4338,3921,8259,0.53,0.47
"CE_a150_(0,3]",Ceres,Quincunx,"(0,3]",883,807,1690,0.52,0.48
CE_a150_0,Ceres,Quincunx,0,4391,4055,8446,0.52,0.48
"CE_a180_(0,2]",Ceres,Opposition,"(0,2]",486,412,898,0.54,0.46
CE_a180_0,Ceres,Opposition,0,4788,4450,9238,0.52,0.48
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",1211,1047,2258,0.54,0.46
"CE_a30_(1,3]",Ceres,SemiSextile,"(1,3]",218,212,430,0.51,0.49
CE_a30_0,Ceres,SemiSextile,0,3845,3603,7448,0.52,0.48
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",1135,1069,2204,0.51,0.49
"CE_a36_(1,4]",Ceres,SemiQuintile,"(1,4]",232,224,456,0.51,0.49
CE_a36_0,Ceres,SemiQuintile,0,3907,3569,7476,0.52,0.48
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",1282,1173,2455,0.52,0.48
CE_a45_0,Ceres,SemiSquare,0,3992,3689,7681,0.52,0.48
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",1116,1056,2172,0.51,0.49
CE_a60_0,Ceres,Sextile,0,4158,3806,7964,0.52,0.48
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",1069,1004,2073,0.52,0.48
CE_a72_0,Ceres,Quintile,0,4205,3858,8063,0.52,0.48
"CE_a90_(0,3]",Ceres,Square,"(0,3]",840,781,1621,0.52,0.48
CE_a90_0,Ceres,Square,0,4434,4081,8515,0.52,0.48
"CH_a0_(0,1]",Chiron,Conjunction,"(0,1]",257,211,468,0.55,0.45
CH_a0_0,Chiron,Conjunction,0,5017,4651,9668,0.52,0.48
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",139,136,275,0.51,0.49
CH_a103_0,Chiron,BiSeptile,0,5135,4726,9861,0.52,0.48
"CH_a120_(0,2]",Chiron,Trine,"(0,2]",147,147,294,0.5,0.5
CH_a120_0,Chiron,Trine,0,5127,4715,9842,0.52,0.48
"CH_a135_(0,2]",Chiron,SesquiSquare,"(0,2]",146,148,294,0.5,0.5
CH_a135_0,Chiron,SesquiSquare,0,5128,4714,9842,0.52,0.48
"CH_a144_(0,2]",Chiron,BiQuintile,"(0,2]",394,295,689,0.57,0.43
CH_a144_0,Chiron,BiQuintile,0,4880,4567,9447,0.52,0.48
"CH_a150_(0,2]",Chiron,Quincunx,"(0,2]",324,279,603,0.54,0.46
CH_a150_0,Chiron,Quincunx,0,4950,4583,9533,0.52,0.48
"CH_a180_(0,1]",Chiron,Opposition,"(0,1]",250,209,459,0.54,0.46
CH_a180_0,Chiron,Opposition,0,5024,4653,9677,0.52,0.48
CH_a30_0,Chiron,SemiSextile,0,3580,3360,6940,0.52,0.48
CH_a30_1,Chiron,SemiSextile,1,1694,1502,3196,0.53,0.47
"CH_a36_(0,2]",Chiron,SemiQuintile,"(0,2]",632,578,1210,0.52,0.48
CH_a36_0,Chiron,SemiQuintile,0,4642,4284,8926,0.52,0.48
"CH_a45_(0,2]",Chiron,SemiSquare,"(0,2]",687,709,1396,0.49,0.51
CH_a45_0,Chiron,SemiSquare,0,4587,4153,8740,0.52,0.48
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",580,502,1082,0.54,0.46
CH_a60_0,Chiron,Sextile,0,4694,4360,9054,0.52,0.48
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",588,538,1126,0.52,0.48
CH_a72_0,Chiron,Quintile,0,4686,4324,9010,0.52,0.48
"CH_a90_(0,1]",Chiron,Square,"(0,1]",405,372,777,0.52,0.48
