PlanetPolarity,Planet,Polarity,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_NEG,Ceres,Negative,3305,2950,6255,0.53,0.47
CE_POS,Ceres,Positive,3372,2964,6336,0.53,0.47
CH_NEG,Chiron,Negative,3266,2979,6245,0.52,0.48
CH_POS,Chiron,Positive,3411,2935,6346,0.54,0.46
JN_NEG,Juno,Negative,3298,2940,6238,0.53,0.47
JN_POS,Juno,Positive,3379,2974,6353,0.53,0.47
JU_NEG,Jupiter,Negative,3317,3044,6361,0.52,0.48
JU_POS,Jupiter,Positive,3360,2870,6230,0.54,0.46
MA_NEG,Mars,Negative,3318,2893,6211,0.53,0.47
MA_POS,Mars,Positive,3359,3021,6380,0.53,0.47
ME_NEG,Mercury,Negative,3382,2948,6330,0.53,0.47
ME_POS,Mercury,Positive,3295,2966,6261,0.53,0.47
MO_NEG,Moon,Negative,3352,2952,6304,0.53,0.47
MO_POS,Moon,Positive,3325,2962,6287,0.53,0.47
NE_NEG,Neptune,Negative,3081,2789,5870,0.52,0.48
NE_POS,Neptune,Positive,3596,3125,6721,0.54,0.46
NN_NEG,NNode,Negative,3290,2996,6286,0.52,0.48
NN_POS,NNode,Positive,3387,2918,6305,0.54,0.46
PA_NEG,Pallas,Negative,3291,2950,6241,0.53,0.47
PA_POS,Pallas,Positive,3386,2964,6350,0.53,0.47
PH_NEG,Pholus,Negative,3292,2887,6179,0.53,0.47
PH_POS,Pholus,Positive,3385,3027,6412,0.53,0.47
PL_NEG,Pluto,Negative,3448,2982,6430,0.54,0.46
PL_POS,Pluto,Positive,3229,2932,6161,0.52,0.48
SA_NEG,Saturn,Negative,3350,2965,6315,0.53,0.47
SA_POS,Saturn,Positive,3327,2949,6276,0.53,0.47
SN_NEG,SNode,Negative,3290,2996,6286,0.52,0.48
SN_POS,SNode,Positive,3387,2918,6305,0.54,0.46
SU_NEG,Sun,Negative,3230,2870,6100,0.53,0.47
SU_POS,Sun,Positive,3447,3044,6491,0.53,0.47
UR_NEG,Uranus,Negative,3110,2720,5830,0.53,0.47
UR_POS,Uranus,Positive,3567,3194,6761,0.53,0.47
VE_NEG,Venus,Negative,3238,2949,6187,0.52,0.48
VE_POS,Venus,Positive,3439,2965,6404,0.54,0.46
VS_NEG,Vesta,Negative,3186,2955,6141,0.52,0.48
VS_POS,Vesta,Positive,3491,2959,6450,0.54,0.46
