PlanetArabMansion,Planet,ArabMansion,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_AM1,Ceres,Saratan,26,20,46,0.57,0.43
CE_AM10,Ceres,Gabha,48,64,112,0.43,0.57
CE_AM11,Ceres,Zubra,76,74,150,0.51,0.49
CE_AM12,Ceres,Sarfa,61,45,106,0.58,0.42
CE_AM13,Ceres,Auwa,76,70,146,0.52,0.48
CE_AM14,Ceres,Simak,34,28,62,0.55,0.45
CE_AM15,Ceres,Gafr,21,41,62,0.34,0.66
CE_AM16,Ceres,Zubana,73,59,132,0.55,0.45
CE_AM17,Ceres,Iklik,73,49,122,0.6,0.4
CE_AM18,Ceres,Qualb,29,33,62,0.47,0.53
CE_AM19,Ceres,Saula,57,55,112,0.51,0.49
CE_AM2,Ceres,Butain,28,26,54,0.52,0.48
CE_AM20,Ceres,Na'a'im,80,72,152,0.53,0.47
CE_AM21,Ceres,Balda,103,59,162,0.64,0.36
CE_AM22,Ceres,Dabih,70,55,125,0.56,0.44
CE_AM23,Ceres,Bula,37,49,86,0.43,0.57
CE_AM24,Ceres,Su'ud,76,77,153,0.5,0.5
CE_AM25,Ceres,Ahbija,23,44,67,0.34,0.66
CE_AM26,Ceres,Muqaddam,64,50,114,0.56,0.44
CE_AM27,Ceres,Mu'ahhar,80,76,156,0.51,0.49
CE_AM28,Ceres,Risa,67,74,141,0.48,0.52
CE_AM3,Ceres,Turaija,25,25,50,0.5,0.5
CE_AM4,Ceres,Dabaran,72,67,139,0.52,0.48
CE_AM5,Ceres,Haq'a,54,35,89,0.61,0.39
CE_AM6,Ceres,Han'a,38,30,68,0.56,0.44
CE_AM7,Ceres,Dira,70,83,153,0.46,0.54
CE_AM8,Ceres,Natra,65,46,111,0.59,0.41
CE_AM9,Ceres,Tarf(a),34,29,63,0.54,0.46
CH_AM1,Chiron,Saratan,311,277,588,0.53,0.47
CH_AM25,Chiron,Ahbija,184,185,369,0.5,0.5
CH_AM26,Chiron,Muqaddam,335,296,631,0.53,0.47
CH_AM27,Chiron,Mu'ahhar,382,380,762,0.5,0.5
CH_AM28,Chiron,Risa,348,297,645,0.54,0.46
JN_AM1,Juno,Saratan,62,40,102,0.61,0.39
JN_AM10,Juno,Gabha,51,51,102,0.5,0.5
JN_AM11,Juno,Zubra,73,52,125,0.58,0.42
JN_AM12,Juno,Sarfa,37,25,62,0.6,0.4
JN_AM13,Juno,Auwa,48,61,109,0.44,0.56
JN_AM14,Juno,Simak,88,86,174,0.51,0.49
JN_AM15,Juno,Gafr,74,71,145,0.51,0.49
JN_AM16,Juno,Zubana,64,80,144,0.44,0.56
JN_AM17,Juno,Iklik,35,33,68,0.51,0.49
JN_AM18,Juno,Qualb,42,39,81,0.52,0.48
JN_AM19,Juno,Saula,114,82,196,0.58,0.42
JN_AM2,Juno,Butain,20,28,48,0.42,0.58
JN_AM20,Juno,Na'a'im,90,90,180,0.5,0.5
JN_AM21,Juno,Balda,88,97,185,0.48,0.52
JN_AM22,Juno,Dabih,86,77,163,0.53,0.47
JN_AM23,Juno,Bula,81,55,136,0.6,0.4
JN_AM24,Juno,Su'ud,62,60,122,0.51,0.49
JN_AM25,Juno,Ahbija,70,81,151,0.46,0.54
JN_AM26,Juno,Muqaddam,26,32,58,0.45,0.55
JN_AM27,Juno,Mu'ahhar,33,26,59,0.56,0.44
JN_AM28,Juno,Risa,69,61,130,0.53,0.47
JN_AM3,Juno,Turaija,28,23,51,0.55,0.45
JN_AM4,Juno,Dabaran,47,25,72,0.65,0.35
JN_AM5,Juno,Haq'a,60,72,132,0.45,0.55
JN_AM6,Juno,Han'a,31,20,51,0.61,0.39
JN_AM7,Juno,Dira,24,24,48,0.5,0.5
JN_AM8,Juno,Natra,25,23,48,0.52,0.48
JN_AM9,Juno,Tarf(a),32,21,53,0.6,0.4
JU_AM1,Jupiter,Saratan,62,47,109,0.57,0.43
JU_AM10,Jupiter,Gabha,21,18,39,0.54,0.46
JU_AM11,Jupiter,Zubra,82,75,157,0.52,0.48
JU_AM12,Jupiter,Sarfa,43,37,80,0.54,0.46
JU_AM13,Jupiter,Auwa,24,19,43,0.56,0.44
JU_AM14,Jupiter,Simak,1,8,9,0.11,0.89
JU_AM16,Jupiter,Zubana,120,72,192,0.62,0.38
JU_AM17,Jupiter,Iklik,21,19,40,0.52,0.48
JU_AM18,Jupiter,Qualb,86,81,167,0.51,0.49
JU_AM19,Jupiter,Saula,41,43,84,0.49,0.51
JU_AM2,Jupiter,Butain,17,18,35,0.49,0.51
JU_AM20,Jupiter,Na'a'im,63,55,118,0.53,0.47
JU_AM21,Jupiter,Balda,108,80,188,0.57,0.43
JU_AM22,Jupiter,Dabih,50,50,100,0.5,0.5
JU_AM23,Jupiter,Bula,169,178,347,0.49,0.51
JU_AM24,Jupiter,Su'ud,59,56,115,0.51,0.49
JU_AM25,Jupiter,Ahbija,67,48,115,0.58,0.42
JU_AM26,Jupiter,Muqaddam,59,66,125,0.47,0.53
JU_AM27,Jupiter,Mu'ahhar,23,12,35,0.66,0.34
JU_AM28,Jupiter,Risa,72,65,137,0.53,0.47
JU_AM3,Jupiter,Turaija,80,75,155,0.52,0.48
JU_AM4,Jupiter,Dabaran,28,53,81,0.35,0.65
JU_AM5,Jupiter,Haq'a,20,19,39,0.51,0.49
JU_AM6,Jupiter,Han'a,102,98,200,0.51,0.49
JU_AM7,Jupiter,Dira,15,26,41,0.37,0.63
JU_AM8,Jupiter,Natra,48,44,92,0.52,0.48
JU_AM9,Jupiter,Tarf(a),79,73,152,0.52,0.48
MA_AM1,Mars,Saratan,41,40,81,0.51,0.49
MA_AM10,Mars,Gabha,80,73,153,0.52,0.48
MA_AM11,Mars,Zubra,73,93,166,0.44,0.56
MA_AM12,Mars,Sarfa,55,51,106,0.52,0.48
MA_AM13,Mars,Auwa,74,90,164,0.45,0.55
MA_AM14,Mars,Simak,86,57,143,0.6,0.4
MA_AM15,Mars,Gafr,67,57,124,0.54,0.46
MA_AM16,Mars,Zubana,76,68,144,0.53,0.47
MA_AM17,Mars,Iklik,54,49,103,0.52,0.48
MA_AM18,Mars,Qualb,50,29,79,0.63,0.37
MA_AM19,Mars,Saula,48,37,85,0.56,0.44
MA_AM2,Mars,Butain,84,75,159,0.53,0.47
MA_AM20,Mars,Na'a'im,25,43,68,0.37,0.63
MA_AM21,Mars,Balda,38,33,71,0.54,0.46
MA_AM22,Mars,Dabih,36,35,71,0.51,0.49
MA_AM23,Mars,Bula,36,41,77,0.47,0.53
MA_AM24,Mars,Su'ud,73,69,142,0.51,0.49
MA_AM25,Mars,Ahbija,41,52,93,0.44,0.56
MA_AM26,Mars,Muqaddam,35,45,80,0.44,0.56
MA_AM27,Mars,Mu'ahhar,51,27,78,0.65,0.35
MA_AM28,Mars,Risa,51,31,82,0.62,0.38
MA_AM3,Mars,Turaija,53,55,108,0.49,0.51
MA_AM4,Mars,Dabaran,49,28,77,0.64,0.36
MA_AM5,Mars,Haq'a,35,38,73,0.48,0.52
MA_AM6,Mars,Han'a,45,33,78,0.58,0.42
MA_AM7,Mars,Dira,65,66,131,0.5,0.5
MA_AM8,Mars,Natra,83,80,163,0.51,0.49
MA_AM9,Mars,Tarf(a),56,40,96,0.58,0.42
ME_AM1,Mercury,Saratan,51,44,95,0.54,0.46
ME_AM10,Mercury,Gabha,65,40,105,0.62,0.38
ME_AM11,Mercury,Zubra,59,45,104,0.57,0.43
ME_AM12,Mercury,Sarfa,55,56,111,0.5,0.5
ME_AM13,Mercury,Auwa,53,50,103,0.51,0.49
ME_AM14,Mercury,Simak,46,40,86,0.53,0.47
ME_AM15,Mercury,Gafr,59,53,112,0.53,0.47
ME_AM16,Mercury,Zubana,55,60,115,0.48,0.52
ME_AM17,Mercury,Iklik,74,62,136,0.54,0.46
ME_AM18,Mercury,Qualb,78,49,127,0.61,0.39
ME_AM19,Mercury,Saula,69,57,126,0.55,0.45
ME_AM2,Mercury,Butain,53,45,98,0.54,0.46
ME_AM20,Mercury,Na'a'im,58,54,112,0.52,0.48
