PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",296,279,575,0.51,0.49
CE_a0_0,Ceres,Conjunction,0,1336,1219,2555,0.52,0.48
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",478,428,906,0.53,0.47
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",107,92,199,0.54,0.46
CE_a103_0,Ceres,BiSeptile,0,1047,978,2025,0.52,0.48
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",463,411,874,0.53,0.47
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",129,99,228,0.57,0.43
CE_a120_0,Ceres,Trine,0,1040,988,2028,0.51,0.49
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",459,401,860,0.53,0.47
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",98,80,178,0.55,0.45
CE_a135_0,Ceres,SesquiSquare,0,1075,1017,2092,0.51,0.49
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",427,398,825,0.52,0.48
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",108,107,215,0.5,0.5
CE_a144_0,Ceres,BiQuintile,0,1097,993,2090,0.52,0.48
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",436,430,866,0.5,0.5
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",97,78,175,0.55,0.45
CE_a150_0,Ceres,Quincunx,0,1099,990,2089,0.53,0.47
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",297,264,561,0.53,0.47
CE_a180_0,Ceres,Opposition,0,1335,1234,2569,0.52,0.48
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",512,500,1012,0.51,0.49
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",131,136,267,0.49,0.51
CE_a30_0,Ceres,SemiSextile,0,989,862,1851,0.53,0.47
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",457,453,910,0.5,0.5
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",186,174,360,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,989,871,1860,0.53,0.47
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",480,454,934,0.51,0.49
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",161,165,326,0.49,0.51
CE_a45_0,Ceres,SemiSquare,0,991,879,1870,0.53,0.47
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",479,423,902,0.53,0.47
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",108,94,202,0.53,0.47
CE_a60_0,Ceres,Sextile,0,1045,981,2026,0.52,0.48
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",501,442,943,0.53,0.47
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",99,86,185,0.54,0.46
CE_a72_0,Ceres,Quintile,0,1032,970,2002,0.52,0.48
"CE_a90_(0,1]",Ceres,Square,"(0,1]",435,379,814,0.53,0.47
"CE_a90_(1,5]",Ceres,Square,"(1,5]",113,106,219,0.52,0.48
CE_a90_0,Ceres,Square,0,1084,1013,2097,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",394,387,781,0.5,0.5
CH_a0_0,Chiron,Conjunction,0,1238,1111,2349,0.53,0.47
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",431,412,843,0.51,0.49
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",88,79,167,0.53,0.47
CH_a103_0,Chiron,BiSeptile,0,1113,1007,2120,0.52,0.48
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",399,355,754,0.53,0.47
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",84,111,195,0.43,0.57
CH_a120_0,Chiron,Trine,0,1149,1032,2181,0.53,0.47
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",349,353,702,0.5,0.5
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",104,77,181,0.57,0.43
CH_a135_0,Chiron,SesquiSquare,0,1179,1068,2247,0.52,0.48
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",376,355,731,0.51,0.49
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",118,101,219,0.54,0.46
CH_a144_0,Chiron,BiQuintile,0,1138,1042,2180,0.52,0.48
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",432,388,820,0.53,0.47
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",109,72,181,0.6,0.4
CH_a150_0,Chiron,Quincunx,0,1091,1038,2129,0.51,0.49
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",248,242,490,0.51,0.49
CH_a180_0,Chiron,Opposition,0,1384,1256,2640,0.52,0.48
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",419,406,825,0.51,0.49
CH_a30_0,Chiron,SemiSextile,0,280,228,508,0.55,0.45
CH_a30_1,Chiron,SemiSextile,1,933,864,1797,0.52,0.48
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",469,424,893,0.53,0.47
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",67,74,141,0.48,0.52
CH_a36_0,Chiron,SemiQuintile,0,1096,1000,2096,0.52,0.48
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",428,360,788,0.54,0.46
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",78,64,142,0.55,0.45
CH_a45_0,Chiron,SemiSquare,0,1126,1074,2200,0.51,0.49
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",560,521,1081,0.52,0.48
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",139,133,272,0.51,0.49
CH_a60_0,Chiron,Sextile,0,933,844,1777,0.53,0.47
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",665,577,1242,0.54,0.46
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",200,177,377,0.53,0.47
CH_a72_0,Chiron,Quintile,0,767,744,1511,0.51,0.49
"CH_a90_(0,1]",Chiron,Square,"(0,1]",493,452,945,0.52,0.48
"CH_a90_(1,5]",Chiron,Square,"(1,5]",145,130,275,0.53,0.47
CH_a90_0,Chiron,Square,0,994,916,1910,0.52,0.48
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",318,252,570,0.56,0.44
JN_a0_0,Juno,Conjunction,0,1314,1246,2560,0.51,0.49
"JN_a103_(0,1]",Juno,BiSeptile,"(0,1]",535,456,991,0.54,0.46
"JN_a103_(1,5]",Juno,BiSeptile,"(1,5]",122,120,242,0.5,0.5
JN_a103_0,Juno,BiSeptile,0,975,922,1897,0.51,0.49
"JN_a120_(0,1]",Juno,Trine,"(0,1]",536,457,993,0.54,0.46
"JN_a120_(1,4]",Juno,Trine,"(1,4]",128,121,249,0.51,0.49
JN_a120_0,Juno,Trine,0,968,920,1888,0.51,0.49
"JN_a135_(0,1]",Juno,SesquiSquare,"(0,1]",469,432,901,0.52,0.48
"JN_a135_(1,4]",Juno,SesquiSquare,"(1,4]",102,83,185,0.55,0.45
JN_a135_0,Juno,SesquiSquare,0,1061,983,2044,0.52,0.48
"JN_a144_(0,1]",Juno,BiQuintile,"(0,1]",461,439,900,0.51,0.49
"JN_a144_(1,5]",Juno,BiQuintile,"(1,5]",122,110,232,0.53,0.47
JN_a144_0,Juno,BiQuintile,0,1049,949,1998,0.53,0.47
"JN_a150_(0,1]",Juno,Quincunx,"(0,1]",486,452,938,0.52,0.48
"JN_a150_(1,4]",Juno,Quincunx,"(1,4]",132,134,266,0.5,0.5
JN_a150_0,Juno,Quincunx,0,1014,912,1926,0.53,0.47
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",328,323,651,0.5,0.5
JN_a180_0,Juno,Opposition,0,1304,1175,2479,0.53,0.47
"JN_a30_(0,1]",Juno,SemiSextile,"(0,1]",492,379,871,0.56,0.44
"JN_a30_(1,5]",Juno,SemiSextile,"(1,5]",102,95,197,0.52,0.48
JN_a30_0,Juno,SemiSextile,0,1038,1024,2062,0.5,0.5
"JN_a36_(0,1]",Juno,SemiQuintile,"(0,1]",458,377,835,0.55,0.45
"JN_a36_(1,4]",Juno,SemiQuintile,"(1,4]",82,97,179,0.46,0.54
JN_a36_0,Juno,SemiQuintile,0,1092,1024,2116,0.52,0.48
"JN_a45_(0,1]",Juno,SemiSquare,"(0,1]",383,369,752,0.51,0.49
"JN_a45_(1,4]",Juno,SemiSquare,"(1,4]",76,71,147,0.52,0.48
JN_a45_0,Juno,SemiSquare,0,1173,1058,2231,0.53,0.47
"JN_a60_(0,1]",Juno,Sextile,"(0,1]",479,435,914,0.52,0.48
"JN_a60_(1,6]",Juno,Sextile,"(1,6]",125,122,247,0.51,0.49
JN_a60_0,Juno,Sextile,0,1028,941,1969,0.52,0.48
"JN_a72_(0,1]",Juno,Quintile,"(0,1]",463,384,847,0.55,0.45
"JN_a72_(1,4]",Juno,Quintile,"(1,4]",165,132,297,0.56,0.44
JN_a72_0,Juno,Quintile,0,1004,982,1986,0.51,0.49
"JN_a90_(0,1]",Juno,Square,"(0,1]",525,428,953,0.55,0.45
"JN_a90_(1,5]",Juno,Square,"(1,5]",152,163,315,0.48,0.52
JN_a90_0,Juno,Square,0,955,907,1862,0.51,0.49
"JU_a0_(0,4]",Jupiter,Conjunction,"(0,4]",357,313,670,0.53,0.47
JU_a0_0,Jupiter,Conjunction,0,1275,1185,2460,0.52,0.48
"JU_a103_(0,1]",Jupiter,BiSeptile,"(0,1]",467,443,910,0.51,0.49
"JU_a103_(1,4]",Jupiter,BiSeptile,"(1,4]",79,75,154,0.51,0.49
JU_a103_0,Jupiter,BiSeptile,0,1086,980,2066,0.53,0.47
"JU_a120_(0,1]",Jupiter,Trine,"(0,1]",394,390,784,0.5,0.5
"JU_a120_(1,4]",Jupiter,Trine,"(1,4]",101,78,179,0.56,0.44
JU_a120_0,Jupiter,Trine,0,1137,1030,2167,0.52,0.48
"JU_a135_(0,1]",Jupiter,SesquiSquare,"(0,1]",505,460,965,0.52,0.48
"JU_a135_(1,4]",Jupiter,SesquiSquare,"(1,4]",127,108,235,0.54,0.46
