PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(4,5]",Ceres,"(4,5]",313,269,582,0.54,0.46
"CE_(5,7]",Ceres,"(5,7]",496,436,932,0.53,0.47
"CE_(7,13]",Ceres,"(7,13]",220,233,453,0.49,0.51
"CE_[0,4]",Ceres,"[0,4]",559,524,1083,0.52,0.48
"CH_(4,5]",Chiron,"(4,5]",320,284,604,0.53,0.47
"CH_(5,7]",Chiron,"(5,7]",611,552,1163,0.53,0.47
"CH_(7,13]",Chiron,"(7,13]",298,300,598,0.5,0.5
"CH_[0,4]",Chiron,"[0,4]",359,326,685,0.52,0.48
"JN_(4,5]",Juno,"(4,5]",315,262,577,0.55,0.45
"JN_(5,7]",Juno,"(5,7]",534,472,1006,0.53,0.47
"JN_(7,14]",Juno,"(7,14]",206,197,403,0.51,0.49
"JN_[0,4]",Juno,"[0,4]",533,531,1064,0.5,0.5
"JU_(4,5]",Jupiter,"(4,5]",298,273,571,0.52,0.48
"JU_(5,7]",Jupiter,"(5,7]",505,483,988,0.51,0.49
"JU_(7,12]",Jupiter,"(7,12]",239,231,470,0.51,0.49
"JU_[0,4]",Jupiter,"[0,4]",546,475,1021,0.53,0.47
"MA_(4,5]",Mars,"(4,5]",308,289,597,0.52,0.48
"MA_(5,7]",Mars,"(5,7]",476,421,897,0.53,0.47
"MA_(7,13]",Mars,"(7,13]",188,238,426,0.44,0.56
"MA_[0,4]",Mars,"[0,4]",616,514,1130,0.55,0.45
"ME_(4,5]",Mercury,"(4,5]",276,282,558,0.49,0.51
"ME_(5,7]",Mercury,"(5,7]",469,460,929,0.5,0.5
"ME_(7,14]",Mercury,"(7,14]",207,178,385,0.54,0.46
"ME_[0,4]",Mercury,"[0,4]",636,542,1178,0.54,0.46
"MO_(13,15]",Moon,"(13,15]",446,417,863,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",386,367,753,0.51,0.49
"MO_(17,27]",Moon,"(17,27]",294,233,527,0.56,0.44
"MO_[5,13]",Moon,"[5,13]",462,445,907,0.51,0.49
"NE_(4,5]",Neptune,"(4,5]",315,300,615,0.51,0.49
"NE_(5,6]",Neptune,"(5,6]",247,276,523,0.47,0.53
"NE_(6,13]",Neptune,"(6,13]",450,389,839,0.54,0.46
"NE_[0,4]",Neptune,"[0,4]",576,497,1073,0.54,0.46
"NN_(5,6]",NNode,"(5,6]",320,317,637,0.5,0.5
"NN_(6,7]",NNode,"(6,7]",279,231,510,0.55,0.45
"NN_(7,13]",NNode,"(7,13]",325,333,658,0.49,0.51
"NN_[1,5]",NNode,"[1,5]",664,581,1245,0.53,0.47
"PA_(4,5]",Pallas,"(4,5]",304,278,582,0.52,0.48
"PA_(5,7]",Pallas,"(5,7]",490,453,943,0.52,0.48
"PA_(7,13]",Pallas,"(7,13]",220,217,437,0.5,0.5
"PA_[0,4]",Pallas,"[0,4]",574,514,1088,0.53,0.47
"PH_(4,5]",Pholus,"(4,5]",297,267,564,0.53,0.47
"PH_(5,6]",Pholus,"(5,6]",286,258,544,0.53,0.47
"PH_(6,13]",Pholus,"(6,13]",393,379,772,0.51,0.49
"PH_[0,4]",Pholus,"[0,4]",612,558,1170,0.52,0.48
"PL_(4,5]",Pluto,"(4,5]",314,308,622,0.5,0.5
"PL_(5,6]",Pluto,"(5,6]",235,221,456,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",283,229,512,0.55,0.45
"PL_[0,4]",Pluto,"[0,4]",756,704,1460,0.52,0.48
"SA_(4,5]",Saturn,"(4,5]",294,266,560,0.52,0.48
"SA_(5,7]",Saturn,"(5,7]",515,456,971,0.53,0.47
"SA_(7,14]",Saturn,"(7,14]",198,206,404,0.49,0.51
"SA_[0,4]",Saturn,"[0,4]",581,534,1115,0.52,0.48
"SN_(5,6]",SNode,"(5,6]",330,309,639,0.52,0.48
"SN_(6,7]",SNode,"(6,7]",272,272,544,0.5,0.5
"SN_(7,13]",SNode,"(7,13]",348,322,670,0.52,0.48
"SN_[1,5]",SNode,"[1,5]",638,559,1197,0.53,0.47
"SU_(4,5]",Sun,"(4,5]",349,289,638,0.55,0.45
"SU_(5,7]",Sun,"(5,7]",452,457,909,0.5,0.5
"SU_(7,14]",Sun,"(7,14]",231,199,430,0.54,0.46
"SU_[0,4]",Sun,"[0,4]",556,517,1073,0.52,0.48
"UR_(4,5]",Uranus,"(4,5]",278,246,524,0.53,0.47
"UR_(5,7]",Uranus,"(5,7]",531,534,1065,0.5,0.5
"UR_(7,15]",Uranus,"(7,15]",377,354,731,0.52,0.48
"UR_[0,4]",Uranus,"[0,4]",402,328,730,0.55,0.45
"VE_(4,5]",Venus,"(4,5]",321,282,603,0.53,0.47
"VE_(5,7]",Venus,"(5,7]",487,453,940,0.52,0.48
"VE_(7,14]",Venus,"(7,14]",275,272,547,0.5,0.5
"VE_[0,4]",Venus,"[0,4]",505,455,960,0.53,0.47
"VS_(4,5]",Vesta,"(4,5]",321,247,568,0.57,0.43
"VS_(5,7]",Vesta,"(5,7]",453,462,915,0.5,0.5
"VS_(7,13]",Vesta,"(7,13]",253,230,483,0.52,0.48
"VS_[0,4]",Vesta,"[0,4]",561,523,1084,0.52,0.48
