PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",370,297,667,0.55,0.45
"CE_(3,4]",Ceres,"(3,4]",271,270,541,0.5,0.5
"CE_(4,8]",Ceres,"(4,8]",216,212,428,0.5,0.5
"CE_[0,2]",Ceres,"[0,2]",709,664,1373,0.52,0.48
"CH_(1,2]",Chiron,"(1,2]",611,535,1146,0.53,0.47
"CH_(2,3]",Chiron,"(2,3]",185,163,348,0.53,0.47
CH_1,Chiron,1,650,617,1267,0.51,0.49
"CH_[0,1)",Chiron,"[0,1)",120,128,248,0.48,0.52
"JN_(2,3]",Juno,"(2,3]",322,327,649,0.5,0.5
"JN_(3,4]",Juno,"(3,4]",299,245,544,0.55,0.45
"JN_(4,9]",Juno,"(4,9]",287,263,550,0.52,0.48
"JN_[0,2]",Juno,"[0,2]",658,608,1266,0.52,0.48
"JU_(1,2]",Jupiter,"(1,2]",485,455,940,0.52,0.48
"JU_(2,3]",Jupiter,"(2,3]",342,312,654,0.52,0.48
"JU_(3,7]",Jupiter,"(3,7]",302,294,596,0.51,0.49
"JU_[0,1]",Jupiter,"[0,1]",437,382,819,0.53,0.47
"MA_(2,3]",Mars,"(2,3]",351,315,666,0.53,0.47
"MA_(3,5]",Mars,"(3,5]",544,492,1036,0.53,0.47
"MA_(5,11]",Mars,"(5,11]",195,226,421,0.46,0.54
"MA_[0,2]",Mars,"[0,2]",476,410,886,0.54,0.46
"ME_(3,4]",Mercury,"(3,4]",290,311,601,0.48,0.52
"ME_(4,6]",Mercury,"(4,6]",503,453,956,0.53,0.47
"ME_(6,13]",Mercury,"(6,13]",202,198,400,0.5,0.5
"ME_[0,3]",Mercury,"[0,3]",571,481,1052,0.54,0.46
"MO_(13,15]",Moon,"(13,15]",443,409,852,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",380,365,745,0.51,0.49
"MO_(17,27]",Moon,"(17,27]",287,231,518,0.55,0.45
"MO_[5,13]",Moon,"[5,13]",456,438,894,0.51,0.49
NE_0,Neptune,0,1566,1443,3009,0.52,0.48
"NN_(2,3]",NNode,"(2,3]",399,403,802,0.5,0.5
"NN_(3,6]",NNode,"(3,6]",385,387,772,0.5,0.5
NN_2,NNode,2,494,402,896,0.55,0.45
"NN_[1,2)",NNode,"[1,2)",288,251,539,0.53,0.47
"PA_(1,2]",Pallas,"(1,2]",403,362,765,0.53,0.47
"PA_(2,3]",Pallas,"(2,3]",349,322,671,0.52,0.48
"PA_(3,8]",Pallas,"(3,8]",332,311,643,0.52,0.48
"PA_[0,1]",Pallas,"[0,1]",482,448,930,0.52,0.48
"PH_(0,1]",Pholus,"(0,1]",713,697,1410,0.51,0.49
PH_0,Pholus,0,853,746,1599,0.53,0.47
"SA_(1,2]",Saturn,"(1,2]",395,373,768,0.51,0.49
"SA_(2,4]",Saturn,"(2,4]",195,183,378,0.52,0.48
SA_1,Saturn,1,582,547,1129,0.52,0.48
"SA_[0,1)",Saturn,"[0,1)",394,340,734,0.54,0.46
"SN_(2,5]",SNode,"(2,5]",402,398,800,0.5,0.5
SN_2,SNode,2,336,329,665,0.51,0.49
"SN_[0,1]",SNode,"[0,1]",828,716,1544,0.54,0.46
"SU_(3,4]",Sun,"(3,4]",333,300,633,0.53,0.47
"SU_(4,5]",Sun,"(4,5]",254,233,487,0.52,0.48
"SU_(5,11]",Sun,"(5,11]",321,298,619,0.52,0.48
"SU_[0,3]",Sun,"[0,3]",658,612,1270,0.52,0.48
"UR_(1,3]",Uranus,"(1,3]",586,532,1118,0.52,0.48
UR_0,Uranus,0,503,453,956,0.53,0.47
UR_1,Uranus,1,477,458,935,0.51,0.49
"VE_(3,4]",Venus,"(3,4]",324,334,658,0.49,0.51
"VE_(4,6]",Venus,"(4,6]",510,448,958,0.53,0.47
"VE_(6,12]",Venus,"(6,12]",207,218,425,0.49,0.51
"VE_[0,3]",Venus,"[0,3]",525,443,968,0.54,0.46
"VS_(2,3]",Vesta,"(2,3]",404,303,707,0.57,0.43
"VS_(3,4]",Vesta,"(3,4]",259,293,552,0.47,0.53
"VS_(4,10]",Vesta,"(4,10]",420,384,804,0.52,0.48
"VS_[0,2]",Vesta,"[0,2]",483,463,946,0.51,0.49
