PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,3]",Ceres,Conjunction,"(0,3]",152,149,301,0.5,0.5
CE_a0_0,Ceres,Conjunction,0,1425,1306,2731,0.52,0.48
"CE_a103_(0,4]",Ceres,BiSeptile,"(0,4]",304,282,586,0.52,0.48
CE_a103_0,Ceres,BiSeptile,0,1273,1173,2446,0.52,0.48
"CE_a120_(0,3]",Ceres,Trine,"(0,3]",362,340,702,0.52,0.48
CE_a120_0,Ceres,Trine,0,1215,1115,2330,0.52,0.48
"CE_a135_(0,4]",Ceres,SesquiSquare,"(0,4]",284,245,529,0.54,0.46
CE_a135_0,Ceres,SesquiSquare,0,1293,1210,2503,0.52,0.48
"CE_a144_(0,3]",Ceres,BiQuintile,"(0,3]",335,263,598,0.56,0.44
CE_a144_0,Ceres,BiQuintile,0,1242,1192,2434,0.51,0.49
"CE_a150_(0,4]",Ceres,Quincunx,"(0,4]",315,263,578,0.54,0.46
CE_a150_0,Ceres,Quincunx,0,1262,1192,2454,0.51,0.49
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",153,126,279,0.55,0.45
CE_a180_0,Ceres,Opposition,0,1424,1329,2753,0.52,0.48
"CE_a30_(0,4]",Ceres,SemiSextile,"(0,4]",295,300,595,0.5,0.5
CE_a30_0,Ceres,SemiSextile,0,1282,1155,2437,0.53,0.47
"CE_a36_(0,4]",Ceres,SemiQuintile,"(0,4]",294,295,589,0.5,0.5
CE_a36_0,Ceres,SemiQuintile,0,1283,1160,2443,0.53,0.47
"CE_a45_(0,3]",Ceres,SemiSquare,"(0,3]",299,324,623,0.48,0.52
CE_a45_0,Ceres,SemiSquare,0,1278,1131,2409,0.53,0.47
"CE_a60_(0,3]",Ceres,Sextile,"(0,3]",278,253,531,0.52,0.48
CE_a60_0,Ceres,Sextile,0,1299,1202,2501,0.52,0.48
"CE_a72_(0,3]",Ceres,Quintile,"(0,3]",297,260,557,0.53,0.47
CE_a72_0,Ceres,Quintile,0,1280,1195,2475,0.52,0.48
"CE_a90_(0,4]",Ceres,Square,"(0,4]",279,258,537,0.52,0.48
CE_a90_0,Ceres,Square,0,1298,1197,2495,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",248,269,517,0.48,0.52
CH_a0_0,Chiron,Conjunction,0,1329,1186,2515,0.53,0.47
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",421,404,825,0.51,0.49
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",87,79,166,0.52,0.48
CH_a103_0,Chiron,BiSeptile,0,1069,972,2041,0.52,0.48
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",373,332,705,0.53,0.47
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",81,105,186,0.44,0.56
CH_a120_0,Chiron,Trine,0,1123,1018,2141,0.52,0.48
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",339,345,684,0.5,0.5
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",103,76,179,0.58,0.42
CH_a135_0,Chiron,SesquiSquare,0,1135,1034,2169,0.52,0.48
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",369,344,713,0.52,0.48
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",117,101,218,0.54,0.46
CH_a144_0,Chiron,BiQuintile,0,1091,1010,2101,0.52,0.48
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",416,376,792,0.53,0.47
"CH_a150_(1,4]",Chiron,Quincunx,"(1,4]",106,71,177,0.6,0.4
CH_a150_0,Chiron,Quincunx,0,1055,1008,2063,0.51,0.49
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",244,240,484,0.5,0.5
CH_a180_0,Chiron,Opposition,0,1333,1215,2548,0.52,0.48
"CH_a30_(0,1]",Chiron,SemiSextile,"(0,1]",406,403,809,0.5,0.5
"CH_a30_(1,4]",Chiron,SemiSextile,"(1,4]",76,78,154,0.49,0.51
CH_a30_0,Chiron,SemiSextile,0,1095,974,2069,0.53,0.47
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",454,407,861,0.53,0.47
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",54,71,125,0.43,0.57
CH_a36_0,Chiron,SemiQuintile,0,1069,977,2046,0.52,0.48
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",366,323,689,0.53,0.47
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",49,39,88,0.56,0.44
CH_a45_0,Chiron,SemiSquare,0,1162,1093,2255,0.52,0.48
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",439,391,830,0.53,0.47
"CH_a60_(1,4]",Chiron,Sextile,"(1,4]",62,60,122,0.51,0.49
CH_a60_0,Chiron,Sextile,0,1076,1004,2080,0.52,0.48
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",417,373,790,0.53,0.47
"CH_a72_(1,4]",Chiron,Quintile,"(1,4]",103,94,197,0.52,0.48
CH_a72_0,Chiron,Quintile,0,1057,988,2045,0.52,0.48
"CH_a90_(0,1]",Chiron,Square,"(0,1]",380,369,749,0.51,0.49
