PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(3,8]",Ceres,"(3,8]",353,332,685,0.52,0.48
CE_3,Ceres,3,457,413,870,0.53,0.47
"CE_[0,2]",Ceres,"[0,2]",822,753,1575,0.52,0.48
"CH_(3,4]",Chiron,"(3,4]",360,321,681,0.53,0.47
"CH_(4,5]",Chiron,"(4,5]",327,317,644,0.51,0.49
"CH_(5,11]",Chiron,"(5,11]",407,403,810,0.5,0.5
"CH_[0,3]",Chiron,"[0,3]",538,457,995,0.54,0.46
"JN_(1,2]",Juno,"(1,2]",522,507,1029,0.51,0.49
"JN_(2,3]",Juno,"(2,3]",471,387,858,0.55,0.45
"JN_(3,7]",Juno,"(3,7]",271,247,518,0.52,0.48
"JN_[0,1]",Juno,"[0,1]",368,357,725,0.51,0.49
"JU_(2,3]",Jupiter,"(2,3]",473,428,901,0.52,0.48
"JU_(3,4]",Jupiter,"(3,4]",349,295,644,0.54,0.46
"JU_(4,8]",Jupiter,"(4,8]",228,248,476,0.48,0.52
"JU_[0,2]",Jupiter,"[0,2]",582,527,1109,0.52,0.48
"MA_(2,5]",Mars,"(2,5]",324,336,660,0.49,0.51
MA_2,Mars,2,589,528,1117,0.53,0.47
"MA_[0,1]",Mars,"[0,1]",719,634,1353,0.53,0.47
"ME_(1,3]",Mercury,"(1,3]",187,188,375,0.5,0.5
ME_0,Mercury,0,449,406,855,0.53,0.47
ME_1,Mercury,1,996,904,1900,0.52,0.48
"NE_(4,5]",Neptune,"(4,5]",321,310,631,0.51,0.49
"NE_(5,6]",Neptune,"(5,6]",253,277,530,0.48,0.52
"NE_(6,13]",Neptune,"(6,13]",458,390,848,0.54,0.46
"NE_[0,4]",Neptune,"[0,4]",600,521,1121,0.54,0.46
"NN_(2,3]",NNode,"(2,3]",439,387,826,0.53,0.47
"NN_(3,4]",NNode,"(3,4]",365,318,683,0.53,0.47
"NN_(4,9]",NNode,"(4,9]",351,328,679,0.52,0.48
"NN_[0,2]",NNode,"[0,2]",477,465,942,0.51,0.49
"PA_(2,3]",Pallas,"(2,3]",491,430,921,0.53,0.47
"PA_(3,4]",Pallas,"(3,4]",329,293,622,0.53,0.47
"PA_(4,8]",Pallas,"(4,8]",197,215,412,0.48,0.52
"PA_[0,2]",Pallas,"[0,2]",615,560,1175,0.52,0.48
"PH_(3,5]",Pholus,"(3,5]",606,554,1160,0.52,0.48
"PH_(5,6]",Pholus,"(5,6]",248,251,499,0.5,0.5
"PH_(6,13]",Pholus,"(6,13]",294,262,556,0.53,0.47
"PH_[0,3]",Pholus,"[0,3]",484,431,915,0.53,0.47
"PL_(4,5]",Pluto,"(4,5]",321,312,633,0.51,0.49
"PL_(5,6]",Pluto,"(5,6]",248,230,478,0.52,0.48
"PL_(6,14]",Pluto,"(6,14]",301,250,551,0.55,0.45
"PL_[0,4]",Pluto,"[0,4]",762,706,1468,0.52,0.48
"SA_(3,4]",Saturn,"(3,4]",349,343,692,0.5,0.5
"SA_(4,5]",Saturn,"(4,5]",264,254,518,0.51,0.49
"SA_(5,11]",Saturn,"(5,11]",327,306,633,0.52,0.48
"SA_[0,3]",Saturn,"[0,3]",692,595,1287,0.54,0.46
"SN_(3,4]",SNode,"(3,4]",414,378,792,0.52,0.48
"SN_(4,5]",SNode,"(4,5]",392,343,735,0.53,0.47
"SN_(5,10]",SNode,"(5,10]",355,340,695,0.51,0.49
"SN_[1,3]",SNode,"[1,3]",471,437,908,0.52,0.48
"SU_(1,2]",Sun,"(1,2]",533,500,1033,0.52,0.48
"SU_(2,4]",Sun,"(2,4]",108,95,203,0.53,0.47
SU_1,Sun,1,749,674,1423,0.53,0.47
"SU_[0,1)",Sun,"[0,1)",242,229,471,0.51,0.49
"UR_(3,5]",Uranus,"(3,5]",643,600,1243,0.52,0.48
"UR_(5,6]",Uranus,"(5,6]",291,258,549,0.53,0.47
"UR_(6,13]",Uranus,"(6,13]",319,331,650,0.49,0.51
"UR_[0,3]",Uranus,"[0,3]",379,309,688,0.55,0.45
"VE_(1,2]",Venus,"(1,2]",441,402,843,0.52,0.48
"VE_(2,3]",Venus,"(2,3]",54,48,102,0.53,0.47
VE_1,Venus,1,855,725,1580,0.54,0.46
"VE_[0,1)",Venus,"[0,1)",282,323,605,0.47,0.53
"VS_(1,2]",Vesta,"(1,2]",623,555,1178,0.53,0.47
"VS_(2,3]",Vesta,"(2,3]",296,306,602,0.49,0.51
"VS_(3,6]",Vesta,"(3,6]",144,113,257,0.56,0.44
"VS_[0,1]",Vesta,"[0,1]",569,524,1093,0.52,0.48
