PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
CECH_a103,1,109,-0.001,0.017,-0.001,-0.001,0.012,-0.061,0.044,0.105,-0.435,1.439,0.002
CESN_a103,1,77,0.001,0.024,-0.001,0.002,0.025,-0.061,0.07,0.131,-0.077,0.07,0.003
CHPL_a45,1,154,0.001,0.03,0.001,0.001,0.028,-0.074,0.078,0.152,0.161,-0.076,0.002
CHUR_a36,1,37,0.006,0.027,0.01,0.006,0.026,-0.061,0.07,0.131,-0.149,-0.256,0.004
JNPH_a30,1,53,0.001,0.02,0.002,0.001,0.012,-0.039,0.054,0.093,0.394,0.602,0.003
JNSA_a60,1,44,0.002,0.013,0.003,0.003,0.01,-0.041,0.04,0.081,-0.452,2.004,0.002
JUCH_a60,1,101,0.003,0.018,0.002,0.002,0.014,-0.038,0.05,0.088,0.185,0.255,0.002
MACE_a30,1,65,0,0.025,0.001,0.001,0.016,-0.095,0.095,0.19,-0.287,4.58,0.003
MACH_a135,1,88,0.003,0.019,0.004,0.004,0.013,-0.077,0.054,0.131,-1.135,4.559,0.002
MAPL_a180,1,47,-0.002,0.018,-0.002,-0.001,0.014,-0.074,0.035,0.109,-1.31,3.981,0.003
MENE_a120,1,76,0.002,0.02,0,0.002,0.016,-0.05,0.056,0.106,0.136,0.331,0.002
MENN_a135,1,75,0.002,0.017,0.002,0.001,0.012,-0.047,0.067,0.113,0.443,2.478,0.002
MEPA_a135,1,38,0.002,0.017,0.003,0.004,0.012,-0.049,0.044,0.093,-0.594,1.283,0.003
MESN_a45,1,75,0.002,0.017,0.002,0.001,0.012,-0.047,0.067,0.113,0.443,2.478,0.002
MEUR_a144,1,66,0.001,0.019,0,0,0.013,-0.054,0.059,0.113,0.633,1.976,0.002
MOCE_a144,1,213,0.002,0.02,0.001,0.001,0.013,-0.083,0.113,0.196,0.81,6.284,0.001
NNSN_a180,1,2997,0.001,0.02,0.001,0.001,0.014,-0.167,0.194,0.362,0.382,9.656,0
PANN_a0,1,44,0.003,0.018,0,0.003,0.014,-0.048,0.061,0.109,0.351,1.896,0.003
PASN_a180,1,44,0.003,0.018,0,0.003,0.014,-0.048,0.061,0.109,0.351,1.896,0.003
SAPH_a90,1,108,0.005,0.031,0.003,0.005,0.025,-0.084,0.095,0.179,-0.068,0.714,0.003
SUCH_a135,1,76,0.002,0.015,0.003,0.003,0.011,-0.055,0.04,0.094,-0.632,2.315,0.002
SUJN_a36,1,98,-0.001,0.017,0,-0.001,0.015,-0.04,0.069,0.109,0.745,2.411,0.002
SUMA_a90,1,73,0.002,0.021,0.001,0.002,0.015,-0.054,0.083,0.137,0.481,1.945,0.002
SUNE_a144,1,79,0.004,0.017,0.003,0.003,0.012,-0.034,0.07,0.104,0.81,2.186,0.002
SUPL_a90,1,69,0.005,0.017,0.004,0.005,0.015,-0.034,0.069,0.102,0.596,1.519,0.002
URPH_a103,1,449,0.001,0.024,0,0.001,0.019,-0.126,0.188,0.314,1,9.333,0.001
VENE_a180,1,35,0.007,0.016,0.005,0.006,0.012,-0.022,0.055,0.077,0.871,1.016,0.003
VEPH_a103,1,76,0.005,0.016,0.002,0.004,0.009,-0.054,0.055,0.109,0.381,3.054,0.002
VESU_a36,1,258,0,0.021,0.001,0.001,0.014,-0.126,0.078,0.204,-1.033,6.302,0.001
VEVS_a120,1,50,0.003,0.013,0.002,0.002,0.012,-0.034,0.031,0.066,-0.143,0.296,0.002
VSJN_a45,1,19,0.005,0.023,0.01,0.005,0.022,-0.042,0.044,0.086,-0.357,-0.887,0.005
