PlanetAspectCountRange,Planet,Aspect,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_a0_(0,4]",Ceres,Conjunction,"(0,4]",325,287,612,0.53,0.47
CE_a0_0,Ceres,Conjunction,0,1419,1248,2667,0.53,0.47
"CE_a103_(0,1]",Ceres,BiSeptile,"(0,1]",508,468,976,0.52,0.48
"CE_a103_(1,6]",Ceres,BiSeptile,"(1,6]",126,102,228,0.55,0.45
CE_a103_0,Ceres,BiSeptile,0,1110,965,2075,0.53,0.47
"CE_a120_(0,1]",Ceres,Trine,"(0,1]",503,417,920,0.55,0.45
"CE_a120_(1,4]",Ceres,Trine,"(1,4]",133,97,230,0.58,0.42
CE_a120_0,Ceres,Trine,0,1108,1021,2129,0.52,0.48
"CE_a135_(0,1]",Ceres,SesquiSquare,"(0,1]",493,421,914,0.54,0.46
"CE_a135_(1,4]",Ceres,SesquiSquare,"(1,4]",108,88,196,0.55,0.45
CE_a135_0,Ceres,SesquiSquare,0,1143,1026,2169,0.53,0.47
"CE_a144_(0,1]",Ceres,BiQuintile,"(0,1]",445,410,855,0.52,0.48
"CE_a144_(1,5]",Ceres,BiQuintile,"(1,5]",130,121,251,0.52,0.48
CE_a144_0,Ceres,BiQuintile,0,1169,1004,2173,0.54,0.46
"CE_a150_(0,1]",Ceres,Quincunx,"(0,1]",468,435,903,0.52,0.48
"CE_a150_(1,5]",Ceres,Quincunx,"(1,5]",101,84,185,0.55,0.45
CE_a150_0,Ceres,Quincunx,0,1175,1016,2191,0.54,0.46
"CE_a180_(0,3]",Ceres,Opposition,"(0,3]",329,276,605,0.54,0.46
CE_a180_0,Ceres,Opposition,0,1415,1259,2674,0.53,0.47
"CE_a30_(0,1]",Ceres,SemiSextile,"(0,1]",534,524,1058,0.5,0.5
"CE_a30_(1,4]",Ceres,SemiSextile,"(1,4]",160,139,299,0.54,0.46
CE_a30_0,Ceres,SemiSextile,0,1050,872,1922,0.55,0.45
"CE_a36_(0,1]",Ceres,SemiQuintile,"(0,1]",492,456,948,0.52,0.48
"CE_a36_(1,5]",Ceres,SemiQuintile,"(1,5]",195,181,376,0.52,0.48
CE_a36_0,Ceres,SemiQuintile,0,1057,898,1955,0.54,0.46
"CE_a45_(0,1]",Ceres,SemiSquare,"(0,1]",543,499,1042,0.52,0.48
"CE_a45_(1,5]",Ceres,SemiSquare,"(1,5]",171,172,343,0.5,0.5
CE_a45_0,Ceres,SemiSquare,0,1030,864,1894,0.54,0.46
"CE_a60_(0,1]",Ceres,Sextile,"(0,1]",519,423,942,0.55,0.45
"CE_a60_(1,4]",Ceres,Sextile,"(1,4]",114,92,206,0.55,0.45
CE_a60_0,Ceres,Sextile,0,1111,1020,2131,0.52,0.48
"CE_a72_(0,1]",Ceres,Quintile,"(0,1]",513,455,968,0.53,0.47
"CE_a72_(1,4]",Ceres,Quintile,"(1,4]",104,92,196,0.53,0.47
CE_a72_0,Ceres,Quintile,0,1127,988,2115,0.53,0.47
"CE_a90_(0,1]",Ceres,Square,"(0,1]",472,376,848,0.56,0.44
"CE_a90_(1,5]",Ceres,Square,"(1,5]",110,105,215,0.51,0.49
CE_a90_0,Ceres,Square,0,1162,1054,2216,0.52,0.48
"CH_a0_(0,3]",Chiron,Conjunction,"(0,3]",406,390,796,0.51,0.49
CH_a0_0,Chiron,Conjunction,0,1338,1145,2483,0.54,0.46
"CH_a103_(0,1]",Chiron,BiSeptile,"(0,1]",487,445,932,0.52,0.48
"CH_a103_(1,4]",Chiron,BiSeptile,"(1,4]",112,83,195,0.57,0.43
CH_a103_0,Chiron,BiSeptile,0,1145,1007,2152,0.53,0.47
"CH_a120_(0,1]",Chiron,Trine,"(0,1]",392,366,758,0.52,0.48
"CH_a120_(1,4]",Chiron,Trine,"(1,4]",94,103,197,0.48,0.52
CH_a120_0,Chiron,Trine,0,1258,1066,2324,0.54,0.46
"CH_a135_(0,1]",Chiron,SesquiSquare,"(0,1]",393,369,762,0.52,0.48
"CH_a135_(1,4]",Chiron,SesquiSquare,"(1,4]",109,77,186,0.59,0.41
CH_a135_0,Chiron,SesquiSquare,0,1242,1089,2331,0.53,0.47
"CH_a144_(0,1]",Chiron,BiQuintile,"(0,1]",437,351,788,0.55,0.45
"CH_a144_(1,4]",Chiron,BiQuintile,"(1,4]",126,105,231,0.55,0.45
CH_a144_0,Chiron,BiQuintile,0,1181,1079,2260,0.52,0.48
"CH_a150_(0,1]",Chiron,Quincunx,"(0,1]",427,400,827,0.52,0.48
"CH_a150_(1,5]",Chiron,Quincunx,"(1,5]",108,69,177,0.61,0.39
CH_a150_0,Chiron,Quincunx,0,1209,1066,2275,0.53,0.47
"CH_a180_(0,4]",Chiron,Opposition,"(0,4]",267,284,551,0.48,0.52
CH_a180_0,Chiron,Opposition,0,1477,1251,2728,0.54,0.46
"CH_a30_(1,5]",Chiron,SemiSextile,"(1,5]",456,418,874,0.52,0.48
CH_a30_0,Chiron,SemiSextile,0,287,253,540,0.53,0.47
CH_a30_1,Chiron,SemiSextile,1,1001,864,1865,0.54,0.46
"CH_a36_(0,1]",Chiron,SemiQuintile,"(0,1]",509,423,932,0.55,0.45
"CH_a36_(1,4]",Chiron,SemiQuintile,"(1,4]",75,72,147,0.51,0.49
CH_a36_0,Chiron,SemiQuintile,0,1160,1040,2200,0.53,0.47
"CH_a45_(0,1]",Chiron,SemiSquare,"(0,1]",414,377,791,0.52,0.48
"CH_a45_(1,4]",Chiron,SemiSquare,"(1,4]",81,60,141,0.57,0.43
CH_a45_0,Chiron,SemiSquare,0,1249,1098,2347,0.53,0.47
"CH_a60_(0,1]",Chiron,Sextile,"(0,1]",568,519,1087,0.52,0.48
"CH_a60_(1,5]",Chiron,Sextile,"(1,5]",137,114,251,0.55,0.45
CH_a60_0,Chiron,Sextile,0,1039,902,1941,0.54,0.46
"CH_a72_(0,1]",Chiron,Quintile,"(0,1]",666,568,1234,0.54,0.46
"CH_a72_(1,5]",Chiron,Quintile,"(1,5]",211,159,370,0.57,0.43
CH_a72_0,Chiron,Quintile,0,867,808,1675,0.52,0.48
"CH_a90_(0,1]",Chiron,Square,"(0,1]",538,473,1011,0.53,0.47
"CH_a90_(1,5]",Chiron,Square,"(1,5]",164,134,298,0.55,0.45
CH_a90_0,Chiron,Square,0,1042,928,1970,0.53,0.47
"JN_a0_(0,3]",Juno,Conjunction,"(0,3]",318,254,572,0.56,0.44
JN_a0_0,Juno,Conjunction,0,1426,1281,2707,0.53,0.47
"JN_a103_(0,1]",Juno,BiSeptile,"(0,1]",544,478,1022,0.53,0.47
"JN_a103_(1,5]",Juno,BiSeptile,"(1,5]",124,110,234,0.53,0.47
JN_a103_0,Juno,BiSeptile,0,1076,947,2023,0.53,0.47
"JN_a120_(0,1]",Juno,Trine,"(0,1]",572,480,1052,0.54,0.46
"JN_a120_(1,4]",Juno,Trine,"(1,4]",141,120,261,0.54,0.46
JN_a120_0,Juno,Trine,0,1031,935,1966,0.52,0.48
"JN_a135_(0,1]",Juno,SesquiSquare,"(0,1]",507,457,964,0.53,0.47
"JN_a135_(1,4]",Juno,SesquiSquare,"(1,4]",102,96,198,0.52,0.48
JN_a135_0,Juno,SesquiSquare,0,1135,982,2117,0.54,0.46
"JN_a144_(0,1]",Juno,BiQuintile,"(0,1]",495,461,956,0.52,0.48
"JN_a144_(1,5]",Juno,BiQuintile,"(1,5]",143,102,245,0.58,0.42
JN_a144_0,Juno,BiQuintile,0,1106,972,2078,0.53,0.47
"JN_a150_(0,1]",Juno,Quincunx,"(0,1]",524,471,995,0.53,0.47
"JN_a150_(1,4]",Juno,Quincunx,"(1,4]",132,136,268,0.49,0.51
JN_a150_0,Juno,Quincunx,0,1088,928,2016,0.54,0.46
"JN_a180_(0,4]",Juno,Opposition,"(0,4]",342,315,657,0.52,0.48
JN_a180_0,Juno,Opposition,0,1402,1220,2622,0.53,0.47
"JN_a30_(0,1]",Juno,SemiSextile,"(0,1]",544,425,969,0.56,0.44
"JN_a30_(1,5]",Juno,SemiSextile,"(1,5]",121,97,218,0.56,0.44
JN_a30_0,Juno,SemiSextile,0,1079,1013,2092,0.52,0.48
"JN_a36_(0,1]",Juno,SemiQuintile,"(0,1]",489,392,881,0.56,0.44
"JN_a36_(1,4]",Juno,SemiQuintile,"(1,4]",93,105,198,0.47,0.53
JN_a36_0,Juno,SemiQuintile,0,1162,1038,2200,0.53,0.47
"JN_a45_(0,1]",Juno,SemiSquare,"(0,1]",431,409,840,0.51,0.49
"JN_a45_(1,4]",Juno,SemiSquare,"(1,4]",93,93,186,0.5,0.5
JN_a45_0,Juno,SemiSquare,0,1220,1033,2253,0.54,0.46
"JN_a60_(0,1]",Juno,Sextile,"(0,1]",506,428,934,0.54,0.46
"JN_a60_(1,6]",Juno,Sextile,"(1,6]",132,118,250,0.53,0.47
JN_a60_0,Juno,Sextile,0,1106,989,2095,0.53,0.47
"JN_a72_(0,1]",Juno,Quintile,"(0,1]",500,398,898,0.56,0.44
"JN_a72_(1,4]",Juno,Quintile,"(1,4]",166,138,304,0.55,0.45
JN_a72_0,Juno,Quintile,0,1078,999,2077,0.52,0.48
"JN_a90_(0,1]",Juno,Square,"(0,1]",522,423,945,0.55,0.45
"JN_a90_(1,5]",Juno,Square,"(1,5]",155,163,318,0.49,0.51
JN_a90_0,Juno,Square,0,1067,949,2016,0.53,0.47
"JU_a0_(0,4]",Jupiter,Conjunction,"(0,4]",408,318,726,0.56,0.44
JU_a0_0,Jupiter,Conjunction,0,1336,1217,2553,0.52,0.48
"JU_a103_(0,1]",Jupiter,BiSeptile,"(0,1]",504,453,957,0.53,0.47
"JU_a103_(1,4]",Jupiter,BiSeptile,"(1,4]",87,76,163,0.53,0.47
JU_a103_0,Jupiter,BiSeptile,0,1153,1006,2159,0.53,0.47
"JU_a120_(0,1]",Jupiter,Trine,"(0,1]",429,416,845,0.51,0.49
"JU_a120_(1,4]",Jupiter,Trine,"(1,4]",99,89,188,0.53,0.47
JU_a120_0,Jupiter,Trine,0,1216,1030,2246,0.54,0.46
"JU_a135_(0,1]",Jupiter,SesquiSquare,"(0,1]",544,467,1011,0.54,0.46
"JU_a135_(1,4]",Jupiter,SesquiSquare,"(1,4]",125,117,242,0.52,0.48
JU_a135_0,Jupiter,SesquiSquare,0,1075,951,2026,0.53,0.47
"JU_a144_(0,1]",Jupiter,BiQuintile,"(0,1]",549,445,994,0.55,0.45
"JU_a144_(1,5]",Jupiter,BiQuintile,"(1,5]",89,103,192,0.46,0.54
