PlanetDecan,Planet,Decan,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_Z01_1ARI,Ceres,AriesD1,41,35,76,0.54,0.46
CE_Z01_2ARI,Ceres,AriesD2,27,28,55,0.49,0.51
CE_Z01_3ARI,Ceres,AriesD3,76,57,133,0.57,0.43
CE_Z02_1TAU,Ceres,TaurusD1,68,59,127,0.54,0.46
CE_Z02_2TAU,Ceres,TaurusD2,65,62,127,0.51,0.49
CE_Z02_3TAU,Ceres,TaurusD3,78,57,135,0.58,0.42
CE_Z03_1GEM,Ceres,GeminiD1,81,59,140,0.58,0.42
CE_Z03_2GEM,Ceres,GeminiD2,65,54,119,0.55,0.45
CE_Z03_3GEM,Ceres,GeminiD3,65,80,145,0.45,0.55
CE_Z04_1CAN,Ceres,CancerD1,64,50,114,0.56,0.44
CE_Z04_2CAN,Ceres,CancerD2,33,32,65,0.51,0.49
CE_Z04_3CAN,Ceres,CancerD3,34,33,67,0.51,0.49
CE_Z05_1LEO,Ceres,LeoD1,74,47,121,0.61,0.39
CE_Z05_2LEO,Ceres,LeoD2,71,72,143,0.5,0.5
CE_Z05_3LEO,Ceres,LeoD1,30,36,66,0.45,0.55
CE_Z06_1VIR,Ceres,VirgoD1,87,55,142,0.61,0.39
CE_Z06_2VIR,Ceres,VirgoD2,62,52,114,0.54,0.46
CE_Z06_3VIR,Ceres,VirgoD3,39,29,68,0.57,0.43
CE_Z07_1LIB,Ceres,LibraD1,31,44,75,0.41,0.59
CE_Z07_2LIB,Ceres,LibraD2,43,36,79,0.54,0.46
CE_Z07_3LIB,Ceres,LibraD3,62,54,116,0.53,0.47
CE_Z08_1SCO,Ceres,ScorpioD1,49,31,80,0.61,0.39
CE_Z08_2SCO,Ceres,ScorpioD2,27,25,52,0.52,0.48
CE_Z08_3SCO,Ceres,ScorpioD3,23,23,46,0.5,0.5
CE_Z09_1SAG,Ceres,SagittariusD1,75,65,140,0.54,0.46
CE_Z09_2SAG,Ceres,SagittariusD2,53,50,103,0.51,0.49
CE_Z09_3SAG,Ceres,SagittariusD3,89,56,145,0.61,0.39
CE_Z10_1CAP,Ceres,CapricornD1,56,54,110,0.51,0.49
CE_Z10_2CAP,Ceres,CapricornD2,24,30,54,0.44,0.56
CE_Z10_3CAP,Ceres,CapricornD3,52,62,114,0.46,0.54
CE_Z11_1AQU,Ceres,AquariusD1,73,69,142,0.51,0.49
CE_Z11_2AQU,Ceres,AquariusD2,21,34,55,0.38,0.62
CE_Z11_3AQU,Ceres,AquariusD3,43,40,83,0.52,0.48
CE_Z12_1PIS,Ceres,PiscesD1,78,52,130,0.6,0.4
CE_Z12_2PIS,Ceres,PiscesD2,87,64,151,0.58,0.42
CE_Z12_3PIS,Ceres,PiscesD3,68,61,129,0.53,0.47
CH_Z01_1ARI,Chiron,AriesD1,406,319,725,0.56,0.44
CH_Z01_2ARI,Chiron,AriesD2,202,154,356,0.57,0.43
CH_Z11_2AQU,Chiron,AquariusD2,134,131,265,0.51,0.49
CH_Z11_3AQU,Chiron,AquariusD3,264,237,501,0.53,0.47
CH_Z12_1PIS,Chiron,PiscesD1,318,311,629,0.51,0.49
CH_Z12_2PIS,Chiron,PiscesD2,294,281,575,0.51,0.49
CH_Z12_3PIS,Chiron,PiscesD3,396,314,710,0.56,0.44
JN_Z01_1ARI,Juno,AriesD1,58,43,101,0.57,0.43
JN_Z01_2ARI,Juno,AriesD2,19,21,40,0.48,0.52
JN_Z01_3ARI,Juno,AriesD3,23,14,37,0.62,0.38
JN_Z02_1TAU,Juno,TaurusD1,25,15,40,0.62,0.38
JN_Z02_2TAU,Juno,TaurusD2,27,15,42,0.64,0.36
JN_Z02_3TAU,Juno,TaurusD3,64,59,123,0.52,0.48
JN_Z03_1GEM,Juno,GeminiD1,29,29,58,0.5,0.5
JN_Z03_2GEM,Juno,GeminiD2,22,16,38,0.58,0.42
JN_Z03_3GEM,Juno,GeminiD3,17,20,37,0.46,0.54
JN_Z04_1CAN,Juno,CancerD1,24,14,38,0.63,0.37
JN_Z04_2CAN,Juno,CancerD2,25,16,41,0.61,0.39
JN_Z04_3CAN,Juno,CancerD3,17,22,39,0.44,0.56
JN_Z05_1LEO,Juno,LeoD1,53,50,103,0.51,0.49
JN_Z05_2LEO,Juno,LeoD2,61,49,110,0.55,0.45
JN_Z05_3LEO,Juno,LeoD1,28,20,48,0.58,0.42
JN_Z06_1VIR,Juno,VirgoD1,27,23,50,0.54,0.46
JN_Z06_2VIR,Juno,VirgoD2,50,65,115,0.43,0.57
JN_Z06_3VIR,Juno,VirgoD3,75,64,139,0.54,0.46
JN_Z07_1LIB,Juno,LibraD1,54,58,112,0.48,0.52
JN_Z07_2LIB,Juno,LibraD2,69,59,128,0.54,0.46
JN_Z07_3LIB,Juno,LibraD3,61,54,115,0.53,0.47
JN_Z08_1SCO,Juno,ScorpioD1,79,70,149,0.53,0.47
JN_Z08_2SCO,Juno,ScorpioD2,74,69,143,0.52,0.48
JN_Z08_3SCO,Juno,ScorpioD3,93,70,163,0.57,0.43
JN_Z09_1SAG,Juno,SagittariusD1,108,85,193,0.56,0.44
JN_Z09_2SAG,Juno,SagittariusD2,119,109,228,0.52,0.48
JN_Z09_3SAG,Juno,SagittariusD3,115,104,219,0.53,0.47
JN_Z10_1CAP,Juno,CapricornD1,85,65,150,0.57,0.43
JN_Z10_2CAP,Juno,CapricornD2,87,70,157,0.55,0.45
JN_Z10_3CAP,Juno,CapricornD3,36,37,73,0.49,0.51
JN_Z11_1AQU,Juno,AquariusD1,65,64,129,0.5,0.5
JN_Z11_2AQU,Juno,AquariusD2,75,73,148,0.51,0.49
JN_Z11_3AQU,Juno,AquariusD3,38,26,64,0.59,0.41
JN_Z12_1PIS,Juno,PiscesD1,52,44,96,0.54,0.46
JN_Z12_2PIS,Juno,PiscesD2,62,71,133,0.47,0.53
JN_Z12_3PIS,Juno,PiscesD3,98,64,162,0.6,0.4
JU_Z01_1ARI,Jupiter,AriesD1,131,113,244,0.54,0.46
JU_Z01_2ARI,Jupiter,AriesD2,17,11,28,0.61,0.39
JU_Z01_3ARI,Jupiter,AriesD3,12,17,29,0.41,0.59
JU_Z02_1TAU,Jupiter,TaurusD1,85,85,170,0.5,0.5
JU_Z02_2TAU,Jupiter,TaurusD2,19,29,48,0.4,0.6
JU_Z02_3TAU,Jupiter,TaurusD3,13,15,28,0.46,0.54
JU_Z03_1GEM,Jupiter,GeminiD1,48,54,102,0.47,0.53
JU_Z03_2GEM,Jupiter,GeminiD2,68,52,120,0.57,0.43
JU_Z03_3GEM,Jupiter,GeminiD3,11,22,33,0.33,0.67
JU_Z04_1CAN,Jupiter,CancerD1,16,15,31,0.52,0.48
JU_Z04_2CAN,Jupiter,CancerD2,96,75,171,0.56,0.44
JU_Z04_3CAN,Jupiter,CancerD3,28,28,56,0.5,0.5
JU_Z05_1LEO,Jupiter,LeoD1,18,11,29,0.62,0.38
JU_Z05_2LEO,Jupiter,LeoD2,69,69,138,0.5,0.5
JU_Z05_3LEO,Jupiter,LeoD1,54,37,91,0.59,0.41
JU_Z06_1VIR,Jupiter,VirgoD1,13,18,31,0.42,0.58
