PlanetAspectsCount,Planet,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%
"CE_(2,3]",Ceres,"(2,3]",405,323,728,0.56,0.44
"CE_(3,4]",Ceres,"(3,4]",335,284,619,0.54,0.46
"CE_(4,8]",Ceres,"(4,8]",250,240,490,0.51,0.49
"CE_[0,2]",Ceres,"[0,2]",778,705,1483,0.52,0.48
"CH_(1,2]",Chiron,"(1,2]",680,574,1254,0.54,0.46
"CH_(2,3]",Chiron,"(2,3]",198,164,362,0.55,0.45
CH_1,Chiron,1,737,657,1394,0.53,0.47
"CH_[0,1)",Chiron,"[0,1)",153,157,310,0.49,0.51
"JN_(2,3]",Juno,"(2,3]",376,359,735,0.51,0.49
"JN_(3,4]",Juno,"(3,4]",342,267,609,0.56,0.44
"JN_(4,9]",Juno,"(4,9]",319,287,606,0.53,0.47
"JN_[0,2]",Juno,"[0,2]",731,639,1370,0.53,0.47
"JU_(1,2]",Jupiter,"(1,2]",539,485,1024,0.53,0.47
"JU_(2,3]",Jupiter,"(2,3]",415,326,741,0.56,0.44
"JU_(3,7]",Jupiter,"(3,7]",313,316,629,0.5,0.5
"JU_[0,1]",Jupiter,"[0,1]",501,425,926,0.54,0.46
"MA_(2,3]",Mars,"(2,3]",380,344,724,0.52,0.48
"MA_(3,5]",Mars,"(3,5]",632,544,1176,0.54,0.46
"MA_(5,11]",Mars,"(5,11]",223,237,460,0.48,0.52
"MA_[0,2]",Mars,"[0,2]",533,427,960,0.56,0.44
"ME_(3,4]",Mercury,"(3,4]",329,345,674,0.49,0.51
"ME_(4,6]",Mercury,"(4,6]",566,511,1077,0.53,0.47
"ME_(6,13]",Mercury,"(6,13]",242,186,428,0.57,0.43
"ME_[0,3]",Mercury,"[0,3]",631,510,1141,0.55,0.45
"MO_(13,15]",Moon,"(13,15]",491,457,948,0.52,0.48
"MO_(15,17]",Moon,"(15,17]",429,392,821,0.52,0.48
"MO_(17,27]",Moon,"(17,27]",322,248,570,0.56,0.44
"MO_[5,13]",Moon,"[5,13]",526,455,981,0.54,0.46
NE_0,Neptune,0,1768,1552,3320,0.53,0.47
"NN_(2,3]",NNode,"(2,3]",473,415,888,0.53,0.47
"NN_(3,6]",NNode,"(3,6]",410,390,800,0.51,0.49
NN_2,NNode,2,586,463,1049,0.56,0.44
"NN_[1,2)",NNode,"[1,2)",299,284,583,0.51,0.49
"PA_(1,2]",Pallas,"(1,2]",443,388,831,0.53,0.47
"PA_(2,3]",Pallas,"(2,3]",397,339,736,0.54,0.46
"PA_(3,8]",Pallas,"(3,8]",357,338,695,0.51,0.49
"PA_[0,1]",Pallas,"[0,1]",571,487,1058,0.54,0.46
"PH_(0,1]",Pholus,"(0,1]",800,752,1552,0.52,0.48
PH_0,Pholus,0,968,800,1768,0.55,0.45
"SA_(1,2]",Saturn,"(1,2]",433,385,818,0.53,0.47
"SA_(2,4]",Saturn,"(2,4]",237,218,455,0.52,0.48
SA_1,Saturn,1,678,586,1264,0.54,0.46
"SA_[0,1)",Saturn,"[0,1)",420,363,783,0.54,0.46
"SN_(2,5]",SNode,"(2,5]",419,400,819,0.51,0.49
SN_2,SNode,2,416,366,782,0.53,0.47
"SN_[0,1]",SNode,"[0,1]",933,786,1719,0.54,0.46
"SU_(3,4]",Sun,"(3,4]",385,328,713,0.54,0.46
"SU_(4,5]",Sun,"(4,5]",281,267,548,0.51,0.49
"SU_(5,11]",Sun,"(5,11]",361,308,669,0.54,0.46
"SU_[0,3]",Sun,"[0,3]",741,649,1390,0.53,0.47
"UR_(1,3]",Uranus,"(1,3]",626,554,1180,0.53,0.47
UR_0,Uranus,0,591,499,1090,0.54,0.46
UR_1,Uranus,1,551,499,1050,0.52,0.48
"VE_(3,4]",Venus,"(3,4]",379,358,737,0.51,0.49
"VE_(4,6]",Venus,"(4,6]",575,478,1053,0.55,0.45
"VE_(6,12]",Venus,"(6,12]",243,224,467,0.52,0.48
"VE_[0,3]",Venus,"[0,3]",571,492,1063,0.54,0.46
"VS_(2,3]",Vesta,"(2,3]",425,328,753,0.56,0.44
"VS_(3,4]",Vesta,"(3,4]",319,316,635,0.5,0.5
"VS_(4,10]",Vesta,"(4,10]",449,442,891,0.5,0.5
"VS_[0,2]",Vesta,"[0,2]",575,466,1041,0.55,0.45
