PlanetQualityCountRange,Quality,CountRange,Buy,Sell,DaysN,BuyDays%,SellDays%,Element
"CAR_(5,6]",Cardinal,"(5,6]",300,311,611,0.49,0.51,CAR
"CAR_(6,8]",Cardinal,"(6,8]",522,405,927,0.56,0.44,CAR
"CAR_(8,14]",Cardinal,"(8,14]",275,224,499,0.55,0.45,CAR
"CAR_[0,5]",Cardinal,"[0,5]",676,615,1291,0.52,0.48,CAR
"FIX_(5,6]",Fixed,"(5,6]",305,260,565,0.54,0.46,FIX
"FIX_(6,7]",Fixed,"(6,7]",187,176,363,0.52,0.48,FIX
"FIX_(7,14]",Fixed,"(7,14]",191,160,351,0.54,0.46,FIX
"FIX_[0,5]",Fixed,"[0,5]",1090,959,2049,0.53,0.47,FIX
"MUT_(4,6]",Mutable,"(4,6]",603,497,1100,0.55,0.45,MUT
"MUT_(6,7]",Mutable,"(6,7]",333,312,645,0.52,0.48,MUT
"MUT_(7,13]",Mutable,"(7,13]",601,547,1148,0.52,0.48,MUT
"MUT_[0,4]",Mutable,"[0,4]",236,199,435,0.54,0.46,MUT
