PlanetSpeedPhase,Planet,SpeedPhase,Buy,Sell,DaysN,BuyDays%,SellDays%
CE_DIR,Ceres,Direct,1512,1343,2855,0.53,0.47
CE_RET,Ceres,Retrograde,435,347,782,0.56,0.44
CE_STA,Ceres,Stationary,67,57,124,0.54,0.46
CH_DIR,Chiron,Direct,1092,963,2055,0.53,0.47
CH_RET,Chiron,Retrograde,804,677,1481,0.54,0.46
CH_STA,Chiron,Stationary,118,107,225,0.52,0.48
JN_DIR,Juno,Direct,1510,1298,2808,0.54,0.46
JN_RET,Juno,Retrograde,426,371,797,0.53,0.47
JN_STA,Juno,Stationary,78,78,156,0.5,0.5
JU_DIR,Jupiter,Direct,1320,1162,2482,0.53,0.47
JU_RET,Jupiter,Retrograde,617,488,1105,0.56,0.44
JU_STA,Jupiter,Stationary,77,97,174,0.44,0.56
MA_DIR,Mars,Direct,1734,1539,3273,0.53,0.47
MA_RET,Mars,Retrograde,226,172,398,0.57,0.43
MA_STA,Mars,Stationary,54,36,90,0.6,0.4
ME_DIR,Mercury,Direct,1577,1337,2914,0.54,0.46
ME_RET,Mercury,Retrograde,381,348,729,0.52,0.48
ME_STA,Mercury,Stationary,56,62,118,0.47,0.53
MO_DIR,Moon,Direct,2014,1747,3761,0.54,0.46
NE_DIR,Neptune,Direct,1025,906,1931,0.53,0.47
NE_RET,Neptune,Retrograde,797,651,1448,0.55,0.45
NE_STA,Neptune,Stationary,192,190,382,0.5,0.5
NN_DIR,NNode,Direct,2014,1747,3761,0.54,0.46
PA_DIR,Pallas,Direct,1476,1336,2812,0.52,0.48
PA_RET,Pallas,Retrograde,475,355,830,0.57,0.43
PA_STA,Pallas,Stationary,63,56,119,0.53,0.47
PH_DIR,Pholus,Direct,1026,918,1944,0.53,0.47
PH_RET,Pholus,Retrograde,831,693,1524,0.55,0.45
PH_STA,Pholus,Stationary,157,136,293,0.54,0.46
PL_DIR,Pluto,Direct,1024,899,1923,0.53,0.47
PL_RET,Pluto,Retrograde,776,678,1454,0.53,0.47
PL_STA,Pluto,Stationary,214,170,384,0.56,0.44
SA_DIR,Saturn,Direct,1133,1037,2170,0.52,0.48
SA_RET,Saturn,Retrograde,744,617,1361,0.55,0.45
SA_STA,Saturn,Stationary,137,93,230,0.6,0.4
SN_DIR,SNode,Direct,2014,1747,3761,0.54,0.46
SU_DIR,Sun,Direct,2014,1747,3761,0.54,0.46
UR_DIR,Uranus,Direct,1120,943,2063,0.54,0.46
UR_RET,Uranus,Retrograde,758,687,1445,0.52,0.48
UR_STA,Uranus,Stationary,136,117,253,0.54,0.46
VE_DIR,Venus,Direct,1839,1597,3436,0.54,0.46
VE_RET,Venus,Retrograde,145,108,253,0.57,0.43
VE_STA,Venus,Stationary,30,42,72,0.42,0.58
VS_DIR,Vesta,Direct,1595,1384,2979,0.54,0.46
VS_RET,Vesta,Retrograde,358,304,662,0.54,0.46
VS_STA,Vesta,Stationary,61,59,120,0.51,0.49
